Symbol,Date,Signal,Close
ALBSL,2025-08-26,Buy,988.79
MNMF1,2025-08-26,Buy,9.28
MBJC,2025-08-26,Buy,315.7
CYCL,2025-08-26,Buy,1837.23
NABILD87,2025-08-26,Buy,1070.0
STC,2025-08-26,Buy,5277.25
RBCL,2025-08-26,Buy,15574.5
NABIL,2025-08-26,Buy,529.35
LBLD88,2025-08-26,Sell,1040.0
NICD88,2025-08-26,Buy,1059.9
SPIL,2025-08-26,Sell,814.17
ENL,2025-08-26,Sell,1061.0
GBBD85,2025-08-26,Buy,1055.0
SDBD87,2025-08-26,Buy,1077.5
OHL,2025-08-26,Buy,871.88
ALICL,2025-08-26,Buy,491.03
USLB,2025-08-26,Buy,2222.82
ICFC,2025-08-26,Buy,676.65
PBLD87,2025-08-26,Buy,1085.0
HRL,2025-08-26,Buy,1010.98
LSL,2025-08-26,Buy,235.56
GBBD85,2025-08-25,Sell,1041.0
ENL,2025-08-25,Buy,1078.52
PBD85,2025-08-25,Buy,1070.0
SKBBL,2025-08-25,Buy,932.44
NIBD84,2025-08-25,Sell,1033.0
PCBL,2025-08-25,Buy,257.76
SNLI,2025-08-25,Buy,474.22
NHDL,2025-08-25,Sell,707.99
MSLB,2025-08-25,Buy,1559.07
SPL,2025-08-25,Buy,944.87
MLBBL,2025-08-25,Buy,1577.01
MHNL,2025-08-25,Buy,271.87
UNL,2025-08-25,Buy,47500.0
KBLPO,2025-08-24,Sell,109.0
MEN,2025-08-24,Sell,627.65
IHL,2025-08-24,Sell,569.3
ULHC,2025-08-24,Sell,484.25
NYADI,2025-08-24,Sell,426.82
SANVI,2025-08-24,Sell,700.6
PBLD86,2025-08-24,Buy,1141.5
NMBD87/88,2025-08-24,Sell,1055.0
RHPL,2025-08-24,Sell,309.22
PBLD87,2025-08-24,Sell,1042.0
MHNL,2025-08-24,Sell,266.27
AHL,2025-08-24,Sell,633.61
CBBL,2025-08-24,Buy,1060.93
GWFD83,2025-08-24,Sell,1195.6
TSHL,2025-08-24,Sell,811.83
