Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%,Chart_URL
SLBBLP,453.0,453.0,499.0,0.0,-9.22,https://nepsealpha.com/nepse-chart?symbol=SLBBLP
GBIMEP,100.0,100.0,122.0,0.0,-18.03,https://nepsealpha.com/nepse-chart?symbol=GBIMEP
SPL,715.6,715.0,1035.0,0.08,-30.86,https://nepsealpha.com/nepse-chart?symbol=SPL
BGWT,743.5,742.0,1170.0,0.2,-36.45,https://nepsealpha.com/nepse-chart?symbol=BGWT
NIMB,185.0,184.5,247.0,0.27,-25.1,https://nepsealpha.com/nepse-chart?symbol=NIMB
MKHC,312.1,311.0,606.0,0.35,-48.5,https://nepsealpha.com/nepse-chart?symbol=MKHC
SHLB,1546.0,1540.2,2748.9,0.38,-43.76,https://nepsealpha.com/nepse-chart?symbol=SHLB
SWBBL,725.4,722.0,1046.5,0.47,-30.68,https://nepsealpha.com/nepse-chart?symbol=SWBBL
TAMOR,413.0,411.0,592.6,0.49,-30.31,https://nepsealpha.com/nepse-chart?symbol=TAMOR
SKBBL,756.0,752.0,999.0,0.53,-24.32,https://nepsealpha.com/nepse-chart?symbol=SKBBL
CIT,1741.5,1730.8,2200.0,0.62,-20.84,https://nepsealpha.com/nepse-chart?symbol=CIT
UNLB,1829.9,1818.4,2699.9,0.63,-32.22,https://nepsealpha.com/nepse-chart?symbol=UNLB
SMJC,475.1,472.0,735.0,0.66,-35.36,https://nepsealpha.com/nepse-chart?symbol=SMJC
CSY,9.05,8.99,10.0,0.67,-9.5,https://nepsealpha.com/nepse-chart?symbol=CSY
GLBSL,1876.1,1862.1,3381.3,0.75,-44.52,https://nepsealpha.com/nepse-chart?symbol=GLBSL
MHCL,347.9,345.0,655.0,0.84,-46.89,https://nepsealpha.com/nepse-chart?symbol=MHCL
NMB,233.0,231.0,283.0,0.87,-17.67,https://nepsealpha.com/nepse-chart?symbol=NMB
PRVU,181.5,179.9,250.9,0.89,-27.66,https://nepsealpha.com/nepse-chart?symbol=PRVU
MKCL,1345.5,1333.0,1900.0,0.94,-29.18,https://nepsealpha.com/nepse-chart?symbol=MKCL
NICL,487.9,483.0,1047.0,1.01,-53.4,https://nepsealpha.com/nepse-chart?symbol=NICL
NLG,662.0,655.0,1022.0,1.07,-35.23,https://nepsealpha.com/nepse-chart?symbol=NLG
CHCL,460.9,456.0,599.6,1.07,-23.13,https://nepsealpha.com/nepse-chart?symbol=CHCL
HBL,186.0,184.0,261.0,1.09,-28.74,https://nepsealpha.com/nepse-chart?symbol=HBL
HLI,358.9,354.8,477.0,1.16,-24.76,https://nepsealpha.com/nepse-chart?symbol=HLI
MLBBL,1300.0,1285.0,2019.0,1.17,-35.61,https://nepsealpha.com/nepse-chart?symbol=MLBBL
USLB,1422.0,1405.0,2750.0,1.21,-48.29,https://nepsealpha.com/nepse-chart?symbol=USLB
MLBSL,1852.9,1830.0,2569.0,1.25,-27.87,https://nepsealpha.com/nepse-chart?symbol=MLBSL
RURU,649.0,640.0,853.0,1.41,-23.92,https://nepsealpha.com/nepse-chart?symbol=RURU
NHDL,632.0,623.0,1002.6,1.44,-36.96,https://nepsealpha.com/nepse-chart?symbol=NHDL
ALICL,436.2,430.0,831.0,1.44,-47.51,https://nepsealpha.com/nepse-chart?symbol=ALICL
LSL,204.0,201.0,252.0,1.49,-19.05,https://nepsealpha.com/nepse-chart?symbol=LSL
MSHL,796.9,785.1,1059.0,1.5,-24.75,https://nepsealpha.com/nepse-chart?symbol=MSHL
CITY,468.0,461.0,998.4,1.52,-53.12,https://nepsealpha.com/nepse-chart?symbol=CITY
NMLBBL,610.0,600.0,807.0,1.67,-24.41,https://nepsealpha.com/nepse-chart?symbol=NMLBBL
GCIL,407.0,400.0,613.0,1.75,-33.61,https://nepsealpha.com/nepse-chart?symbol=GCIL
SMHL,451.1,443.0,1230.0,1.83,-63.33,https://nepsealpha.com/nepse-chart?symbol=SMHL
MATRI,947.2,930.1,1410.0,1.84,-32.82,https://nepsealpha.com/nepse-chart?symbol=MATRI
CGH,815.0,800.2,1150.0,1.85,-29.13,https://nepsealpha.com/nepse-chart?symbol=CGH
PCBL,230.5,226.0,290.0,1.99,-20.52,https://nepsealpha.com/nepse-chart?symbol=PCBL
SMH,699.0,685.1,1142.0,2.03,-38.79,https://nepsealpha.com/nepse-chart?symbol=SMH
AHL,509.9,499.5,839.9,2.08,-39.29,https://nepsealpha.com/nepse-chart?symbol=AHL
JBLB,1299.2,1270.7,1644.0,2.24,-20.97,https://nepsealpha.com/nepse-chart?symbol=JBLB
SALICO,583.0,570.1,775.0,2.26,-24.77,https://nepsealpha.com/nepse-chart?symbol=SALICO
UMRH,538.5,526.0,750.0,2.38,-28.2,https://nepsealpha.com/nepse-chart?symbol=UMRH
VLBS,755.0,737.0,1008.0,2.44,-25.1,https://nepsealpha.com/nepse-chart?symbol=VLBS
UNL,46115.0,45000.0,50724.0,2.48,-9.09,https://nepsealpha.com/nepse-chart?symbol=UNL
SMPDA,862.3,840.0,1155.0,2.65,-25.34,https://nepsealpha.com/nepse-chart?symbol=SMPDA
BBC,4600.0,4480.0,6661.6,2.68,-30.95,https://nepsealpha.com/nepse-chart?symbol=BBC
HDL,1133.1,1103.0,1556.1,2.73,-27.18,https://nepsealpha.com/nepse-chart?symbol=HDL
BEDC,514.9,501.0,960.0,2.77,-46.36,https://nepsealpha.com/nepse-chart?symbol=BEDC
NICLBSL,549.9,535.0,764.0,2.79,-28.02,https://nepsealpha.com/nepse-chart?symbol=NICLBSL
MLBS,1435.0,1395.0,2285.0,2.87,-37.2,https://nepsealpha.com/nepse-chart?symbol=MLBS
SWMF,660.0,641.1,868.1,2.95,-23.97,https://nepsealpha.com/nepse-chart?symbol=SWMF
CZBIL,188.7,183.0,240.1,3.11,-21.41,https://nepsealpha.com/nepse-chart?symbol=CZBIL
NIFRA,257.9,249.9,328.1,3.2,-21.4,https://nepsealpha.com/nepse-chart?symbol=NIFRA
FOWAD,1045.0,1012.4,1324.4,3.22,-21.1,https://nepsealpha.com/nepse-chart?symbol=FOWAD
NMFBS,1122.2,1086.0,1504.0,3.33,-25.39,https://nepsealpha.com/nepse-chart?symbol=NMFBS
GMFBS,1433.0,1385.1,1916.0,3.46,-25.21,https://nepsealpha.com/nepse-chart?symbol=GMFBS
RAWA,709.9,686.0,953.8,3.48,-25.57,https://nepsealpha.com/nepse-chart?symbol=RAWA
MAKAR,533.0,515.0,830.0,3.5,-35.78,https://nepsealpha.com/nepse-chart?symbol=MAKAR
SBLD83,1076.0,1038.7,1122.0,3.59,-4.1,https://nepsealpha.com/nepse-chart?symbol=SBLD83
SICL,611.2,588.8,891.0,3.8,-31.4,https://nepsealpha.com/nepse-chart?symbol=SICL
SLBBL,810.0,780.0,1159.4,3.85,-30.14,https://nepsealpha.com/nepse-chart?symbol=SLBBL
RBCL,14800.0,14251.0,16900.0,3.85,-12.43,https://nepsealpha.com/nepse-chart?symbol=RBCL
KBL,182.3,175.5,233.5,3.87,-21.93,https://nepsealpha.com/nepse-chart?symbol=KBL
JFL,411.0,395.0,620.0,4.05,-33.71,https://nepsealpha.com/nepse-chart?symbol=JFL
MCHL,408.0,392.0,671.0,4.08,-39.2,https://nepsealpha.com/nepse-chart?symbol=MCHL
MLBL,364.0,348.9,488.0,4.33,-25.41,https://nepsealpha.com/nepse-chart?symbol=MLBL
SFCL,375.1,359.4,640.0,4.37,-41.39,https://nepsealpha.com/nepse-chart?symbol=SFCL
MANDU,800.0,766.5,1001.9,4.37,-20.15,https://nepsealpha.com/nepse-chart?symbol=MANDU
KBSH,1690.0,1618.0,2737.0,4.45,-38.25,https://nepsealpha.com/nepse-chart?symbol=KBSH
SONA,416.1,398.0,545.0,4.55,-23.65,https://nepsealpha.com/nepse-chart?symbol=SONA
JSLBB,1107.5,1059.0,1775.0,4.58,-37.61,https://nepsealpha.com/nepse-chart?symbol=JSLBB
MBJC,282.5,270.0,371.0,4.63,-23.85,https://nepsealpha.com/nepse-chart?symbol=MBJC
SHINE,399.9,382.0,499.0,4.69,-19.86,https://nepsealpha.com/nepse-chart?symbol=SHINE
SHL,486.3,464.0,619.0,4.81,-21.44,https://nepsealpha.com/nepse-chart?symbol=SHL
DLBS,1300.0,1240.0,1959.0,4.84,-33.64,https://nepsealpha.com/nepse-chart?symbol=DLBS
KPCL,514.8,491.0,711.0,4.85,-27.59,https://nepsealpha.com/nepse-chart?symbol=KPCL
SMATA,770.3,734.1,1382.0,4.93,-44.26,https://nepsealpha.com/nepse-chart?symbol=SMATA
GBIME,221.1,210.7,278.9,4.94,-20.72,https://nepsealpha.com/nepse-chart?symbol=GBIME
AVYAN,951.0,906.0,1245.0,4.97,-23.61,https://nepsealpha.com/nepse-chart?symbol=AVYAN
IHL,515.0,490.0,790.0,5.1,-34.81,https://nepsealpha.com/nepse-chart?symbol=IHL
PFL,371.0,352.8,518.0,5.16,-28.38,https://nepsealpha.com/nepse-chart?symbol=PFL
NABIL,495.4,471.0,562.0,5.18,-11.85,https://nepsealpha.com/nepse-chart?symbol=NABIL
EHPL,405.0,385.0,924.1,5.19,-56.17,https://nepsealpha.com/nepse-chart?symbol=EHPL
