Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%
EDBLPO,324.0,408.0,408.0,-20.59,-20.59
RHPL,205.2,240.7,325.0,-14.75,-36.86
MKJC,352.3,400.0,635.0,-11.92,-44.52
MDBPO,318.0,359.0,359.0,-11.42,-11.42
MMKJL,375.0,423.0,699.9,-11.35,-46.42
SJCL,231.9,261.0,365.0,-11.15,-36.47
ICFCD83,843.2,934.2,1337.8,-9.74,-36.97
ACLBSLP,512.0,556.0,613.0,-7.91,-16.48
CHCL,427.0,450.3,525.0,-5.17,-18.67
PRIN,600.0,630.0,796.0,-4.76,-24.62
SMATAP,421.0,441.0,593.0,-4.54,-29.01
UAIL,397.2,416.0,538.9,-4.52,-26.29
NICL,455.0,475.0,620.2,-4.21,-26.64
ULHC,306.0,317.0,599.0,-3.47,-48.91
DOLTI,288.0,298.1,596.0,-3.39,-51.68
IHL,300.0,310.0,638.0,-3.23,-52.98
BEDC,288.5,298.0,743.0,-3.19,-61.17
MERO,605.6,625.0,873.5,-3.1,-30.67
SBLD83,1006.2,1038.0,1116.5,-3.06,-9.88
SGIC,417.0,430.0,579.0,-3.02,-27.98
USLB,970.0,1000.0,2420.0,-3.0,-59.92
HBLPO,111.6,115.0,133.0,-2.96,-16.09
HBLD86,1080.0,1111.0,1220.0,-2.79,-11.48
NLG,530.0,544.5,867.0,-2.66,-38.87
MHCL,282.0,289.0,472.0,-2.42,-40.25
NMIC,842.0,860.0,1525.0,-2.09,-44.79
SGHC,290.0,296.0,487.6,-2.03,-40.53
MSHL,550.0,561.3,955.0,-2.01,-42.41
SNLI,379.8,387.6,528.3,-2.01,-28.11
SRLI,357.0,363.5,437.7,-1.79,-18.44
MLBSL,1130.0,1150.2,2272.5,-1.76,-50.28
VLUCL,374.0,380.5,652.0,-1.71,-42.64
MATRI,754.0,767.0,1109.0,-1.69,-32.01
CORBL,884.0,898.4,3183.0,-1.6,-72.23
PROFL,379.9,386.0,522.0,-1.58,-27.22
BGWT,489.9,497.0,944.0,-1.43,-48.1
LBLD86,1083.0,1098.0,1240.0,-1.37,-12.66
NFS,530.3,537.1,725.0,-1.27,-26.86
SCBD,1056.6,1070.0,1236.0,-1.25,-14.51
SRLIP,197.6,200.0,218.0,-1.2,-9.36
SICL,582.0,588.8,757.0,-1.15,-23.12
NWCL,615.0,622.0,1045.0,-1.13,-41.15
HIDCL,242.0,244.6,307.0,-1.06,-21.17
ALICL,404.8,409.1,507.0,-1.05,-20.16
PMLI,404.1,407.9,543.6,-0.93,-25.66
MKHC,247.9,250.2,462.1,-0.92,-46.35
OHL,619.0,624.6,916.0,-0.9,-32.42
NRM,292.5,295.0,580.0,-0.85,-49.57
UNHPL,355.0,358.0,571.0,-0.84,-37.83
VLBS,627.9,633.1,876.0,-0.82,-28.32
RNLI,413.1,416.0,520.2,-0.7,-20.59
NMBMF,578.0,582.0,750.0,-0.69,-22.93
RURU,586.0,590.0,830.0,-0.68,-29.4
FOWAD,887.0,893.0,1364.0,-0.67,-34.97
HLI,305.0,307.0,416.0,-0.65,-26.68
GLBSL,1675.0,1685.0,2310.0,-0.59,-27.49
PRVU,179.0,179.9,235.6,-0.5,-24.02
SBLD84,1025.0,1029.0,1201.0,-0.39,-14.65
MCHL,261.0,262.0,551.0,-0.38,-52.63
NIL,560.0,562.0,725.0,-0.36,-22.76
NLIC,700.0,702.0,872.0,-0.28,-19.72
MEHL,229.7,230.2,519.0,-0.22,-55.74
NMB50,9.68,9.7,11.62,-0.21,-16.7
NUBL,575.0,576.0,808.0,-0.17,-28.84
SALICO,565.2,566.1,712.0,-0.16,-20.62
SPC,399.0,399.5,577.0,-0.13,-30.85
SHLB,1350.0,1351.0,1985.0,-0.07,-31.99
RBBD83,1010.3,1010.9,1100.0,-0.06,-8.15
SKBBL,740.0,740.0,954.8,0.0,-22.5
BFCPO,250.0,250.0,324.0,0.0,-22.84
ALICLP,252.0,252.0,388.0,0.0,-35.05
GUFLPO,298.0,298.0,331.0,0.0,-9.97
SHINEP,222.0,222.0,228.0,0.0,-2.63
SFCLP,164.0,164.0,164.0,0.0,0.0
MLBSP,698.0,698.0,957.0,0.0,-27.06
RLFLPO,268.6,268.6,303.0,0.0,-11.35
UAILPO,251.0,251.0,382.0,0.0,-34.29
FMDBL,723.0,723.0,982.0,0.0,-26.37
FOWADP,550.0,550.0,660.0,0.0,-16.67
GBIMEP,100.0,100.0,131.0,0.0,-23.66
LBBLPO,261.0,261.0,261.0,0.0,0.0
JBBLPO,181.4,181.4,187.0,0.0,-2.99
KBLPO,100.0,100.0,111.0,0.0,-9.91
KMCDBP,587.0,587.0,605.0,0.0,-2.98
MNBBLP,236.2,236.2,256.0,0.0,-7.73
MATRIP,523.5,523.5,766.5,0.0,-31.7
CORBLP,100.0,100.0,100.0,0.0,0.0
SLBBLP,443.0,443.0,496.0,0.0,-10.69
NLICLP,321.0,321.0,321.0,0.0,0.0
CYCLP,831.0,831.0,864.0,0.0,-3.82
NLICP,413.0,413.0,413.0,0.0,0.0
NICAP,179.0,179.0,331.3,0.0,-45.97
NIMB,183.3,183.3,232.5,0.0,-21.16
NMFBSP,610.0,610.0,675.0,0.0,-9.63
NMLBBLP,334.0,334.0,366.1,0.0,-8.77
NABILP,301.1,301.1,301.1,0.0,0.0
PMLIP,255.0,255.0,302.9,0.0,-15.81
NIBD84,1030.0,1030.0,1130.0,0.0,-8.85
SIFCPO,286.0,286.0,286.0,0.0,0.0
MLBSLP,100.0,100.0,100.0,0.0,0.0
SBLD2082,1045.2,1045.1,1097.6,0.01,-4.77
NICLBSL,527.2,527.0,679.0,0.04,-22.36
PBLD86,1103.0,1100.2,1470.0,0.25,-24.97
KDL,732.0,730.0,1185.0,0.27,-38.23
PBD84,1070.0,1067.0,1182.0,0.28,-9.48
GMLI,977.0,974.0,2200.0,0.31,-55.59
SINDU,610.0,608.0,919.9,0.33,-33.69
NMLBBL,490.0,488.0,705.1,0.41,-30.51
