Symbol,Date_at_52W_Low,Latest_Close,52_Week_Low,Distance_from_Low_%
EBLD85,2026-01-25,1154.0,1154.0,0.0
EBLEB89,2026-01-22,1059.0,1059.0,0.0
NABILD2089,2026-01-25,1052.6,1052.6,0.0
MBLD2085,2026-01-22,1150.0,1150.0,0.0
SBID89,2026-01-25,1160.0,1160.0,0.0
SBID2090,2026-01-25,1050.2,1050.2,0.0
SBLD2091,2026-01-25,1056.4,1056.4,0.0
NIMBD90,2026-01-07,1227.1,1226.0,0.09
RBBD2088,2026-01-20,1053.1,1051.5,0.15
CCBD88,2026-01-22,1185.0,1182.0,0.25
ULBSL,2026-01-21,3360.0,3350.5,0.28
ICFCD88,2026-01-20,1103.1,1100.0,0.28
EBLD91,2026-01-18,1070.0,1066.0,0.38
ANLB,2026-01-22,6050.0,6020.0,0.5
GBILD84/85,2026-01-12,1170.0,1162.0,0.69
GBILD86/87,2026-01-04,1120.0,1111.0,0.81
NICD88,2026-01-21,1080.0,1069.0,1.03
USHL,2026-01-12,820.0,811.2,1.08
BNL,2026-01-13,15551.0,15370.0,1.18
