Symbol,Latest_Close,52_Week_Low,Distance_from_Low_%,Date_at_52W_Low,Chart_URL
GBIMEP,100.0,100.0,0.0,N/A,https://nepsealpha.com/nepse-chart?symbol=GBIMEP
CYCLP,864.0,864.0,0.0,N/A,https://nepsealpha.com/nepse-chart?symbol=CYCLP
JBBLPO,187.0,187.0,0.0,N/A,https://nepsealpha.com/nepse-chart?symbol=JBBLPO
PMLIP,270.01,270.0,0.0,N/A,https://nepsealpha.com/nepse-chart?symbol=PMLIP
SLBBLP,453.0,453.0,0.0,N/A,https://nepsealpha.com/nepse-chart?symbol=SLBBLP
SMJC,470.0,470.0,0.0,N/A,https://nepsealpha.com/nepse-chart?symbol=SMJC
RLFLPO,274.0,274.0,0.0,N/A,https://nepsealpha.com/nepse-chart?symbol=RLFLPO
UNLB,1810.0,1810.0,0.0,N/A,https://nepsealpha.com/nepse-chart?symbol=UNLB
MSHL,789.0,785.1,0.5,N/A,https://nepsealpha.com/nepse-chart?symbol=MSHL
NICL,487.0,483.0,0.83,N/A,https://nepsealpha.com/nepse-chart?symbol=NICL
TAMOR,414.0,409.0,1.22,N/A,https://nepsealpha.com/nepse-chart?symbol=TAMOR
SKBBL,761.2,752.0,1.22,N/A,https://nepsealpha.com/nepse-chart?symbol=SKBBL
CBBLPO,395.0,390.0,1.28,N/A,https://nepsealpha.com/nepse-chart?symbol=CBBLPO
SHLB,1560.0,1540.2,1.29,N/A,https://nepsealpha.com/nepse-chart?symbol=SHLB
VLBS,747.0,737.0,1.36,N/A,https://nepsealpha.com/nepse-chart?symbol=VLBS
MKCL,1351.1,1333.0,1.36,N/A,https://nepsealpha.com/nepse-chart?symbol=MKCL
PRVU,182.4,179.9,1.39,N/A,https://nepsealpha.com/nepse-chart?symbol=PRVU
CIT,1755.0,1730.8,1.4,N/A,https://nepsealpha.com/nepse-chart?symbol=CIT
