Symbol,Latest_Close,52_Week_Low,Distance_from_Low_%,Date_at_52W_Low
SMATAP,421.0,441.0,-4.54,N/A
PBD84,1070.2,1080.0,-0.91,N/A
SBLD83,1045.0,1052.0,-0.67,N/A
ALICLP,252.0,252.0,0.0,N/A
KBLPO,100.0,100.0,0.0,N/A
JBBLPO,181.4,181.4,0.0,N/A
CYCLP,831.0,831.0,0.0,N/A
BFCPO,250.0,250.0,0.0,N/A
LBBLPO,261.0,261.0,0.0,N/A
KMCDBP,587.0,587.0,0.0,N/A
MATRIP,523.5,523.5,0.0,N/A
NLICLP,321.0,321.0,0.0,N/A
MLBSLP,100.0,100.0,0.0,N/A
NABILP,301.1,301.1,0.0,N/A
HBLPO,115.0,115.0,0.0,N/A
FOWADP,660.0,660.0,0.0,N/A
NMLBBLP,334.0,334.0,0.0,N/A
PMLIP,270.0,270.0,0.0,N/A
RLFLPO,268.6,268.6,0.0,N/A
PRVUPO,100.0,100.0,0.0,N/A
SIFCPO,286.0,286.0,0.0,N/A
NLICP,413.0,413.0,0.0,N/A
NMFBSP,675.0,675.0,0.0,N/A
MLBSP,698.0,698.0,0.0,N/A
SFCLP,164.0,164.0,0.0,N/A
GBIMEP,100.0,100.0,0.0,N/A
SLBBLP,453.0,453.0,0.0,N/A
SBLD2082,1045.2,1045.1,0.01,N/A
SMB,1702.0,1699.0,0.18,N/A
CGH,797.0,792.3,0.59,N/A
BBC,4515.0,4480.0,0.78,N/A
ULI,358.0,355.0,0.85,N/A
GWFD83,1090.0,1080.0,0.93,N/A
ADBLD83,1051.9,1042.2,0.93,N/A
CBBLPO,395.0,390.0,1.28,N/A
SBLD84,1045.0,1031.3,1.33,N/A
