Symbol,Date,Signal,Weekly_Change_%
GLH,2026-02-12,BUY,3.51
CORBL,2026-02-12,SELL,-14.83
AHPC,2026-02-05,BUY,1.84
CORBL,2026-02-05,BUY,-2.43
MPFL,2026-02-05,BUY,2.67
AKJCL,2026-01-29,BUY,27.87
NABBC,2026-01-29,BUY,3.4
SBI,2026-01-29,BUY,-1.69
SIFC,2026-01-29,BUY,8.36
AHPC,2026-01-29,SELL,1.87
EDBL,2026-01-22,BUY,12.27
ICFC,2026-01-22,BUY,5.3
HPPL,2026-01-22,SELL,-0.29
NHDL,2026-01-15,SELL,-0.9
NRN,2026-01-15,SELL,0.84
PCBL,2026-01-08,SELL,-9.4
NHDL,2026-01-01,BUY,9.12
PCBL,2026-01-01,BUY,1.79
CORBL,2026-01-01,SELL,8.97
MKJC,2026-01-01,SELL,-1.09
NIFRA,2026-01-01,SELL,1.45
NMB,2026-01-01,SELL,1.57
RURU,2026-01-01,SELL,-7.77
MFIL,2025-12-25,BUY,3.19
ADBL,2025-12-25,SELL,-1.37
GBIME,2025-12-25,SELL,0.88
HIDCL,2025-12-25,SELL,-3.85
NHDL,2025-12-25,SELL,-8.54
NHDL,2025-12-18,BUY,7.6
SHL,2025-12-18,SELL,1.89
EDBL,2025-12-11,SELL,0.82
GLH,2025-12-11,SELL,-2.45
SADBL,2025-12-11,SELL,-7.34
MEN,2025-12-04,SELL,-17.25
MNBBL,2025-12-04,SELL,-2.49
MEN,2025-11-27,BUY,1.82
NMB,2025-11-27,BUY,9.7
KSBBL,2025-11-27,SELL,4.01
NMB,2025-11-20,SELL,-0.25
UMRH,2025-11-20,SELL,2.63
RURU,2025-11-13,BUY,9.93
GBBL,2025-11-13,SELL,-4.27
ICFC,2025-11-13,SELL,-5.67
ICFC,2025-11-06,BUY,3.49
ICFC,2025-10-30,SELL,3.28
DHPL,2025-10-23,SELL,-0.7
MBL,2025-10-23,SELL,-1.1
MFIL,2025-10-23,SELL,0.18
NHDL,2025-10-23,SELL,0.03
SAPDBL,2025-10-23,SELL,-0.01
CGH,2025-10-16,SELL,-4.65
GHL,2025-10-16,SELL,-6.99
MLBL,2025-10-16,SELL,-4.99
PCBL,2025-10-16,SELL,-4.16
MDB,2025-10-09,SELL,-2.93
PRVU,2025-10-02,SELL,0.97
HDHPC,2025-09-25,SELL,12.73
KBL,2025-09-25,SELL,6.31
LEC,2025-09-25,SELL,7.22
NABBC,2025-09-25,SELL,14.25
NBL,2025-09-25,SELL,8.7
CZBIL,2025-09-18,SELL,-3.68
NHPC,2025-09-18,SELL,-9.98
NLICL,2025-09-18,SELL,-5.13
RURU,2025-09-18,SELL,-8.46
SBI,2025-09-18,SELL,-1.97
SCB,2025-09-18,SELL,-3.91
SINDU,2025-09-18,SELL,-10.0
AKJCL,2025-09-11,SELL,-2.93
CHCL,2025-09-11,SELL,-1.16
JBBL,2025-09-11,SELL,-1.03
MHNL,2025-09-11,SELL,-1.63
NYADI,2025-09-11,SELL,-2.15
SSHL,2025-09-11,SELL,-3.04
BARUN,2025-09-04,SELL,-7.45
MPFL,2025-09-04,SELL,-3.55
HURJA,2025-08-28,SELL,0.68
KKHC,2025-08-28,SELL,-3.01
OHL,2025-08-21,SELL,-0.86
SIFC,2025-08-21,SELL,-2.41
JOSHI,2025-08-14,SELL,-3.48
LEC,2025-08-07,BUY,11.17
ADBL,2025-07-31,BUY,-1.31
ICFC,2025-07-31,BUY,-0.92
MFIL,2025-07-31,BUY,2.93
CGH,2025-07-24,BUY,13.47
GBBL,2025-07-24,BUY,6.05
JBBL,2025-07-24,BUY,7.58
MNBBL,2025-07-24,BUY,12.79
RURU,2025-07-24,BUY,9.5
SCB,2025-07-24,BUY,0.38
SIFC,2025-07-24,BUY,0.98
RHPL,2025-07-24,SELL,-0.19
CHCL,2025-07-17,BUY,4.46
LBBL,2025-07-17,BUY,11.35
MBL,2025-07-17,BUY,8.61
NBL,2025-07-17,BUY,10.73
CZBIL,2025-07-10,BUY,4.06
SJCL,2025-07-10,SELL,-3.73
PCBL,2025-07-03,BUY,7.01
MHNL,2025-06-26,BUY,5.7
CFCL,2025-06-26,SELL,-2.54
CHL,2025-06-26,SELL,10.14
CZBIL,2025-06-26,SELL,-0.12
PCBL,2025-06-26,SELL,0.15
AKJCL,2025-06-19,BUY,4.74
SAHAS,2025-06-19,BUY,-2.0
SBL,2025-06-19,BUY,0.78
SIFC,2025-06-19,SELL,-12.94
SIFC,2025-06-12,BUY,20.8
ALICL,2025-06-12,SELL,-0.22
MHNL,2025-06-12,SELL,3.65
PROFL,2025-06-12,SELL,2.66
TRH,2025-06-12,SELL,-0.0
NGPL,2025-06-05,BUY,-0.74
JBBL,2025-06-05,SELL,-3.61
MBL,2025-06-05,SELL,-7.39
RLFL,2025-06-05,SELL,-2.47
SIFC,2025-06-05,SELL,-2.37
TPC,2025-06-05,SELL,-2.51
GBIME,2025-05-29,BUY,6.33
HURJA,2025-05-29,BUY,1.03
MBL,2025-05-29,BUY,1.72
BFC,2025-05-29,SELL,-2.06
SCB,2025-05-29,SELL,0.8
SPC,2025-05-29,SELL,-0.75
GMFIL,2025-05-22,SELL,6.96
SFCL,2025-05-22,SELL,2.86
AKJCL,2025-05-15,SELL,-6.27
MBL,2025-05-15,SELL,-2.88
RURU,2025-05-15,SELL,-3.21
AKJCL,2025-05-08,BUY,4.27
HBL,2025-05-08,SELL,2.45
GBIME,2025-05-01,SELL,-0.76
ICFC,2025-04-24,SELL,-2.11
LBBL,2025-04-24,SELL,-9.46
MFIL,2025-04-24,SELL,-3.89
SBL,2025-04-24,SELL,-6.37
GFCL,2025-04-17,SELL,2.6
NBL,2025-04-10,SELL,-2.06
SHINE,2025-04-10,SELL,-0.87
CHCL,2025-04-03,SELL,-1.46
GBBL,2025-03-27,SELL,-1.23
JFL,2025-03-27,SELL,0.12
ADBL,2025-03-20,SELL,-2.51
NFS,2025-03-13,SELL,-5.9
NLICL,2025-02-27,BUY,2.09
PFL,2025-02-06,SELL,5.08
GUFL,2025-01-30,SELL,0.75
LEC,2025-01-30,SELL,0.43
MNBBL,2025-01-23,SELL,0.13
NGPL,2025-01-23,SELL,6.34
NLICL,2025-01-16,SELL,1.29
AKJCL,2025-01-09,SELL,3.4
MEN,2025-01-09,SELL,5.14
