Symbol,Date,Signal,Close_at_Crossover,Latest_Close,P/L_%
HDHPC,2026-02-19,BUY,195.1,195.1,0.0
HURJA,2026-02-19,BUY,263.0,263.0,0.0
SADBL,2026-02-19,BUY,412.0,412.0,0.0
EDBL,2026-02-19,SELL,590.0,590.0,0.0
SAHAS,2026-02-19,SELL,556.0,556.0,0.0
GLH,2026-02-12,BUY,284.0,265.4,-6.55
CORBL,2026-02-12,SELL,1660.0,1610.0,3.01
AHPC,2026-02-05,BUY,277.0,275.9,-0.4
CORBL,2026-02-05,BUY,1929.0,1610.0,-16.54
MPFL,2026-02-05,BUY,657.0,610.0,-7.15
AKJCL,2026-01-29,BUY,312.0,373.0,19.55
NABBC,2026-01-29,BUY,1580.0,1418.0,-10.25
SBI,2026-01-29,BUY,408.0,405.0,-0.74
SIFC,2026-01-29,BUY,648.0,577.0,-10.96
AHPC,2026-01-29,SELL,272.0,275.9,-1.43
EDBL,2026-01-22,BUY,668.0,590.0,-11.68
ICFC,2026-01-22,BUY,695.0,640.2,-7.88
HPPL,2026-01-22,SELL,477.1,461.4,3.29
NHDL,2026-01-15,SELL,660.0,647.0,1.97
NRN,2026-01-15,SELL,1382.5,1534.0,-10.96
PCBL,2026-01-08,SELL,237.0,231.5,2.32
NHDL,2026-01-01,BUY,742.0,647.0,-12.8
PCBL,2026-01-01,BUY,261.6,231.5,-11.51
CORBL,2026-01-01,SELL,1580.0,1610.0,-1.9
MKJC,2026-01-01,SELL,510.4,529.0,-3.64
NIFRA,2026-01-01,SELL,265.0,258.8,2.34
NMB,2026-01-01,SELL,238.8,235.0,1.59
RURU,2026-01-01,SELL,670.5,660.0,1.57
MFIL,2025-12-25,BUY,709.0,747.0,5.36
ADBL,2025-12-25,SELL,288.0,296.5,-2.95
GBIME,2025-12-25,SELL,228.0,223.2,2.11
NHDL,2025-12-25,SELL,680.0,647.0,4.85
NHDL,2025-12-18,BUY,743.5,647.0,-12.98
SHL,2025-12-18,SELL,494.7,489.0,1.15
EDBL,2025-12-11,SELL,580.0,590.0,-1.72
GLH,2025-12-11,SELL,247.0,265.4,-7.45
SADBL,2025-12-11,SELL,379.8,412.0,-8.48
MEN,2025-12-04,SELL,554.5,574.3,-3.57
MNBBL,2025-12-04,SELL,347.9,359.0,-3.19
MEN,2025-11-27,BUY,670.1,574.3,-14.3
NMB,2025-11-27,BUY,260.0,235.0,-9.62
KSBBL,2025-11-27,SELL,444.0,455.6,-2.61
NMB,2025-11-20,SELL,237.0,235.0,0.84
UMRH,2025-11-20,SELL,550.1,546.0,0.75
RURU,2025-11-13,BUY,830.0,660.0,-20.48
GBBL,2025-11-13,SELL,370.0,392.5,-6.08
ICFC,2025-11-13,SELL,615.0,640.2,-4.1
ICFC,2025-11-06,BUY,652.0,640.2,-1.81
ICFC,2025-10-30,SELL,630.0,640.2,-1.62
DHPL,2025-10-23,SELL,283.0,303.9,-7.39
MBL,2025-10-23,SELL,207.1,226.0,-9.13
MFIL,2025-10-23,SELL,568.0,747.0,-31.51
NHDL,2025-10-23,SELL,636.5,647.0,-1.65
SAPDBL,2025-10-23,SELL,789.9,814.0,-3.05
CGH,2025-10-16,SELL,823.8,821.1,0.33
GHL,2025-10-16,SELL,200.9,240.0,-19.46
MLBL,2025-10-16,SELL,363.9,364.1,-0.05
PCBL,2025-10-16,SELL,232.8,231.5,0.56
MDB,2025-10-09,SELL,592.1,619.0,-4.54
PRVU,2025-10-02,SELL,207.9,182.0,12.46
HDHPC,2025-09-25,SELL,186.0,195.1,-4.89
KBL,2025-09-25,SELL,190.3,183.0,3.84
LEC,2025-09-25,SELL,208.0,215.0,-3.37
NABBC,2025-09-25,SELL,772.0,1418.0,-83.68
NBL,2025-09-25,SELL,250.0,240.7,3.72
CZBIL,2025-09-18,SELL,197.0,188.1,4.52
NHPC,2025-09-18,SELL,178.6,218.0,-22.06
NLICL,2025-09-18,SELL,550.0,569.0,-3.45
RURU,2025-09-18,SELL,650.0,660.0,-1.54
SBI,2025-09-18,SELL,376.9,405.0,-7.46
SCB,2025-09-18,SELL,607.0,640.8,-5.57
SINDU,2025-09-18,SELL,618.0,731.0,-18.28
AKJCL,2025-09-11,SELL,191.33,373.0,-94.95
CHCL,2025-09-11,SELL,497.36,466.9,6.12
