50 vs 20 EMA Cross,Date
RADHI - 2024-06-12 00:00:00 - Cross - Close: 254.0,2024-06-12
SPDL - 2024-06-11 00:00:00 - Cross - Close: 251.0,2024-06-11
STC - 2024-06-10 00:00:00 - Cross - Close: 4730.0,2024-06-10
VLUCL - 2024-06-09 00:00:00 - Cross - Close: 530.0,2024-06-09
DORDI - 2024-06-06 00:00:00 - Cross - Close: 424.0,2024-06-06
NGPL - 2024-06-05 00:00:00 - Cross - Close: 303.0,2024-06-05
TSHL - 2024-06-04 00:00:00 - Cross - Close: 508.0,2024-06-04
NICA - 2024-06-03 00:00:00 - Cross - Close: 415.1,2024-06-03
SHL - 2024-06-02 00:00:00 - Cross - Close: 438.0,2024-06-02
TAMOR - 2024-05-30 00:00:00 - Cross - Close: 374.0,2024-05-30
