Symbol,50 vs 20 EMA Cross,Date
ADBL,SRLI - 2024-06-13 00:00:00 - Cross - Close: 444.8,2024-06-13
ADBLD83,NLG - 2024-06-12 00:00:00 - Cross - Close: 772.0,2024-06-12
AHL,SSHL - 2024-06-11 00:00:00 - Cross - Close: 165.8,2024-06-11
AHPC,UNHPL - 2024-06-10 00:00:00 - Cross - Close: 231.0,2024-06-10
AKJCL,TSHL - 2024-06-09 00:00:00 - Cross - Close: 515.0,2024-06-09
AKPL,SRLI - 2024-06-06 00:00:00 - Cross - Close: 440.0,2024-06-06
ALBSL,USLB - 2024-06-05 00:00:00 - Cross - Close: 1978.0,2024-06-05
ALICL,SSHL - 2024-06-04 00:00:00 - Cross - Close: 160.0,2024-06-04
ANLB,UNHPL - 2024-06-03 00:00:00 - Cross - Close: 225.0,2024-06-03
API,TSHL - 2024-06-02 00:00:00 - Cross - Close: 515.0,2024-06-02
AVYAN,STC - 2024-05-30 00:00:00 - Cross - Close: 4412.0,2024-05-30
BARUN,SJCL - 2024-05-29 00:00:00 - Cross - Close: 268.0,2024-05-29
BBC,UNL - 2024-05-27 00:00:00 - Cross - Close: 39351.0,2024-05-27
BEDC,UNL - 2024-05-26 00:00:00 - Cross - Close: 39500.0,2024-05-26
BFC,TRH - 2024-05-22 00:00:00 - Cross - Close: 741.0,2024-05-22
BGWT,VLUCL - 2024-05-21 00:00:00 - Cross - Close: 508.0,2024-05-21
BHDC,ULHC - 2024-05-20 00:00:00 - Cross - Close: 335.0,2024-05-20
BHL,TAMOR - 2024-05-19 00:00:00 - Cross - Close: 381.0,2024-05-19
BHPL,SRLI - 2024-05-16 00:00:00 - Cross - Close: 435.0,2024-05-16
BNHC,UMRH - 2024-05-15 00:00:00 - Cross - Close: 355.0,2024-05-15
BNL,SIKLES - 2024-05-14 00:00:00 - Cross - Close: 500.2,2024-05-14
BNT,SGHC - 2024-05-13 00:00:00 - Cross - Close: 314.9,2024-05-13
BPCL,SCB - 2024-05-12 00:00:00 - Cross - Close: 523.5,2024-05-12
C30MF,UAIL - 2024-05-09 00:00:00 - Cross - Close: 534.0,2024-05-09
CBBL,USHEC - 2024-05-08 00:00:00 - Cross - Close: 367.9,2024-05-08
CBLD88,UAIL - 2024-05-07 00:00:00 - Cross - Close: 535.0,2024-05-07
CCBD88,USHEC - 2024-05-06 00:00:00 - Cross - Close: 364.0,2024-05-06
CFCL,UNL - 2024-04-24 00:00:00 - Cross - Close: 39780.0,2024-04-24
CGH,SWBBL - 2024-05-02 00:00:00 - Cross - Close: 756.0,2024-05-02
CHCL,UAIL - 2024-04-30 00:00:00 - Cross - Close: 552.9,2024-04-30
CHDC,SHINE - 2024-04-29 00:00:00 - Cross - Close: 371.0,2024-04-29
CHL,SLBBL - 2024-04-28 00:00:00 - Cross - Close: 659.0,2024-04-28
CIT,ULHC - 2024-04-25 00:00:00 - Cross - Close: 333.0,2024-04-25
CITY,SLBBL - 2024-04-24 00:00:00 - Cross - Close: 650.0,2024-04-24
CKHL,SFMF - 2024-04-10 00:00:00 - Cross - Close: 9.54,2024-04-10
CLI,SFMF - 2024-04-09 00:00:00 - Cross - Close: 9.69,2024-04-09
CMF1,USHL - 2024-04-18 00:00:00 - Cross - Close: 462.1,2024-04-18
CMF2,SJLIC - 2024-04-16 00:00:00 - Cross - Close: 502.9,2024-04-16
CORBL,UNL - 2024-03-28 00:00:00 - Cross - Close: 39800.1,2024-03-28
CYCL,NIL - 2024-04-14 00:00:00 - Cross - Close: 813.3,2024-04-14
CZBIL,TRH - 2024-04-10 00:00:00 - Cross - Close: 760.0,2024-04-10
DDBL,SNLI - 2024-04-09 00:00:00 - Cross - Close: 605.0,2024-04-09
DHPL,SRLI - 2024-04-07 00:00:00 - Cross - Close: 459.0,2024-04-07
DLBS,SIFC - 2024-04-04 00:00:00 - Cross - Close: 361.9,2024-04-04
DOLTI,SNLI - 2024-04-03 00:00:00 - Cross - Close: 596.0,2024-04-03
DORDI,UNL - 2024-03-18 00:00:00 - Cross - Close: 39900.0,2024-03-18
