50 vs 20 EMA Cross,Date,URL
CIT - 2024-07-29 00:00:00 - Cross - Close: 2164.0,2024-07-29,https://nepsealpha.com/trading/chart?symbol=CIT
ILI - 2024-07-25 00:00:00 - Cross - Close: 511.0,2024-07-25,https://nepsealpha.com/trading/chart?symbol=ILI
PPL - 2024-07-21 00:00:00 - Cross - Close: 534.9,2024-07-21,https://nepsealpha.com/trading/chart?symbol=PPL
SJLIC - 2024-07-18 00:00:00 - Cross - Close: 460.0,2024-07-18,https://nepsealpha.com/trading/chart?symbol=SJLIC
UPPER - 2024-07-16 00:00:00 - Cross - Close: 186.7,2024-07-16,https://nepsealpha.com/trading/chart?symbol=UPPER
UPCL - 2024-07-15 00:00:00 - Cross - Close: 206.1,2024-07-15,https://nepsealpha.com/trading/chart?symbol=UPCL
SHL - 2024-07-14 00:00:00 - Cross - Close: 451.0,2024-07-14,https://nepsealpha.com/trading/chart?symbol=SHL
UMHL - 2024-07-11 00:00:00 - Cross - Close: 245.0,2024-07-11,https://nepsealpha.com/trading/chart?symbol=UMHL
SICL - 2024-07-10 00:00:00 - Cross - Close: 715.0,2024-07-10,https://nepsealpha.com/trading/chart?symbol=SICL
SPDL - 2024-07-09 00:00:00 - Cross - Close: 240.0,2024-07-09,https://nepsealpha.com/trading/chart?symbol=SPDL
SPDL - 2024-07-08 00:00:00 - Cross - Close: 236.5,2024-07-08,https://nepsealpha.com/trading/chart?symbol=SPDL
MBL - 2024-07-07 00:00:00 - Cross - Close: 184.0,2024-07-07,https://nepsealpha.com/trading/chart?symbol=MBL
JBBL - 2024-07-04 00:00:00 - Cross - Close: 312.0,2024-07-04,https://nepsealpha.com/trading/chart?symbol=JBBL
SHINE - 2024-07-03 00:00:00 - Cross - Close: 390.5,2024-07-03,https://nepsealpha.com/trading/chart?symbol=SHINE
STC - 2024-07-02 00:00:00 - Cross - Close: 4700.0,2024-07-02,https://nepsealpha.com/trading/chart?symbol=STC
PCBL - 2024-07-01 00:00:00 - Cross - Close: 195.8,2024-07-01,https://nepsealpha.com/trading/chart?symbol=PCBL
PCBL - 2024-06-30 00:00:00 - Cross - Close: 193.0,2024-06-30,https://nepsealpha.com/trading/chart?symbol=PCBL
STC - 2024-06-27 00:00:00 - Cross - Close: 4540.0,2024-06-27,https://nepsealpha.com/trading/chart?symbol=STC
SHINE - 2024-06-26 00:00:00 - Cross - Close: 380.0,2024-06-26,https://nepsealpha.com/trading/chart?symbol=SHINE
LBBL - 2024-06-25 00:00:00 - Cross - Close: 382.5,2024-06-25,https://nepsealpha.com/trading/chart?symbol=LBBL
PRVU - 2024-06-23 00:00:00 - Cross - Close: 142.0,2024-06-23,https://nepsealpha.com/trading/chart?symbol=PRVU
