Symbol,Date,50 vs 20 EMA Cross
NBLD87,2024-08-05,NBLD87 - 2024-08-05 00:00:00 - Bull Close: 951.6
CIT,2024-07-30,CIT - 2024-07-30 00:00:00 - Bear Close: 2190
PBD88,2024-07-29,PBD88 - 2024-07-29 00:00:00 - Bull Close: 1030
ILI,2024-07-28,ILI - 2024-07-28 00:00:00 - Bear Close: 525
PPL,2024-07-22,PPL - 2024-07-22 00:00:00 - Bear Close: 523.9
JOSHI,2024-07-22,JOSHI - 2024-07-22 00:00:00 - Bear Close: 324
HEIP,2024-07-21,HEIP - 2024-07-21 00:00:00 - Bear Close: 398
HDL,2024-07-21,HDL - 2024-07-21 00:00:00 - Bear Close: 1519
SNLI,2024-07-21,SNLI - 2024-07-21 00:00:00 - Bear Close: 543.1
SJLIC,2024-07-21,SJLIC - 2024-07-21 00:00:00 - Bear Close: 462.6
HRL,2024-07-18,HRL - 2024-07-18 00:00:00 - Bear Close: 610
SARBTM,2024-07-17,SARBTM - 2024-07-17 00:00:00 - Bear Close: 864
AKJCL,2024-07-17,AKJCL - 2024-07-17 00:00:00 - Bull Close: 179
BNT,2024-07-17,BNT - 2024-07-17 00:00:00 - Bear Close: 13900
AHPC,2024-07-17,AHPC - 2024-07-17 00:00:00 - Bear Close: 203
HLI,2024-07-17,HLI - 2024-07-17 00:00:00 - Bear Close: 415.9
NRIC,2024-07-17,NRIC - 2024-07-17 00:00:00 - Bear Close: 718.9
SHEL,2024-07-17,SHEL - 2024-07-17 00:00:00 - Bear Close: 207.4
RBCL,2024-07-17,RBCL - 2024-07-17 00:00:00 - Bear Close: 14160
SHIVM,2024-07-17,SHIVM - 2024-07-17 00:00:00 - Bear Close: 535.9
AKPL,2024-07-16,AKPL - 2024-07-16 00:00:00 - Bear Close: 202.5
SHPC,2024-07-16,SHPC - 2024-07-16 00:00:00 - Bear Close: 354
SAHAS,2024-07-16,SAHAS - 2024-07-16 00:00:00 - Bear Close: 538.8
GCIL,2024-07-16,GCIL - 2024-07-16 00:00:00 - Bear Close: 522
RIDI,2024-07-16,RIDI - 2024-07-16 00:00:00 - Bear Close: 209.5
MBJC,2024-07-16,MBJC - 2024-07-16 00:00:00 - Bear Close: 325
SJCL,2024-07-16,SJCL - 2024-07-16 00:00:00 - Bear Close: 299.3
GUFL,2024-07-16,GUFL - 2024-07-16 00:00:00 - Bear Close: 742.9
CHL,2024-07-16,CHL - 2024-07-16 00:00:00 - Bear Close: 337.5
PMHPL,2024-07-16,PMHPL - 2024-07-16 00:00:00 - Bear Close: 257.5
MEL,2024-07-16,MEL - 2024-07-16 00:00:00 - Bear Close: 251
SONA,2024-07-16,SONA - 2024-07-16 00:00:00 - Bear Close: 484.8
UPCL,2024-07-16,UPCL - 2024-07-16 00:00:00 - Bear Close: 224
CHCL,2024-07-16,CHCL - 2024-07-16 00:00:00 - Bear Close: 498
PPCL,2024-07-15,PPCL - 2024-07-15 00:00:00 - Bear Close: 253.9
NHPC,2024-07-15,NHPC - 2024-07-15 00:00:00 - Bear Close: 162.9
RHPL,2024-07-15,RHPL - 2024-07-15 00:00:00 - Bear Close: 295
HDHPC,2024-07-15,HDHPC - 2024-07-15 00:00:00 - Bear Close: 149
NLIC,2024-07-15,NLIC - 2024-07-15 00:00:00 - Bear Close: 619
SHL,2024-07-15,SHL - 2024-07-15 00:00:00 - Bear Close: 442
BPCL,2024-07-15,BPCL - 2024-07-15 00:00:00 - Bear Close: 310
API,2024-07-14,API - 2024-07-14 00:00:00 - Bear Close: 188
UMHL,2024-07-14,UMHL - 2024-07-14 00:00:00 - Bear Close: 258
GBIME,2024-07-14,GBIME - 2024-07-14 00:00:00 - Bear Close: 200
OTHERS,2024-07-14,OTHERS - 2024-07-14 00:00:00 - Bear Close: 1715.16
LEC,2024-07-14,LEC - 2024-07-14 00:00:00 - Bear Close: 196
