Symbol,Date,50 vs 20 EMA Cross with RSI
MKJC,2024-09-01,MKJC - 2024-09-01 00:00:00 - Bull Close: 507.0 - RSI: 32.01
GILB,2024-09-01,GILB - 2024-09-01 00:00:00 - Bull Close: 1295.0 - RSI: 37.86
DLBS,2024-08-29,DLBS - 2024-08-29 00:00:00 - Bull Close: 1254.0 - RSI: 43.84
CYCL,2024-08-29,CYCL - 2024-08-29 00:00:00 - Bull Close: 1495.0 - RSI: 42.08
BNHC,2024-08-28,BNHC - 2024-08-28 00:00:00 - Bull Close: 561.0 - RSI: 34.35
VLBS,2024-08-27,VLBS - 2024-08-27 00:00:00 - Bull Close: 931.0 - RSI: 35.90
TPC,2024-08-25,TPC - 2024-08-25 00:00:00 - Bull Close: 482.0 - RSI: 33.17
GLBSL,2024-08-22,GLBSL - 2024-08-22 00:00:00 - Bull Close: 1760.0 - RSI: 39.29
HLBSL,2024-08-13,HLBSL - 2024-08-13 00:00:00 - Bull Close: 1068.9 - RSI: 35.92
AKJCL,2024-08-13,AKJCL - 2024-08-13 00:00:00 - Bear Close: 246.7 - RSI: 68.61
ILBS,2024-08-08,ILBS - 2024-08-08 00:00:00 - Bull Close: 1148.9 - RSI: 39.50
JOSHI,2024-07-22,JOSHI - 2024-07-22 00:00:00 - Bear Close: 324.0 - RSI: 64.26
PPL,2024-07-22,PPL - 2024-07-22 00:00:00 - Bear Close: 523.9 - RSI: 66.78
SJLIC,2024-07-21,SJLIC - 2024-07-21 00:00:00 - Bear Close: 462.6 - RSI: 79.59
HDL,2024-07-21,HDL - 2024-07-21 00:00:00 - Bear Close: 1519.0 - RSI: 81.25
SNLI,2024-07-21,SNLI - 2024-07-21 00:00:00 - Bear Close: 543.1 - RSI: 70.97
HRL,2024-07-18,HRL - 2024-07-18 00:00:00 - Bear Close: 610.0 - RSI: 68.92
RBCL,2024-07-17,RBCL - 2024-07-17 00:00:00 - Bear Close: 14160.0 - RSI: 76.39
SHIVM,2024-07-17,SHIVM - 2024-07-17 00:00:00 - Bear Close: 535.9 - RSI: 75.26
SHEL,2024-07-17,SHEL - 2024-07-17 00:00:00 - Bear Close: 207.4 - RSI: 86.27
SARBTM,2024-07-17,SARBTM - 2024-07-17 00:00:00 - Bear Close: 864.0 - RSI: 67.78
HLI,2024-07-17,HLI - 2024-07-17 00:00:00 - Bear Close: 415.9 - RSI: 71.38
AKJCL,2024-07-17,AKJCL - 2024-07-17 00:00:00 - Bull Close: 179.0 - RSI: 36.40
BNT,2024-07-17,BNT - 2024-07-17 00:00:00 - Bear Close: 13900.0 - RSI: 72.78
AHPC,2024-07-17,AHPC - 2024-07-17 00:00:00 - Bear Close: 203.0 - RSI: 86.99
NRIC,2024-07-17,NRIC - 2024-07-17 00:00:00 - Bear Close: 718.9 - RSI: 69.84
AKPL,2024-07-16,AKPL - 2024-07-16 00:00:00 - Bear Close: 202.5 - RSI: 85.83
UPCL,2024-07-16,UPCL - 2024-07-16 00:00:00 - Bear Close: 224.0 - RSI: 78.91
RIDI,2024-07-16,RIDI - 2024-07-16 00:00:00 - Bear Close: 209.5 - RSI: 82.89
SJCL,2024-07-16,SJCL - 2024-07-16 00:00:00 - Bear Close: 299.3 - RSI: 79.15
SAHAS,2024-07-16,SAHAS - 2024-07-16 00:00:00 - Bear Close: 538.8 - RSI: 62.19
CHL,2024-07-16,CHL - 2024-07-16 00:00:00 - Bear Close: 337.5 - RSI: 64.27
CHCL,2024-07-16,CHCL - 2024-07-16 00:00:00 - Bear Close: 498.0 - RSI: 84.12
GUFL,2024-07-16,GUFL - 2024-07-16 00:00:00 - Bear Close: 742.9 - RSI: 57.20
PMHPL,2024-07-16,PMHPL - 2024-07-16 00:00:00 - Bear Close: 257.5 - RSI: 72.58
GCIL,2024-07-16,GCIL - 2024-07-16 00:00:00 - Bear Close: 522.0 - RSI: 69.65
SONA,2024-07-16,SONA - 2024-07-16 00:00:00 - Bear Close: 484.8 - RSI: 71.62
MEL,2024-07-16,MEL - 2024-07-16 00:00:00 - Bear Close: 251.0 - RSI: 74.97
SHPC,2024-07-16,SHPC - 2024-07-16 00:00:00 - Bear Close: 354.0 - RSI: 76.59
MBJC,2024-07-16,MBJC - 2024-07-16 00:00:00 - Bear Close: 325.0 - RSI: 66.91
BPCL,2024-07-15,BPCL - 2024-07-15 00:00:00 - Bear Close: 310.0 - RSI: 77.86
NHPC,2024-07-15,NHPC - 2024-07-15 00:00:00 - Bear Close: 162.9 - RSI: 76.32
NLIC,2024-07-15,NLIC - 2024-07-15 00:00:00 - Bear Close: 619.0 - RSI: 66.58
RHPL,2024-07-15,RHPL - 2024-07-15 00:00:00 - Bear Close: 295.0 - RSI: 72.29
SHL,2024-07-15,SHL - 2024-07-15 00:00:00 - Bear Close: 442.0 - RSI: 56.07
HDHPC,2024-07-15,HDHPC - 2024-07-15 00:00:00 - Bear Close: 149.0 - RSI: 80.60
PPCL,2024-07-15,PPCL - 2024-07-15 00:00:00 - Bear Close: 253.9 - RSI: 66.68
SKBBL,2024-07-14,SKBBL - 2024-07-14 00:00:00 - Bear Close: 856.0 - RSI: 74.42
GBIME,2024-07-14,GBIME - 2024-07-14 00:00:00 - Bear Close: 200.0 - RSI: 76.49
LEC,2024-07-14,LEC - 2024-07-14 00:00:00 - Bear Close: 196.0 - RSI: 68.22
GLH,2024-07-14,GLH - 2024-07-14 00:00:00 - Bear Close: 221.0 - RSI: 59.46
API,2024-07-14,API - 2024-07-14 00:00:00 - Bear Close: 188.0 - RSI: 75.24
UMHL,2024-07-14,UMHL - 2024-07-14 00:00:00 - Bear Close: 258.0 - RSI: 67.95
SICL,2024-07-11,SICL - 2024-07-11 00:00:00 - Bear Close: 719.9 - RSI: 68.67
NLICL,2024-07-11,NLICL - 2024-07-11 00:00:00 - Bear Close: 581.0 - RSI: 70.55
HIDCL,2024-07-11,HIDCL - 2024-07-11 00:00:00 - Bear Close: 172.0 - RSI: 65.01
GHL,2024-07-11,GHL - 2024-07-11 00:00:00 - Bear Close: 158.8 - RSI: 66.82
NIMB,2024-07-11,NIMB - 2024-07-11 00:00:00 - Bear Close: 171.5 - RSI: 72.13
MHNL,2024-07-11,MHNL - 2024-07-11 00:00:00 - Bear Close: 249.0 - RSI: 56.08
HBL,2024-07-11,HBL - 2024-07-11 00:00:00 - Bear Close: 201.6 - RSI: 75.26
KKHC,2024-07-11,KKHC - 2024-07-11 00:00:00 - Bear Close: 236.0 - RSI: 61.77
IGI,2024-07-11,IGI - 2024-07-11 00:00:00 - Bear Close: 556.9 - RSI: 66.58
SRLI,2024-07-10,SRLI - 2024-07-10 00:00:00 - Bear Close: 455.0 - RSI: 61.00
LIFEINSU,2024-07-10,LIFEINSU - 2024-07-10 00:00:00 - Bear Close: 10409.03 - RSI: 63.77
SPDL,2024-07-10,SPDL - 2024-07-10 00:00:00 - Bear Close: 241.0 - RSI: 50.52
LSL,2024-07-10,LSL - 2024-07-10 00:00:00 - Bear Close: 165.0 - RSI: 63.29
NIFRA,2024-07-10,NIFRA - 2024-07-10 00:00:00 - Bear Close: 208.6 - RSI: 65.46
RNLI,2024-07-10,RNLI - 2024-07-10 00:00:00 - Bear Close: 455.3 - RSI: 67.24
CBBL,2024-07-09,CBBL - 2024-07-09 00:00:00 - Bear Close: 870.0 - RSI: 66.37
PMLI,2024-07-09,PMLI - 2024-07-09 00:00:00 - Bear Close: 538.0 - RSI: 68.30
GBBL,2024-07-09,GBBL - 2024-07-09 00:00:00 - Bear Close: 384.0 - RSI: 69.51
ALICL,2024-07-09,ALICL - 2024-07-09 00:00:00 - Bear Close: 590.0 - RSI: 63.95
MHNL,2024-07-09,MHNL - 2024-07-09 00:00:00 - Bull Close: 235.6 - RSI: 46.01
JALPA,2024-07-09,JALPA - 2024-07-09 00:00:00 - Bear Close: 1440.0 - RSI: 61.94
MNBBL,2024-07-09,MNBBL - 2024-07-09 00:00:00 - Bear Close: 358.4 - RSI: 60.52
KBL,2024-07-09,KBL - 2024-07-09 00:00:00 - Bear Close: 143.5 - RSI: 60.73
SPDL,2024-07-09,SPDL - 2024-07-09 00:00:00 - Bull Close: 240.0 - RSI: 49.41
NBL,2024-07-08,NBL - 2024-07-08 00:00:00 - Bear Close: 219.0 - RSI: 60.06
JBLB,2024-07-08,JBLB - 2024-07-08 00:00:00 - Bear Close: 1434.0 - RSI: 69.75
MBL,2024-07-08,MBL - 2024-07-08 00:00:00 - Bear Close: 183.0 - RSI: 65.01
GUFL,2024-07-08,GUFL - 2024-07-08 00:00:00 - Bull Close: 697.0 - RSI: 44.39
JALPA,2024-07-07,JALPA - 2024-07-07 00:00:00 - Bull Close: 1304.0 - RSI: 42.56
JBBL,2024-07-07,JBBL - 2024-07-07 00:00:00 - Bear Close: 314.0 - RSI: 74.57
LBBL,2024-07-04,LBBL - 2024-07-04 00:00:00 - Bear Close: 403.0 - RSI: 66.80
NONLIFEINSU,2024-07-04,NONLIFEINSU - 2024-07-04 00:00:00 - Bear Close: 10734.66 - RSI: 57.18
SHINE,2024-07-04,SHINE - 2024-07-04 00:00:00 - Bear Close: 404.0 - RSI: 65.37
PRVU,2024-07-04,PRVU - 2024-07-04 00:00:00 - Bear Close: 147.0 - RSI: 57.81
PRIN,2024-07-04,PRIN - 2024-07-04 00:00:00 - Bear Close: 815.0 - RSI: 64.92
MLBL,2024-07-04,MLBL - 2024-07-04 00:00:00 - Bear Close: 350.0 - RSI: 70.47
AKJCL,2024-07-04,AKJCL - 2024-07-04 00:00:00 - Bear Close: 227.7 - RSI: 68.54
CHL,2024-07-04,CHL - 2024-07-04 00:00:00 - Bull Close: 307.0 - RSI: 41.61
STC,2024-07-03,STC - 2024-07-03 00:00:00 - Bear Close: 4997.0 - RSI: 69.69
HEI,2024-07-03,HEI - 2024-07-03 00:00:00 - Bear Close: 616.0 - RSI: 59.93
USLB,2024-07-03,USLB - 2024-07-03 00:00:00 - Bull Close: 1768.0 - RSI: 40.25
HURJA,2024-07-03,HURJA - 2024-07-03 00:00:00 - Bull Close: 269.0 - RSI: 41.36
SGIC,2024-07-02,SGIC - 2024-07-02 00:00:00 - Bear Close: 554.0 - RSI: 61.29
NICA,2024-07-02,NICA - 2024-07-02 00:00:00 - Bear Close: 418.0 - RSI: 60.14
PCBL,2024-07-02,PCBL - 2024-07-02 00:00:00 - Bear Close: 202.0 - RSI: 56.04
TVCL,2024-07-01,TVCL - 2024-07-01 00:00:00 - Bear Close: 491.0 - RSI: 57.55
PCBL,2024-07-01,PCBL - 2024-07-01 00:00:00 - Bull Close: 195.8 - RSI: 45.92
OHL,2024-07-01,OHL - 2024-07-01 00:00:00 - Bear Close: 763.0 - RSI: 52.06
DOLTI,2024-07-01,DOLTI - 2024-07-01 00:00:00 - Bear Close: 427.9 - RSI: 51.91
NICA,2024-06-30,NICA - 2024-06-30 00:00:00 - Bull Close: 394.1 - RSI: 43.99
OHL,2024-06-30,OHL - 2024-06-30 00:00:00 - Bull Close: 747.3 - RSI: 44.71
DOLTI,2024-06-30,DOLTI - 2024-06-30 00:00:00 - Bull Close: 406.7 - RSI: 41.81
STC,2024-06-30,STC - 2024-06-30 00:00:00 - Bull Close: 4525.0 - RSI: 42.82
GLH,2024-06-30,GLH - 2024-06-30 00:00:00 - Bull Close: 205.8 - RSI: 43.79
SGIC,2024-06-27,SGIC - 2024-06-27 00:00:00 - Bull Close: 521.0 - RSI: 41.14
HEI,2024-06-27,HEI - 2024-06-27 00:00:00 - Bull Close: 573.2 - RSI: 38.82
SHINE,2024-06-27,SHINE - 2024-06-27 00:00:00 - Bull Close: 376.0 - RSI: 40.78
NONLIFEINSU,2024-06-27,NONLIFEINSU - 2024-06-27 00:00:00 - Bull Close: 10421.29 - RSI: 39.44
SAHAS,2024-06-26,SAHAS - 2024-06-26 00:00:00 - Bull Close: 506.0 - RSI: 40.15
JBLB,2024-06-26,JBLB - 2024-06-26 00:00:00 - Bull Close: 1324.0 - RSI: 44.70
CBBL,2024-06-26,CBBL - 2024-06-26 00:00:00 - Bull Close: 830.0 - RSI: 41.59
LBBL,2024-06-26,LBBL - 2024-06-26 00:00:00 - Bull Close: 378.0 - RSI: 46.21
NLIC,2024-06-25,NLIC - 2024-06-25 00:00:00 - Bull Close: 585.2 - RSI: 38.86
PRVU,2024-06-24,PRVU - 2024-06-24 00:00:00 - Bull Close: 141.0 - RSI: 43.72
SICL,2024-06-23,SICL - 2024-06-23 00:00:00 - Bull Close: 690.0 - RSI: 40.98
HPPL,2024-06-23,HPPL - 2024-06-23 00:00:00 - Bear Close: 277.0 - RSI: 63.87
