Symbol,Date,50 vs 20 EMA Cross with RSI
KKHC,2024-10-30,KKHC - 2024-10-30 00:00:00 - Bullish Close: 281.0 - RSI: 58.54
SKBBL,2024-10-30,SKBBL - 2024-10-30 00:00:00 - Bullish Close: 943.8 - RSI: 50.77
CBBL,2024-10-30,CBBL - 2024-10-30 00:00:00 - Bearish Close: 965.0 - RSI: 36.82
NRIC,2024-10-30,NRIC - 2024-10-30 00:00:00 - Bearish Close: 799.0 - RSI: 38.52
SGIC,2024-10-30,SGIC - 2024-10-30 00:00:00 - Bullish Close: 779.9 - RSI: 76.67
SMHL,2024-10-29,SMHL - 2024-10-29 00:00:00 - Bullish Close: 701.0 - RSI: 85.67
CYCL,2024-10-29,CYCL - 2024-10-29 00:00:00 - Bullish Close: 1564.0 - RSI: 55.83
MMKJL,2024-10-29,MMKJL - 2024-10-29 00:00:00 - Bullish Close: 572.0 - RSI: 79.14
SHL,2024-10-29,SHL - 2024-10-29 00:00:00 - Bullish Close: 536.0 - RSI: 57.26
NWCL,2024-10-29,NWCL - 2024-10-29 00:00:00 - Bullish Close: 1028.0 - RSI: 46.59
SGHC,2024-10-29,SGHC - 2024-10-29 00:00:00 - Bullish Close: 419.2 - RSI: 68.80
ULHC,2024-10-29,ULHC - 2024-10-29 00:00:00 - Bullish Close: 443.0 - RSI: 69.45
NHDL,2024-10-29,NHDL - 2024-10-29 00:00:00 - Bullish Close: 597.0 - RSI: 55.83
SPL,2024-10-29,SPL - 2024-10-29 00:00:00 - Bullish Close: 855.0 - RSI: 51.82
SWBBL,2024-10-29,SWBBL - 2024-10-29 00:00:00 - Bearish Close: 929.0 - RSI: 32.35
MAKAR,2024-10-28,MAKAR - 2024-10-28 00:00:00 - Bullish Close: 570.0 - RSI: 77.48
CYCL,2024-10-28,CYCL - 2024-10-28 00:00:00 - Bearish Close: 1519.0 - RSI: 40.81
LICN,2024-10-28,LICN - 2024-10-28 00:00:00 - Bearish Close: 1270.0 - RSI: 8.17
BHPL,2024-10-28,BHPL - 2024-10-28 00:00:00 - Bullish Close: 687.0 - RSI: 53.71
UNL,2024-10-28,UNL - 2024-10-28 00:00:00 - Bearish Close: 48220.0 - RSI: 41.33
JFL,2024-10-28,JFL - 2024-10-28 00:00:00 - Bullish Close: 775.8 - RSI: 74.63
MLBL,2024-10-27,MLBL - 2024-10-27 00:00:00 - Bearish Close: 392.5 - RSI: 40.18
TAMOR,2024-10-27,TAMOR - 2024-10-27 00:00:00 - Bullish Close: 510.0 - RSI: 59.23
SHL,2024-10-27,SHL - 2024-10-27 00:00:00 - Bearish Close: 509.5 - RSI: 47.51
SKBBL,2024-10-27,SKBBL - 2024-10-27 00:00:00 - Bearish Close: 915.9 - RSI: 46.05
RHGCL,2024-10-27,RHGCL - 2024-10-27 00:00:00 - Bullish Close: 398.0 - RSI: 52.97
NWCL,2024-10-27,NWCL - 2024-10-27 00:00:00 - Bearish Close: 980.0 - RSI: 50.20
DOLTI,2024-10-27,DOLTI - 2024-10-27 00:00:00 - Bullish Close: 557.1 - RSI: 68.53
SPL,2024-10-24,SPL - 2024-10-24 00:00:00 - Bearish Close: 813.0 - RSI: 45.89
BHPL,2024-10-24,BHPL - 2024-10-24 00:00:00 - Bearish Close: 673.0 - RSI: 51.12
RHGCL,2024-10-24,RHGCL - 2024-10-24 00:00:00 - Bearish Close: 391.4 - RSI: 55.73
USHEC,2024-10-23,USHEC - 2024-10-23 00:00:00 - Bullish Close: 523.0 - RSI: 66.43
NICA,2024-10-23,NICA - 2024-10-23 00:00:00 - Bearish Close: 452.0 - RSI: 57.05
NHDL,2024-10-23,NHDL - 2024-10-23 00:00:00 - Bearish Close: 570.0 - RSI: 62.70
UMRH,2024-10-23,UMRH - 2024-10-23 00:00:00 - Bullish Close: 475.0 - RSI: 71.13
CKHL,2024-10-23,CKHL - 2024-10-23 00:00:00 - Bearish Close: 632.0 - RSI: 53.77
MHL,2024-10-23,MHL - 2024-10-23 00:00:00 - Bearish Close: 725.0 - RSI: 62.20
OHL,2024-10-22,OHL - 2024-10-22 00:00:00 - Bearish Close: 934.0 - RSI: 53.19
SICL,2024-10-22,SICL - 2024-10-22 00:00:00 - Bearish Close: 832.0 - RSI: 62.95
BNT,2024-10-21,BNT - 2024-10-21 00:00:00 - Bearish Close: 14448.0 - RSI: 55.79
NICL,2024-10-21,NICL - 2024-10-21 00:00:00 - Bearish Close: 988.0 - RSI: 50.83
RNLI,2024-10-21,RNLI - 2024-10-21 00:00:00 - Bearish Close: 496.0 - RSI: 61.54
FMDBL,2024-10-21,FMDBL - 2024-10-21 00:00:00 - Bearish Close: 754.0 - RSI: 53.47
SJLIC,2024-10-21,SJLIC - 2024-10-21 00:00:00 - Bearish Close: 481.0 - RSI: 57.96
KSBBL,2024-10-20,KSBBL - 2024-10-20 00:00:00 - Bearish Close: 458.0 - RSI: 54.93
DDBL,2024-10-20,DDBL - 2024-10-20 00:00:00 - Bearish Close: 934.0 - RSI: 63.89
DOLTI,2024-10-20,DOLTI - 2024-10-20 00:00:00 - Bearish Close: 530.0 - RSI: 65.26
PFL,2024-10-20,PFL - 2024-10-20 00:00:00 - Bullish Close: 650.1 - RSI: 71.70
RNLI,2024-10-20,RNLI - 2024-10-20 00:00:00 - Bullish Close: 505.0 - RSI: 70.05
SJCL,2024-10-20,SJCL - 2024-10-20 00:00:00 - Bearish Close: 329.5 - RSI: 57.87
CITY,2024-10-20,CITY - 2024-10-20 00:00:00 - Bearish Close: 830.0 - RSI: 65.46
SGIC,2024-10-20,SGIC - 2024-10-20 00:00:00 - Bearish Close: 650.0 - RSI: 55.55
SGIC,2024-10-17,SGIC - 2024-10-17 00:00:00 - Bullish Close: 668.1 - RSI: 57.85
SJCL,2024-10-17,SJCL - 2024-10-17 00:00:00 - Bullish Close: 340.0 - RSI: 60.00
CITY,2024-10-17,CITY - 2024-10-17 00:00:00 - Bullish Close: 860.1 - RSI: 65.49
NICL,2024-10-17,NICL - 2024-10-17 00:00:00 - Bullish Close: 1031.0 - RSI: 61.01
SJLIC,2024-10-17,SJLIC - 2024-10-17 00:00:00 - Bullish Close: 507.6 - RSI: 72.32
DDBL,2024-10-17,DDBL - 2024-10-17 00:00:00 - Bullish Close: 957.0 - RSI: 61.12
DOLTI,2024-10-17,DOLTI - 2024-10-17 00:00:00 - Bullish Close: 548.1 - RSI: 60.46
BNL,2024-10-17,BNL - 2024-10-17 00:00:00 - Bullish Close: 17780.0 - RSI: 63.92
ALBSL,2024-10-16,ALBSL - 2024-10-16 00:00:00 - Bullish Close: 1073.0 - RSI: 55.91
FMDBL,2024-10-16,FMDBL - 2024-10-16 00:00:00 - Bullish Close: 815.0 - RSI: 65.60
KSBBL,2024-10-16,KSBBL - 2024-10-16 00:00:00 - Bullish Close: 473.4 - RSI: 44.99
SKBBL,2024-10-16,SKBBL - 2024-10-16 00:00:00 - Bullish Close: 966.0 - RSI: 73.91
MHL,2024-10-16,MHL - 2024-10-16 00:00:00 - Bullish Close: 777.2 - RSI: 55.11
NICA,2024-10-16,NICA - 2024-10-16 00:00:00 - Bullish Close: 498.7 - RSI: 71.76
BNT,2024-10-16,BNT - 2024-10-16 00:00:00 - Bullish Close: 15049.0 - RSI: 57.38
SHIVM,2024-10-16,SHIVM - 2024-10-16 00:00:00 - Bullish Close: 626.0 - RSI: 64.51
SMFBS,2024-10-16,SMFBS - 2024-10-16 00:00:00 - Bullish Close: 1587.0 - RSI: 55.65
SICL,2024-10-16,SICL - 2024-10-16 00:00:00 - Bullish Close: 865.0 - RSI: 64.85
