Symbol,Date,Open,High,Low,Close,Percent Change,Volume,EMA_20,EMA_50,RSI,Crossover
UAIL,2025-01-28,655.0,673.0,642.2,670.0,2.29,16206394.2,654.1136863142594,653.7062301753981,52.54668930390493,True
HLI,2025-01-28,484.3,484.3,475.0,478.0,-1.3,38479558.8,464.652443525333,464.45391338601235,64.79289940828403,True
RURU,2025-01-28,760.0,775.2,746.0,770.0,1.32,53395950.5,732.5249835618823,731.7735303241128,65.40284360189574,True
HURJA,2025-01-28,232.0,242.5,232.0,241.3,4.01,54821391.0,233.16510605921167,233.1092967992054,57.54985754985756,True
GLH,2025-01-27,252.0,264.0,252.0,256.1,0.43 %,"152,948.00",249.80585840065032,249.61741929002756,57.420924574209266,True
DEVBANK,2025-01-27,5589.83,5634.74,5540.95,5634.74,0.72 %,"1,044,766,487.40",5471.176521957066,5462.965807434346,62.71170370370372,True
MBJC,2025-01-27,350.3,375.3,350.3,367.9,4.52 %,"152,104.00",350.27560990089466,349.75753091914265,61.64801627670396,True
MLBBL,2025-01-27,1710.1,1777.0,1710.1,1748.0,0.17 %,"3,615.00",1649.7796324868905,1649.337545598263,74.30555555555554,True
ALICL,2025-01-26,734.0,760.0,734.0,751.9,0.40 %,"49,932.00",727.2642518720234,725.7935884082417,70.8941605839416,True
HRL,2025-01-26,859.0,890.1,855.1,863.1,0.48 %,"212,046.00",823.3025971995494,823.0723074933906,69.24791086350974,True
MANDU,2025-01-26,966.0,1015.0,952.1,1007.0,4.24 %,"27,999.00",937.7826137011722,934.7825498923886,76.41025641025641,True
BNHC,2025-01-23,520.0,538.9,520.0,535.0,0.94 %,"60,323.00",504.0617232660927,503.0915336061996,69.92163954189272,True
HOTELS,2025-01-23,6898.5,6910.7,6763.61,6829.26,-0.78 %,"67,986,851.80",6650.622350667484,6642.788795961051,74.42893690894971,True
UNLB,2025-01-23,2638.0,2689.0,2614.0,2640.0,-1.86 %,"4,548.00",2573.779960964838,2570.039406135797,72.6027397260274,True
BNL,2025-01-23,18000.0,19800.0,18000.0,19005.6,5.59 %,100.0,16907.788470451935,16836.800796785756,65.07716453047344,True
ENL,2025-01-22,1200.0,1245.0,1200.0,1221.0,2.61 %,"8,087.00",1210.9489683597976,1210.6636581305895,61.81102362204724,True
PMLI,2025-01-22,578.0,590.0,571.0,590.0,2.08 %,"34,266.00",558.6349396319806,557.5068666945043,68.19029850746269,True
PRIN,2025-01-22,1014.9,1014.9,992.3,998.0,0.00 %,"22,298.00",975.3094886531628,974.5233437110875,68.84920634920636,True
SHEL,2025-01-22,250.0,256.0,248.3,250.6,0.48 %,"119,018.00",248.7701265067321,248.76436379367547,70.75268817204301,True
GCIL,2025-01-22,512.0,520.0,506.5,509.1,-0.57 %,"53,802.00",495.1644597004405,495.0721554964921,63.063063063063076,True
NIL,2025-01-21,949.0,950.0,937.0,943.0,0.64 %,"21,921.00",929.0652715085284,928.5774565159608,63.185654008438824,True
SPC,2025-01-21,588.0,588.0,563.1,566.9,-1.92 %,"63,699.00",536.1711136152487,534.9059702663832,75.71519389701206,True
NRIC,2025-01-21,835.8,875.0,821.0,870.9,5.82 %,"239,210.00",776.0614849071302,775.6214817288362,80.85758039816233,True
UPCL,2025-01-20,270.5,284.8,270.5,283.5,2.72 %,"98,810.00",277.6923782279517,277.3522829495935,63.074484944532486,True
NRM,2025-01-20,500.0,507.0,478.0,493.0,-0.82 %,"147,973.00",455.1113176293418,453.1813539074808,71.05058365758754,True
SMJC,2025-01-19,587.9,591.0,570.0,586.0,1.03 %,"57,911.00",551.6752801217624,549.8051596939646,69.69057665260196,True
TRH,2025-01-16,1182.0,1205.0,1175.0,1175.1,-2.40 %,"16,505.00",1126.1925204545078,1123.9742735015739,67.30769230769226,True
SMH,2025-01-12,1135.0,1135.0,1097.7,1115.0,-2.41 %,"1,837.00",1064.7585300782998,1063.5288536722867,71.73169062286105,True
JBBL,2025-01-09,384.5,384.5,367.0,372.0,-1.33 %,"58,502.00",370.45697937629,370.44337964325786,53.148614609571794,True
EHPL,2025-01-07,816.0,832.0,790.0,805.0,0.63 %,"22,233.00",764.748098563017,764.5830683266965,70.51422319474834,True
UNHPL,2025-01-07,290.0,296.0,283.2,290.0,0.07 %,"37,043.00",284.225722581912,284.1427675361984,48.69565217391303,True
PMHPL,2025-01-07,297.8,297.8,283.0,285.2,-2.33 %,"8,178.00",278.9964044766664,278.92825765553226,50.26881720430106,True
CITY,2025-01-06,875.0,918.0,875.0,907.0,3.65 %,"12,123.00",885.8064103399511,884.7295342361213,51.6711229946524,True
