Symbol,Date,Open,High,Low,Close,Percent Change,Volume,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
AKPL,2025-03-05,253.8,253.8,245.0,246.0,-3.07,52722164.0,240.42986344314673,240.17976835264432,60.803067864302314,31710677.166666668,1.1120924353030717,0.3892465449246174,True
LEC,2025-03-05,234.6,235.8,226.9,228.5,-2.6,70343010.0,216.14450948824998,215.57319847354492,66.45367739218057,31440777.616666667,1.785890409955556,0.6356190549463235,True
NMLBBL,2025-03-05,711.0,711.0,691.0,704.0,-0.98,6972021.5,697.1628613933552,697.0598783024886,56.54205607476635,9426294.8,0.9528687173196204,0.32774786634506653,True
SHL,2025-03-04,515.0,519.0,497.9,506.0,-1.75,34184330.0,503.5171485184759,503.48338635058815,50.05650064293835,21253074.9,0.33222259271489063,0.09732944694491152,True
SBLD84,2025-03-04,1035.0,1035.0,1035.0,1035.0,0.0,25875.0,1028.7994581390212,1028.6484670385685,58.79123643058597,58316.5,0.03989651061674522,0.009698290526193887,True
SCB,2025-03-03,680.1,689.0,677.0,677.1,-0.44,35278460.0,670.5822012082243,670.5084594751937,51.8388585672659,20248862.23809524,0.32681715120204446,0.09203213784567196,True
HBL,2025-03-03,259.1,259.1,245.0,248.0,-4.28,29956866.0,237.95092612653454,237.90624966955238,67.01462455239007,10965895.016666668,1.0381664904177739,0.33644825846697585,True
SJLIC,2025-03-02,470.8,489.3,470.8,488.2,3.7,46506184.0,463.01186886992787,462.7027359710248,62.709291555690164,17500333.166666668,1.2621696169958228,0.4189924870610525,True
AKJCL,2025-02-27,199.9,218.9,199.9,217.9,9.0,145225700.0,204.79073860556767,204.2378598914314,67.01847804906329,28094500.8,0.28175738125739824,0.10330223447885487,True
SRLI,2025-02-25,450.0,452.0,441.0,443.2,-1.51,42860812.0,436.1463471071416,436.0791190244312,59.03226790889617,27053179.066666666,1.7191553865857485,0.5897518827979411,True
NMB,2025-02-24,245.4,259.0,245.4,251.0,2.28,36239930.0,245.7068454633567,245.62239724715175,62.396703594645544,10222004.616666667,0.7042886210345841,0.24472786830887117,True
SWMF,2025-02-20,829.2,829.2,799.9,814.0,-1.83,3037385.0,784.0348728973607,782.8505024903452,66.94444444444444,2881737.220833333,3.066499964228251,1.057349016665421,True
OHL,2025-02-18,1006.0,1060.0,975.2,980.0,-2.58,31545706.0,919.3539659565124,917.7330948953819,63.55968982335839,5570360.470833333,3.098103284625745,0.9622789559116655,True
NADEP,2025-02-11,1030.0,1030.0,990.0,1008.0,-2.14,4858185.5,981.8154319670357,980.7992496933897,61.704114499157626,1896413.775,2.2499667099589034,0.756129816382986,True
GBBD85,2025-02-09,1027.0,1046.0,1027.0,1046.0,1.85,77825.0,1031.4728164116232,1030.5786809687165,64.86987498014658,140921.671875,0.35170613946747836,0.13926560550798966,True
PROFL,2025-02-06,575.0,591.4,565.0,570.0,-0.87,48553330.0,548.3915189658629,547.4707301379517,67.16417910447761,32834551.0,0.27830379317258575,0.09414602759034096,True
HEI,2025-02-05,667.0,683.0,667.0,670.4,0.51,22286798.0,646.2426882763976,645.5731316405117,69.55065673183907,7624636.333333333,2.82754596127254,0.9640523461250268,True
SMATA,2025-02-03,990.0,995.0,948.0,948.0,-4.24,28682290.0,866.2896083352025,864.415715902545,68.69501131656031,2406816.8333333335,6.0915302847479555,2.008707314949061,True
RIDI,2025-02-03,250.0,258.0,242.0,243.1,-2.76,51791816.0,232.1995363424785,231.87849794032184,61.349700908974604,6130111.266666667,1.1505526503644148,0.3866612195738696,True
GBLBS,2025-02-02,823.0,887.7,823.0,887.7,7.86,62300656.0,792.1484428326805,787.2935096126627,69.84353407796816,2560827.466666667,2.7611336038046375,1.0228830836127827,True
HLBSL,2025-02-02,1044.9,1104.9,1039.0,1103.0,5.56,38288732.0,981.5002555761398,978.9285097725871,66.28686731499482,2308558.4,4.193221356097342,1.3617405508457068,True
LLBS,2025-02-02,1097.6,1200.0,1097.6,1198.0,9.15,11414440.0,1127.9493074450534,1127.7424706010602,58.16440992508076,550461.1166666667,1.5172834491878802,0.4551247983409212,True
NICL,2025-02-02,991.6,1014.0,975.4,1010.9,1.95,14478935.0,985.998189320911,985.9528218326752,56.29672838973205,798727.4333333333,0.8683715787064102,0.2952126801590339,True
RURU,2025-01-28,760.0,775.2,746.0,770.0,1.32,53395950.0,732.524980533324,731.7735280957049,65.40284360189574,1794353.9,1.5340057535979668,0.5064050721471631,True
HRL,2025-01-26,859.0,890.1,855.1,863.1,0.48 %,212046.0,823.3025943424759,823.0444679814292,69.24790406293523,99003.0,3.8527672950586975,1.2696742787940138,True
BNL,2025-01-23,18000.0,19800.0,18000.0,19005.6,5.59 %,100.0,16907.788383409927,16831.796672896777,65.07716197603321,68.06666666666666,146.66131210115418,50.68418184461916,True
BNHC,2025-01-23,520.0,538.9,520.0,535.0,0.94 %,60323.0,504.0617192748195,503.0915310204077,69.92163478509764,23318.866666666665,2.9171694434806907,1.0289906042414259,True
PRIN,2025-01-22,1014.9,1014.9,992.3,998.0,0.00 %,22298.0,975.3094928482203,974.5233467432647,68.84919721854209,9268.7,1.217143790930163,0.40928066315516387,True
GCIL,2025-01-22,512.0,520.0,506.5,509.1,-0.57 %,53802.0,495.1644603012756,495.07218425765,63.06306691598012,39829.066666666666,0.7179854816586044,0.21270809302814087,True
PMLI,2025-01-22,578.0,590.0,571.0,590.0,2.08 %,34266.0,558.6349373738171,557.5081317209967,68.19029643610526,26352.833333333332,1.4163247795311917,0.47504062537757363,True
NIL,2025-01-21,949.0,950.0,937.0,943.0,0.64 %,21921.0,929.0652725044635,928.5774567865958,63.18564721697858,12316.2,0.2110745950804585,0.0653596618012898,True
SMJC,2025-01-19,587.9,591.0,570.0,586.0,1.03 %,57911.0,551.6752812001093,549.8051421682105,69.69058341388374,27633.5,2.063733292797747,0.7233754394826292,True
KDL,2024-12-02,1097.0,1224.0,1097.0,1200.0,7.25 %,47588.0,1112.4186320444403,1110.4446923933606,59.47242206235013,9836.466666666667,1.9702564095397066,0.6454409642692553,True
KMCDB,2024-11-14,1086.7,1170.0,1086.7,1130.0,1.91 %,19170.0,1066.3764365828802,1062.7182156970352,56.807353637118695,5182.233333333334,4.707623939270706,1.6818533949396623,True
SIKLES,2024-11-14,744.0,784.0,739.0,770.0,3.77 %,32531.0,718.73730009742,716.9866345654073,63.76811302843362,7250.2,2.5264855701447004,0.8748162512181807,True
DLBS,2024-09-04,1290.0,1420.1,1290.0,1400.0,8.44 %,24561.0,1298.679492496347,1297.6432318456957,59.03614362904916,4610.033333333334,0.09547805317279198,-0.10375805683274848,True
CHL,2024-07-16,307.8,344.7,307.8,337.5,7.48 %,131569.0,316.8381799755855,315.95109134292,65.33922679785927,25054.7,0.42034547402796535,0.1572789010515862,True
SAHAS,2024-07-16,521.0,539.0,515.0,538.8,3.82 %,37286.0,519.6709853164322,519.2252268638989,69.3396321477052,17276.866666666665,0.7496863599457356,0.2548351478673112,True
MBJC,2024-07-16,307.5,325.0,306.0,325.0,5.69 %,101579.0,303.9888623059361,302.8199887168362,69.55883679506046,35483.1,0.9571471274098826,0.3479813969067663,True
PPCL,2024-07-15,248.0,258.0,243.0,253.9,3.13 %,71273.0,238.7483681942767,238.6162026755918,62.84657331635781,21489.366666666665,0.4948011370664972,0.1478963650854439,True
GHL,2024-07-11,156.0,159.6,153.0,158.8,3.12 %,306490.0,150.119841461194,150.11381515400922,69.40297785143993,92331.46666666666,0.339355399509958,0.10431388655585465,True
LIFEINSU,2024-07-10,10330.15,10445.46,10322.47,10409.03,0.77 %,254178190.0,10134.808129601595,10132.417710580592,68.16938784999252,152261310.8,25.246184379264378,8.521722132451032,True
LSL,2024-07-10,165.2,165.2,161.0,165.0,1.85 %,72499.0,158.34353460709653,157.98105724003864,67.58619238165895,109961.46666666666,0.5086444792535076,0.18516542180001921,True
CBBL,2024-07-09,850.0,872.0,845.3,870.0,1.75 %,25052.0,841.3108437161534,841.1647623781517,64.00414583093266,13231.133333333333,1.0623255114385983,0.31574514758083294,True
MNBBL,2024-07-09,350.1,367.2,350.0,358.4,1.53 %,62211.0,348.9492996052704,348.4999266343211,63.7404537917804,35025.2,1.026053312526051,0.3685271283172142,True
MBL,2024-07-08,186.6,187.4,181.0,183.0,-0.54 %,47877.0,174.16011340689374,174.07358562888217,68.9655172413793,46736.36666666667,0.6799632784431366,0.22253841709468816,True
SHINE,2024-07-04,398.3,407.0,385.0,404.0,3.46 %,340626.0,385.42368630276985,384.84223402305895,63.58695351709482,68442.56666666667,0.28857502414640523,0.08457439976923524,True
LBBL,2024-07-04,396.0,412.9,395.0,403.0,3.33 %,177984.0,382.95396189281473,381.92275914535423,61.432931084211795,32436.4,0.4499347522126754,0.1571097599101904,True
MLBL,2024-07-04,340.0,354.0,335.0,350.0,4.17 %,492748.0,326.7871597362914,326.0527647465758,65.57862937184524,52376.6,0.6666784315214386,0.2156293126085302,True
STC,2024-07-03,4750.0,5170.0,4750.0,4997.0,6.32 %,23033.0,4655.421223100674,4634.858029574875,61.709739602051826,3990.3333333333335,3.385565149993454,1.4603463331228341,True
TVCL,2024-07-01,479.3,495.0,479.3,491.0,0.41 %,15624.0,473.5380433053407,473.3374225414704,47.02041314572704,26036.2,1.5190342574328952,0.498130318551523,True
HPPL,2024-06-23,270.0,280.0,267.1,277.0,4.53 %,80245.0,262.6065935906711,262.2344171011334,66.9491613092772,17736.433333333334,0.797463862213067,0.2753450670301049,True
MFIL,2024-06-19,518.8,524.0,512.0,520.0,1.56 %,29790.0,511.03413031396724,510.5854799512946,65.90911516020675,32834.7,0.8948980082828484,0.32444598145051484,True
SSHL,2024-06-16,172.3,184.6,170.0,182.8,8.17 %,409555.0,166.00002130373917,165.02178406800235,65.86346562833307,49462.4,0.5667799393419386,0.21289858581674254,True
RADHI,2024-06-13,254.0,270.0,250.9,265.0,4.33 %,191220.0,239.992888605951,238.62468729045398,68.51851851851852,42572.13333333333,1.3294032093815873,0.46977136684868126,True
MHNL,2024-06-11,257.1,271.5,240.9,257.0,-1.53 %,80230.0,239.4725810901273,238.55254202775535,61.40540870460304,15006.066666666668,0.9610361832796741,0.3267872237958954,True
MAKAR,2024-06-03,417.0,434.0,399.9,405.0,-1.29 %,77496.0,377.88293719499995,377.66766814257994,65.09433962264151,20980.633333333335,1.2852589931064244,0.3906941301510301,True
