Symbol,Date,Open,High,Low,Close,Percent Change,Volume,EMA_20,EMA_50,RSI,Buy_Signal,Sell_Signal,Signal
CHDC,2025-08-25,2520.0,2568.9,2505.0,2543.36,0.93,50857092.0,2645.238985404458,2650.8062624949903,18.024456769157084,False,True,Sell
MFLD85,2025-08-25,1068.0,1070.0,1068.0,1070.0,0.19,90900.0,1080.1203793201673,1080.2121563201702,23.723204063639116,False,True,Sell
AVYAN,2025-08-24,1044.0,1044.0,1007.0,1022.11,-2.1,2755045.0,1070.9016335024266,1072.0942692393705,24.582951123089288,False,True,Sell
NICLBSL,2025-08-24,610.8,625.0,610.8,622.72,1.95,4943827.0,660.9531733844116,660.976034270709,21.40312716237476,False,True,Sell
NBL,2025-08-24,257.0,259.0,254.0,254.41,-1.01,16210566.0,272.1565968399901,272.6828307362863,21.656394589351038,False,True,Sell
CZBIL,2025-08-21,210.0,211.6,207.1,208.23,-0.84,19198532.0,216.6590175686203,216.9345277320912,21.909617116560455,False,True,Sell
NBLD85,2025-08-21,1055.0,1060.0,1055.0,1060.0,0.47,1086375.0,1032.5605706055283,1032.4459052434893,66.55518394648828,True,False,Buy
GBLBS,2025-08-21,798.5,798.5,785.0,786.75,-1.47,3942022.2,831.6609244802561,834.4048870716032,17.170196075831285,False,True,Sell
MPFL,2025-08-21,601.0,609.8,595.0,596.27,-0.79,6108728.0,620.7469581290462,621.8732357413594,16.623574234495607,False,True,Sell
NIMB,2025-08-21,215.0,215.2,210.0,212.08,-1.36,35126210.0,220.26734603547473,220.45456916615245,17.579626315280507,False,True,Sell
HDHPC,2025-08-21,200.0,202.0,198.8,198.99,-0.5,18132404.0,202.91395390358355,203.00982415568583,22.72950606460563,False,True,Sell
NIFRA,2025-08-21,280.5,282.5,279.0,279.58,-0.33,32215010.0,286.1417424515689,286.31464485641413,23.524642263437528,False,True,Sell
NTC,2025-08-20,853.0,860.0,850.1,852.79,-0.02,10542998.0,873.8969361400588,875.1937099615955,9.299989964688251,False,True,Sell
LLBS,2025-08-20,1080.0,1080.0,1040.0,1052.61,-2.54,1368817.0,1109.0156932225032,1109.9095194487218,26.255743318706024,False,True,Sell
MANDU,2025-08-20,862.0,879.0,855.0,855.35,-0.77,9158946.0,890.5103052307271,891.7120779879958,7.011619929680123,False,True,Sell
SMHL,2025-08-20,933.6,949.9,928.2,941.57,0.85,14798285.0,1024.2451770053547,1028.8372271852688,10.870011351638055,False,True,Sell
SJLIC,2025-08-20,443.0,443.0,431.0,435.31,-1.74,6089195.5,444.4520778196295,444.93579736963756,16.134475619284373,False,True,Sell
SMH,2025-08-20,884.9,900.0,871.2,897.19,1.39,4129763.2,880.030029484283,879.1991051856738,46.4424661539981,True,False,Buy
NICA,2025-08-20,353.0,356.0,350.0,351.12,-0.53,20575102.0,372.56763929892725,373.3359762759244,23.070549610833567,False,True,Sell
NMIC,2025-08-19,1445.0,1465.0,1435.0,1442.17,-0.2,12417545.0,1558.7160666487832,1560.6114705647756,5.873516173758091,False,True,Sell
SWMFPO,2025-08-19,392.0,392.0,392.0,392.0,0.0,1568000.0,398.3333333333333,398.72549019607845,0.0,False,True,Sell
JFL,2025-08-19,478.0,480.0,471.1,475.31,-0.56,5322267.0,495.00175956625736,496.16399702541827,13.617977749788707,False,True,Sell
SONA,2025-08-19,459.98,465.5,459.98,460.41,0.09,15964542.0,465.963323057043,466.06969402942957,17.652752998831232,False,True,Sell
UPCL,2025-08-18,399.8,404.8,393.1,403.66,0.97,47108508.0,410.09082025140464,410.1421440329659,28.72576817843907,False,True,Sell
HBLPO,2025-08-18,131.0,131.0,131.0,131.0,0.0,4092047.0,132.8095238095238,132.92156862745097,0.0,False,True,Sell
