Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52 Weeks High,52 Weeks Low,EMA_20,EMA_50,RSI,Buy_Signal,Sell_Signal,Signal
SRBLD83,2025-09-25,1100.0,1100.0,1100.0,1100.0,0.0,27500.0,,,1080.7351090509596,1079.8214807738937,64.1362512359729,True,False,Buy
NCCD86,2025-09-25,1180.0,1180.0,1160.0,1161.0,-1.61,1331020.0,,,1107.494750760284,1105.4934917208702,62.40920463630869,True,False,Buy
SANIMA,2025-09-24,343.0,345.0,335.0,335.0,-2.33,36409468.0,,,359.69726063924537,361.11663242306076,28.289761118043955,False,True,Sell
ICFCD88,2025-09-21,1083.0,1110.0,1083.0,1100.0,1.57,329850.0,,,1078.0058816422293,1077.3057099274727,63.35558721094924,True,False,Buy
SHEL,2025-09-18,302.1,302.1,271.9,275.0,-8.97,21999490.0,,,303.41601830265927,304.1060900754119,27.175112458253807,False,True,Sell
CGH,2025-09-18,1005.0,1005.0,888.0,888.0,-11.64,2630445.5,,,1007.4529182774827,1007.6680476032668,20.190004134059947,False,True,Sell
SHIVM,2025-09-18,567.5,567.5,524.0,532.0,-6.26,37451720.0,,,603.5122358509711,603.6764026876734,19.616746378725182,False,True,Sell
NRM,2025-09-18,438.0,438.0,424.0,425.0,-2.97,647989.0,,,487.5175835478573,489.64922523308024,23.19703618906094,False,True,Sell
MBL,2025-09-18,234.1,234.1,225.0,225.0,-3.89,92307.5,,,247.92463892518876,247.9985165306916,22.703883239350134,False,True,Sell
LSL,2025-09-18,226.0,226.0,213.0,219.0,-3.1,1713613.4,,,232.8673952091999,233.04501151585234,24.90820376716829,False,True,Sell
SAHAS,2025-09-18,608.5,608.5,582.2,590.0,-3.04,19648728.0,,,637.9231785416574,638.3736689906749,25.022410350999266,False,True,Sell
JBLB,2025-09-18,1390.0,1390.0,1305.2,1314.0,-5.47,3062649.0,,,1441.3945668884821,1441.5720567347942,19.26621884881982,False,True,Sell
LEC,2025-09-08,217.0,218.0,208.0,210.85,-2.83,52476576.0,,,231.64308626032692,232.0990304055227,22.502507016464023,False,True,Sell
GBBD85,2025-09-08,1082.2,1092.0,1082.2,1092.0,0.91,1200660.0,,,1055.747960296585,1053.5642374216486,69.16981172142935,True,False,Buy
PURE,2025-09-08,787.0,811.0,774.4,775.87,-1.41,13149891.0,,,867.4402653042262,869.4616678321709,24.732542684004315,False,True,Sell
CIZBD90,2025-09-07,1125.0,1125.0,1125.0,1125.0,0.0,28125.0,,,1149.05561661288,1149.4703671482787,27.999430649328332,False,True,Sell
SBIBD86,2025-09-07,1152.0,1169.0,1152.0,1169.0,1.48,817363.7,,,1109.5574863641039,1108.6131278599623,59.75975737462136,True,False,Buy
PMHPL,2025-09-07,370.0,370.0,355.0,356.81,-3.56,34278804.0,,,394.16888870573416,394.7172046753691,16.8186155614829,False,True,Sell
NMBHF2,2025-09-07,8.85,9.15,8.8,9.15,3.39,241733.0,,,9.001429196283215,8.997604968668579,53.107332456528376,True,False,Buy
MKCL,2025-09-07,1540.0,1570.8,1530.0,1530.96,-0.59,10552539.0,,,1614.1775697285232,1614.536940162306,26.709278517398502,False,True,Sell
NIFRAGED,2025-09-03,990.0,1000.0,990.0,991.2,0.12,84662.0,,,988.8084438755232,988.6719086306284,56.28711316150628,True,False,Buy
GBIMESY2,2025-09-02,8.95,9.01,8.69,8.84,-1.23,75254.9,,,8.986485314747643,8.994479069751943,10.000190734135685,False,True,Sell
BOKD86,2025-09-02,1065.9,1091.4,1065.0,1091.4,2.39,368147.4,,,1051.7004131124386,1051.4200900888193,66.97142370854931,True,False,Buy
MKHC,2025-09-01,419.1,427.0,412.0,419.22,0.03,8226331.0,,,446.23063063725533,447.1350694296667,15.529939059741707,False,True,Sell
NICAD85/86,2025-09-01,1135.0,1136.0,1135.0,1136.0,0.09,937175.0,,,1105.6416727997196,1105.4977288060893,46.10385566517406,True,False,Buy
MLBBL,2025-08-26,"1,551.10","1,595.00","1,551.10",1579.77,,2880.0,"2,019.00","1,360.00",1557.1900663795307,1556.9473649691106,53.89246342664143,True,False,Buy
BNHC,2025-08-25,522,526,514.5,515.97,,12293.0,623,440,525.132869595389,525.2799144396264,27.550846396608364,False,True,Sell
SIKLES,2025-08-25,897,914.9,823,866.8,,103813.0,"1,475.00",637,952.5906677566103,957.3636618261523,0.0,False,True,Sell
MSHL,2025-08-24,883.3,917,883.3,908.05,,1690.0,"1,180.00",808.5,896.4212352693049,896.0906819777078,58.09317098498917,True,False,Buy
MND84/85,2025-08-23,"1,045.00","1,080.00","1,045.00",1080.0,,1350.0,"1,100.00",999,1060.1467359353348,1059.233085435292,55.17241379310345,True,False,Buy
