Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52 Weeks High,52 Weeks Low,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
AHL,2025-10-09,620.0,669.0,607.6,667.0,7.58,3379129.2,,,641.0301502683375,640.720439016994,56.999525475576505,2344358.2333333334,1.190652084977137,0.42249036443170096,True
CCBD88,2025-10-08,1229.0,1229.0,1229.0,1229.0,0.0,30725.0,,,1164.328405321958,1162.659220861107,68.77760738677938,47119.22708333333,3.046324043221193,0.9588532932450562,True
NIMBD90,2025-10-08,1152.0,1227.0,1152.0,1227.0,6.51,797149.5,,,1165.4679363569912,1161.8083771756312,62.769230769230774,36858.96666666667,0.26498213404088344,0.15423021236333626,True
EBLD91,2025-09-28,1019.0,1040.4,1019.0,1040.4,2.1,619688.0,,,1013.5434752670556,1012.6759745994375,65.3623104173837,65070.81328125,0.9978549386173882,0.34254735600943603,True
GBIMESY2,2025-09-28,9.02,9.79,8.8,9.79,8.54,90509.0,,,9.046759801206523,9.01656856525052,67.55554726683414,35452.81640625,0.010273354938493994,0.00392103867296143,True
SAHAS,2025-09-28,645.0,657.0,641.5,657.0,1.86,37438452.0,,,640.1555316890208,639.2038559254673,52.95451326434658,25331427.933333334,0.44647062947267385,0.16603738695848733,True
SRBLD83,2025-09-25,1100.0,1100.0,1100.0,1100.0,0.0,27500.0,,,1080.7351090509596,1079.8214807738937,64.1362512359729,3799.95,0.11794991903552728,0.02349003472086224,True
NCCD86,2025-09-25,1180.0,1180.0,1160.0,1161.0,-1.61,1331020.0,,,1107.494750760284,1105.4934917208702,62.40920463630869,177169.94166666668,2.8931626231235894,0.9418057526665052,True
ICFCD88,2025-09-21,1083.0,1110.0,1083.0,1100.0,1.57,329850.0,,,1078.0058816422293,1077.3057099274727,63.35558721094924,34409.666666666664,1.7896367881518926,0.6019740812230794,True
GBBD85,2025-09-08,1082.2,1092.0,1082.2,1092.0,0.91,1200660.0,,,1055.747960296585,1053.5642374216486,69.16981172142935,63585.9734375,1.4794327626364976,0.5540526213531848,True
NMBHF2,2025-09-07,8.85,9.15,8.8,9.15,3.39,241733.0,,,9.001429196283215,8.997604968668579,53.107332456528376,29138.548697916667,0.004674028502505223,0.0016679754077962628,True
SBIBD86,2025-09-07,1152.0,1169.0,1152.0,1169.0,1.48,817363.7,,,1109.5574863641039,1108.6131278599623,59.75975737462136,46772.535416666666,1.6461341040646857,0.4565342015553142,True
NIFRAGED,2025-09-03,990.0,1000.0,990.0,991.2,0.12,84662.0,,,988.8084438755232,988.6719086306284,56.28711316150628,12079.2,0.929616378836181,0.3467809285710473,True
BOKD86,2025-09-02,1065.9,1091.4,1065.0,1091.4,2.39,368147.4,,,1051.7004131124386,1051.4200900888193,66.97142370854931,14617.046875,1.6152853487685206,0.5235250157920746,True
NICAD85/86,2025-09-01,1135.0,1136.0,1135.0,1136.0,0.09,937175.0,,,1105.6416727997196,1105.4977288060893,46.10385566517406,46235.23333333333,0.005645077576082258,-0.06349200373047097,True
MSHL,2025-08-24,883.3,917,883.3,908.05,,1690.0,"1,180.00",808.5,896.4212352693049,896.0906819777078,58.09317098498917,3489.733333333333,0.5613728089743745,0.191915589162636,True
MND84/85,2025-08-23,"1,045.00","1,080.00","1,045.00",1080.0,,1350.0,"1,100.00",999,1060.1467359353348,1059.233085435292,55.17241379310345,263.3333333333333,1.027332778092432,0.33661536664849334,True
SMH,2025-08-20,884.9,900,871.2,897.19,,4655.0,"1,283.00",790,879.1242435365758,878.4523061974475,54.95817748324172,2432.1,0.023615956204253052,-0.0028124935663299765,True
ACLBSLP,2025-08-18,613,613,613,613.0,,8359.0,613,556,448.66528500234733,441.257790965082,65.44401577487818,17163.571428571428,2.3330570004694664,0.8515581930163989,True
PBLD87,2025-08-18,"1,064.00","1,070.00","1,064.00",1070.0,,885.0,"1,087.00",990,1044.5675591370423,1044.5581884991307,61.000447608671784,99.5,0.39248330745622295,0.08481445947827523,True
DOLTI,2025-08-18,585,619,580,603.56,,29384.0,"1,017.00",452.5,584.6506906577239,584.5967676880844,62.10867944155633,14870.466666666667,-0.025017501794650343,-0.04144305109925881,True
WNLB,2025-08-07,"2,414.00","2,561.00","2,325.00",2406.21,,6231.0,"4,271.00","1,431.00",2186.2513564527853,2179.3802911221346,66.03456176766043,2347.4,5.739820799365316,1.7353969320804026,True
NABBC,2025-08-03,"1,691.00","1,820.00","1,691.00",1722.86,,22637.0,"2,060.00",530,1641.2676749749978,1637.7911552044347,53.4540025338941,29302.566666666666,4.700312042439509,1.7034536859019227,True
TVCL,2025-07-22,505,517,497,513.07,,32789.0,697,431,497.9564966310943,497.12116589954877,68.91207904596646,24678.066666666666,0.743924864153712,0.2841714614342095,True
UNL,2025-07-22,"46,980.00","47,430.10","46,500.00",47430.1,,60.0,"56,668.00","43,800.00",46508.427584718316,46490.125335749566,61.59438975715855,128.5,51.00173559641553,17.781061591031904,True
NLG,2025-07-20,800,867,796.1,850.69,,149525.0,"1,382.00",738.1,796.6310837822124,794.9120935723732,65.23172841285859,31231.7,0.8778350656937164,0.29625899752966234,True
KBSH,2025-07-20,"1,930.00","2,080.00","1,923.00",2027.17,,2173.0,"3,300.00","1,468.10",1935.703748780883,1934.1471501105552,63.852374757793804,638.2333333333333,4.602478578002684,1.5138006501545078,True
BNHC,2025-07-19,517.3,523.9,510.1,518.98,,22574.0,689.8,440,508.90916736234436,508.81483151179594,56.52257214275994,11675.566666666668,0.7160838988800947,0.22684149902520404,True
SNLI,2025-07-19,500,510,491,501.03,,67688.0,744.5,452,489.8326069066614,489.8160141920464,45.26937158882652,26208.033333333333,0.8885772688165048,0.2827238854886218,True
MKCL,2025-07-19,"1,523.90","1,547.00","1,470.00",1540.38,,10919.0,"1,926.00","1,230.10",1501.9930429962435,1500.0871259150958,66.82127444555633,4453.233333333334,2.968641679133998,1.0259598554742297,True
API,2025-07-18,300,307.8,297.2,304.55,,334212.0,390,202,296.0592406944747,295.5740618740775,68.3910483425359,198333.06666666668,0.45690382591175194,0.1614486808260267,True
ULHC,2025-07-18,475,497,475,492.73,,33357.0,693,364,473.937007748768,473.9007653032508,63.717827530882204,18133.4,0.7887307944368445,0.22769580808125056,True
CLI,2025-07-18,480,497.8,480,492.93,,91456.0,774.9,448.2,476.5764083035276,475.7688985581596,54.242266300104916,37483.73333333333,0.737680454164672,0.2534464753414113,True
NRM,2025-07-18,463.4,474,460,468.86,,46951.0,645,402,455.5938221575441,455.3792372932249,57.45474736257635,27921.5,0.5421201728049482,0.16433269978570025,True
MMKJL,2025-07-17,594.1,615,594.1,609.07,,9254.0,890.4,451.8,588.89678882333,587.8031082487263,64.0973998701844,9366.766666666666,1.0486889897580796,0.3968191072303625,True
JSLBB,2025-07-17,"1,410.90","1,430.00","1,391.00",1392.43,,2431.0,"1,860.40","1,216.20",1334.4129188401903,1332.0103167102452,63.1535152464508,1908.8666666666666,6.227829983681159,2.2211402737977552,True
MLBS,2025-07-17,"1,630.10","1,768.00","1,630.10",1715.76,,2955.0,"2,530.00","1,311.00",1596.1384440245372,1593.1045778047617,64.74200388761265,1592.7666666666667,8.931369132900818,3.0948398705349063,True
SONA,2025-07-17,470,484.5,467,478.46,,161473.0,624,425,456.3359678608593,455.62559042273097,69.44033927034963,53494.23333333333,0.6911326897317395,0.2329169187158641,True
AKJCL,2025-07-17,210,218.7,208.2,216.61,,479214.0,274.9,166,209.3565034575534,209.32381745040823,68.24426164967235,261968.56666666668,0.09479447226560182,0.023551903311050636,True
SPIL,2025-07-17,841,855,839.1,848.43,,13358.0,"1,076.00",778,813.431326716713,811.7891254149623,65.82151026655539,29076.166666666668,0.9814232222866167,0.3332957786947645,True
SMJC,2025-07-17,540,555.9,540,553.44,,38025.0,800,415,530.0491205222086,529.160614068377,69.12060672317409,23398.0,0.551950642299289,0.1947388356047668,True
BNT,2025-07-17,"12,900.00","12,900.00","12,735.00",12871.57,,291.0,"18,100.00","12,050.00",12549.541908302184,12537.467630167823,69.67715787541272,224.46666666666667,19.424965985357993,6.683562004724808,True
