Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
ICFCD88,2026-03-24,1150.0,1173.0,1149.6,1173.0,259.0,1.56,1216.0,1083.9,1156.5426396429025,1155.9478643290772,62.02533026233746,0.1323333372672399,0.6513150216476788,0.2487336469755519,True
KBSH,2026-03-24,1763.0,1763.0,1715.2,1744.9,104.0,0.92,1830.0,1618.0,1704.4989615289699,1702.3900056142488,61.31969219958422,0.1656666726494829,1.9456817284062253,0.6928073929664151,True
BGWT,2026-03-24,775.0,785.0,770.0,785.0,9078.0,1.29,828.0,730.7,771.2131184970206,770.413163798068,46.53978800288069,0.11300000132371982,0.3831006461429524,0.14655728165869278,True
NMB50,2026-03-23,10.5,10.7,10.5,10.7,5763.0,1.04,10.83,10.07,10.438162809260177,10.435127245573977,58.09524761036291,0.156333327293396,0.008468545492572588,0.002557024331802893,True
CGH,2026-03-22,862.2,901.0,862.2,901.0,60469.0,4.95,2800.0,159.0,859.5194227601936,858.8422154940699,69.11588729572003,0.3100000058611234,1.0491476911405697,0.33239765463752063,True
SMFBS,2026-03-22,1700.0,1745.0,1666.0,1745.0,6492.0,3.99,1779.9,1583.0,1679.6011909691993,1677.6853459423958,65.70546223928051,0.23599999124805132,1.6022580453484807,0.5415016859989918,True
SHLB,2026-03-19,1644.4,1644.4,1625.0,1644.0,911.0,1.42,1735.0,1535.1,1621.2635298231157,1620.7146672049498,63.08724832214765,0.07999999523162842,0.7293678901667136,0.24413592349897045,True
SIGS2,2026-03-19,9.99,10.01,9.81,10.01,52625.0,2.14,10.79,9.5,9.895613250395558,9.895222646310085,65.26946723300833,0.08266666680574417,0.0025781075106863227,0.0009566616636647041,True
BBC,2026-03-19,4910.0,4910.0,4794.0,4858.0,872.0,0.31,5600.0,4515.1,4775.119975021593,4774.7368926022245,63.888885709478444,0.047666652997334795,10.155902397921091,3.4953350854124436,True
BEDC,2026-03-17,540.0,540.0,525.0,538.5,14882.0,1.22,561.0,500.0,528.8461764388406,528.412020505313,60.07750042976937,0.013000003000100454,0.6422960951069626,0.22527747453630126,True
MSLB,2026-03-17,1293.1,1390.0,1293.1,1389.0,2389.0,6.44,1479.0,1237.0,1326.800578775418,1326.2379512797845,66.55949292277603,0.13700000662356615,1.7282773551851733,0.5600835004428972,True
NICGF2,2026-03-12,9.25,9.44,9.25,9.44,4310.0,0.53,9.82,8.97,9.310169356862948,9.30909954787636,61.25001043086009,0.10700001170237859,0.004306259430387626,0.0012667865998032823,True
SWBBL,2026-03-12,755.0,775.0,755.0,773.5,7298.0,1.11,820.0,718.0,752.2715778616972,751.1287121257976,69.2158842683491,0.10333333313465118,2.476057816635398,0.8835162450345478,True
SBCF,2026-03-10,9.65,9.9,9.65,9.9,24470.0,2.91,10.19,9.04,9.586714854259808,9.573009378297767,64.28571428571428,0.11100000912944476,0.01311996434999152,0.004763437004825732,True
NIMB,2026-03-07,194.8,195.0,189.3,194.9,169998.0,0.0,232.5,184.2,191.4948164045182,191.30079083528565,65.24393647863579,-0.01333333117266496,0.442270863760848,0.1593981486685209,True
SHINE,2026-03-06,405.0,415.0,404.0,409.6,32334.0,0.0,695.0,200.0,405.05193416151,404.8920332821861,52.9850907728589,-0.02266666479408741,0.4496592581495179,0.1538083326004312,True
GCIL,2026-03-04,411.7,426.0,411.7,425.5,14505.0,0.0,489.9,401.5,418.4954331462344,418.0735365274169,64.79751904260294,-0.06133333320418994,0.27722514406644905,0.09648802331917068,True
H8020,2026-03-03,11.85,11.95,11.6,11.95,7350.0,2.84,12.16,11.2,11.577933592292466,11.570274929857128,64.90068190990351,0.13041666274269423,0.008827466930931038,0.0028132504572223383,True
SFEF,2026-03-03,9.93,9.93,9.93,9.93,1692.0,1.85,10.65,9.45,9.755052694107796,9.74698362639075,56.521754153668816,0.0979166713853677,0.007800446055911436,0.0028780867596626793,True
PFL,2026-03-02,375.0,387.0,373.0,384.0,21925.0,1.05,920.0,0.0,377.1316175466042,376.8382589735247,50.34323536518427,0.2749999995032946,0.29400941886090093,0.09916000490882197,True
ANLB,2026-02-12,6010.7,6375.0,6010.1,6200.0,1318.0,1.24,6624.0,5900.0,6092.395229364338,6088.74124228833,59.986684420772306,0.052000004798173904,7.1400788593873585,2.3969110624651875,True
RBBF40,2026-02-10,9.69,9.9,9.31,9.88,39866.0,4.0,10.2,8.98,9.459063656689732,9.433010370270262,61.694921281479324,0.32687498070299625,0.019659911860869527,0.0076224581109869405,True
