Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,925.00,3.40 Ar,-1.91%,+3.93%,-6.63%,-6.46%,-7.28%,+51.40%,8.94,103.46,5.88,"2,03,534.78","7,17,998.03",-71.65%,"1,11,339.65","3,70,265.61",-69.93%,"8,206.54","94,418.61",-91.31%,8.94,25.72,-65.23%,157.43,156.18,+0.80%,"63,28,553.46","61,45,253.29",+2.98%,"57,50,551.33","55,71,858.96",+3.21%,"3,67,143.41","3,67,143.41",0.00%,"2,10,858.72","2,06,250.92",+2.23%
ADBL,Agriculture Development Bank,Commercial Banks,295.00,40.87 Ar,-1.01%,+3.47%,-2.93%,-0.03%,+0.89%,-0.15%,-2.19,-134.89,1.23,"54,95,815.26","2,28,22,486.83",-75.92%,"24,24,395.43","98,21,484.00",-75.32%,"5,738.89","41,54,475.79",-99.86%,-2.19,27.63,-107.91%,239.52,243.40,-1.59%,"37,73,07,473.60","36,25,02,073.70",+4.08%,"33,86,88,199.20","32,33,46,135.00",+4.74%,"1,92,87,936.30","1,92,87,936.30",0.00%,"1,93,31,338.12","1,98,68,002.41",-2.70%
AHL,Asian Hydropower Limited,Hydro Power,543.00,1.85 Ar,-1.27%,-1.79%,-8.86%,-13.08%,-20.75%,+67.38%,17.32,31.35,6.02,"51,964.86","1,36,437.40",-61.91%,"45,331.81","1,14,066.63",-60.26%,"14,721.88","-28,161.04",-152.28%,17.32,-8.28,-309.11%,90.26,86.84,+3.94%,"13,07,582.69","13,16,699.92",-0.69%,"10,00,707.54","10,21,444.47",-2.03%,"3,40,000.00","3,40,000.00",0.00%,"-33,124.85","-44,744.55",-25.97%
AHPC,Arun Valley Hydropower Development,Hydro Power,273.89,10.54 Ar,-1.26%,+1.87%,-2.15%,-3.68%,+13.97%,+134.42%,4.71,58.14,2.42,"87,502.71","2,74,746.58",-68.15%,"76,673.00","2,23,576.61",-65.71%,"45,323.28","4,48,137.55",-89.89%,4.71,11.65,-59.55%,113.05,112.25,+0.72%,"47,41,439.13","47,53,669.67",-0.26%,"3,91,146.18","4,34,428.19",-9.96%,"38,48,003.00","38,48,003.00",0.00%,"5,02,289.95","4,71,238.48",+6.59%
AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,Hydro Power,193.00,3.86 Ar,+0.31%,+5.31%,+1.16%,-0.26%,-0.82%,+78.81%,5.78,33.38,2.10,"73,026.50","1,69,699.69",-56.97%,"60,968.97","1,32,583.04",-54.01%,"28,913.71","41,037.98",-29.54%,5.78,2.05,+181.82%,91.95,90.41,+1.71%,"26,15,088.29","26,17,012.03",-0.07%,"7,76,038.50","8,08,840.20",-4.06%,"20,00,000.00","20,00,000.00",0.00%,"-1,60,950.21","-1,91,828.17",-16.10%
AKPL,Arun Kabeli Power Ltd.,Hydro Power,245.80,9.58 Ar,-0.49%,+1.23%,+0.49%,-2.33%,+9.78%,+65.10%,5.96,41.27,2.43,"1,94,287.27","6,32,291.37",-69.27%,"1,82,040.45","5,51,485.16",-66.99%,"58,006.07","1,70,156.45",-65.91%,5.96,4.37,+36.36%,101.21,99.75,+1.46%,"64,37,912.54","64,16,612.73",+0.33%,"24,94,681.65","25,30,315.82",-1.41%,"38,95,942.10","38,95,942.10",0.00%,"47,288.80","-9,645.19",-590.28%
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,199.90",8.80 Ar,+1.17%,+0.85%,+17.17%,+25.17%,+61.79%,+115.76%,12.18,98.51,6.82,"3,45,551.08","14,73,430.16",-76.55%,"1,73,802.54","7,38,844.67",-76.48%,"22,322.11","2,09,277.98",-89.33%,12.18,28.55,-57.33%,175.91,172.90,+1.74%,"1,11,68,127.09","1,11,60,015.33",+0.07%,"98,78,640.58","98,92,574.57",-0.14%,"7,33,046.28","7,33,046.28",0.00%,"5,56,440.23","5,34,394.47",+4.13%
ALICL,Asian Life Insurance,Life Insurance,465.50,23.28 Ar,-0.49%,+2.36%,-3.13%,+0.30%,-6.37%,+16.38%,12.64,36.84,3.90,"32,37,067.54","1,30,24,260.52",-75.15%,"5,24,011.03","17,17,194.13",-69.48%,"1,52,513.04","4,09,337.79",-62.74%,12.64,12.04,+4.95%,130.12,135.05,-3.65%,"5,74,60,842.10","5,62,29,793.27",+2.19%,"5,11,78,897.36","5,16,38,176.02",-0.89%,"48,27,767.56","33,99,836.31",+42.00%,"9,41,421.71","8,05,685.10",+16.85%
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"6,079.90",4.76 Ar,-0.49%,-0.65%,-2.84%,-1.55%,+10.29%,+1662.57%,58.53,103.87,15.00,"54,844.45","2,15,071.30",-74.50%,"35,706.53","1,35,787.43",-73.70%,"11,464.43","44,711.91",-74.36%,58.53,57.07,+2.56%,405.31,384.82,+5.32%,"18,30,448.24","18,77,469.52",-2.50%,"15,12,914.23","15,75,987.22",-4.00%,"78,343.28","78,343.28",0.00%,"2,39,190.72","2,23,139.01",+7.19%
API,Api Power,Hydro Power,294.00,17.86 Ar,-0.34%,+2.08%,+2.43%,+3.33%,+15.73%,+125.85%,17.30,17.00,2.56,"5,38,459.21","16,51,212.61",-67.39%,"4,79,201.77","13,68,504.01",-64.98%,"2,62,755.15","4,27,659.23",-38.56%,17.30,7.04,+145.76%,114.74,111.07,+3.31%,"1,45,01,043.26","1,40,15,035.57",+3.47%,"75,29,330.42","72,66,368.50",+3.62%,"60,75,927.81","60,75,927.81",0.00%,"8,95,785.04","6,72,739.26",+33.15%
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microcredit,920.60,2.30 Ar,-1.86%,+1.38%,-4.47%,-6.11%,-7.50%,+169.85%,12.98,70.93,7.30,"1,08,755.91","3,99,648.74",-72.79%,"50,952.59","1,89,044.69",-73.05%,"8,111.46","66,050.20",-87.72%,12.98,26.42,-50.88%,126.15,126.98,-0.65%,"37,25,565.79","36,65,346.07",+1.64%,"34,10,179.44","33,47,895.37",+1.86%,"2,50,000.00","2,50,000.00",0.00%,"65,386.35","67,450.70",-3.06%
BANDIPUR,Bandipur Cablecar and Tourism Limited,Hotels,778.30,22.03 Ar,+0.53%,+5.62%,+1.22%,+146.95%,+146.95%,+146.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARUN,Barun Hydropower,Hydro Power,313.89,3.36 Ar,-1.29%,0.00%,-4.76%,+2.10%,+37.18%,+183.69%,7.25,43.30,2.88,"39,473.75","97,021.47",-59.31%,"33,306.25","81,251.99",-59.01%,"18,990.58","19,855.21",-4.35%,7.25,3.71,+95.64%,109.04,115.74,-5.78%,"14,40,609.40","9,48,224.00",+51.93%,"2,98,072.51","3,28,090.43",-9.15%,"10,47,786.70","5,35,815.00",+95.55%,"94,750.19","84,318.57",+12.37%
BBC,Bishal Bazar,Trading,"4,818.89",193.24 Ar,-1.19%,+0.27%,-0.56%,-0.63%,-16.98%,+83.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDC,Bhugol Energy Development Company Limited,Hydro Power,539.00,2.93 Ar,-0.19%,+3.45%,-4.59%,-16.08%,-20.59%,+142.15%,7.64,70.53,10.77,"30,713.00","53,774.31",-42.89%,"28,222.11","42,931.39",-34.26%,"10,394.84","-29,987.20",-134.66%,7.64,-5.51,-238.66%,50.07,48.16,+3.97%,"8,63,446.33","8,57,983.59",+0.64%,"5,91,057.86","5,95,989.95",-0.83%,"5,44,053.40","5,44,053.40",0.00%,"-2,71,664.93","-2,82,059.76",-3.69%
BFC,Best Finance,Finance,456.20,4.06 Ar,-1.26%,+3.12%,-1.26%,+0.48%,-23.64%,+242.22%,-24.58,-18.56,3.85,"1,27,848.98","5,63,756.72",-77.32%,"32,206.09","1,39,827.55",-76.97%,"-54,717.77","2,077.50","-2,733.82%",-24.58,0.23,"-10,636.01%",118.55,125.04,-5.20%,"73,94,627.70","70,43,460.91",+4.99%,"63,39,040.54","59,30,031.06",+6.90%,"8,90,424.24","8,90,424.24",0.00%,"1,65,162.92","2,23,005.62",-25.94%
BGWT,Bhagawati Hydropower Development Company Limited,Hydro Power,765.00,4.55 Ar,0.00%,+0.66%,-0.26%,-8.82%,-8.58%,+137.13%,10.80,70.82,6.00,"39,258.69","1,56,647.91",-74.94%,"33,715.24","1,33,288.71",-74.71%,"16,066.88","66,197.89",-75.73%,10.80,11.13,-2.92%,127.60,120.38,+6.00%,"9,79,698.24","8,84,176.08",+10.80%,"2,20,546.37","1,68,007.84",+31.27%,"5,94,947.30","5,94,947.30",0.00%,"1,64,204.56","1,21,220.94",+35.46%
BHCL,Bikash Hydropower Company Limited,Hydro Power,497.40,4.52 Ar,+1.51%,+2.51%,0.00%,+10.14%,+52.51%,+52.51%,7.81,63.67,4.79,"41,572.31","1,52,562.36",-72.75%,"38,188.74","1,38,099.59",-72.35%,"17,754.48","39,765.74",-55.35%,7.81,4.37,+78.59%,103.77,0.00,0.00%,"12,41,080.55",0.00,0.00%,"2,97,711.47","4,97,230.24",-40.13%,"9,09,101.30","9,09,101.30",0.00%,"34,267.78",0.00,0.00%
BHDC,Bindhyabasini Hydropower Development Company Limited,Hydro Power,477.90,5.40 Ar,-1.46%,+2.75%,-1.00%,-15.80%,-22.71%,+51.65%,30.87,15.48,4.09,"1,66,446.01","3,88,379.35",-57.14%,"1,62,724.31","3,79,000.23",-57.06%,"87,182.43","60,389.43",+44.37%,30.87,5.35,+477.47%,116.88,109.37,+6.87%,"29,29,609.05","28,75,341.71",+1.89%,"16,09,687.05","16,39,662.76",-1.83%,"11,29,800.00","11,29,800.00",0.00%,"1,90,756.32","1,05,878.95",+80.16%
BHL,Balephi Hydropower Limited,Hydro Power,177.10,6.47 Ar,-0.95%,+2.17%,-1.27%,-5.40%,-47.57%,+69.56%,13.62,13.00,2.27,"3,47,858.38","8,29,066.21",-58.04%,"3,23,991.09","6,00,420.96",-46.04%,"1,24,475.36","-3,93,999.49",-131.59%,13.62,-10.78,-226.37%,78.02,74.61,+4.56%,"86,57,035.48","86,55,661.86",+0.02%,"58,04,842.69","59,27,944.43",-2.08%,"36,55,940.00","36,55,940.00",0.00%,"-8,03,747.21","-9,28,222.57",-13.41%
