Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,950.00,3.49 Ar,-0.11%,-3.06%,+2.70%,-8.21%,-21.81%,-19.99%,8.94,106.25,6.03,"2,03,534.78","7,17,998.03",-71.65%,"1,11,339.65","3,70,265.61",-69.93%,"8,206.54","94,418.61",-91.31%,8.94,25.72,-65.23%,157.43,156.18,+0.80%,"63,28,553.46","61,45,253.29",+2.98%,"57,50,551.33","55,71,858.96",+3.21%,"3,67,143.41","3,67,143.41",0.00%,"2,10,858.72","2,06,250.92",+2.23%
ADBL,Agriculture Development Bank,Commercial Banks,298.10,41.30 Ar,-0.63%,-3.06%,+1.05%,+0.61%,+7.46%,-4.82%,7.61,39.16,1.33,"1,04,60,525.85","54,95,815.26",+90.34%,"45,18,161.97","24,24,395.43",+86.36%,"7,07,426.59","5,738.89","+12,226.90%",7.61,-2.19,-448.04%,224.37,239.52,-6.33%,"39,21,57,175.80","37,73,07,473.60",+3.94%,"35,46,27,268.60","33,86,88,199.20",+4.71%,"1,97,38,231.09","1,92,87,936.30",+2.33%,"1,77,91,676.11","1,93,31,338.12",-7.96%
AHL,Asian Hydropower Limited,Hydro Power,572.79,1.95 Ar,-1.07%,+1.22%,+5.49%,-8.06%,-31.32%,+74.32%,17.32,33.07,6.35,"51,964.86","1,36,437.40",-61.91%,"45,331.81","1,14,066.63",-60.26%,"14,721.88","-28,161.04",-152.28%,17.32,-8.28,-309.11%,90.26,86.84,+3.94%,"13,07,582.69","13,16,699.92",-0.69%,"10,00,707.54","10,21,444.47",-2.03%,"3,40,000.00","3,40,000.00",0.00%,"-33,124.85","-44,744.55",-25.97%
AHPC,Arun Valley Hydropower Development,Hydro Power,270.20,10.40 Ar,-0.66%,-3.15%,+3.68%,-3.37%,+4.41%,+122.13%,4.71,57.35,2.39,"87,502.71","2,74,746.58",-68.15%,"76,673.00","2,23,576.61",-65.71%,"45,323.28","4,48,137.55",-89.89%,4.71,11.65,-59.55%,113.05,112.25,+0.72%,"47,41,439.13","47,53,669.67",-0.26%,"3,91,146.18","4,34,428.19",-9.96%,"38,48,003.00","38,48,003.00",0.00%,"5,02,289.95","4,71,238.48",+6.59%
AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,Hydro Power,326.39,6.53 Ar,+4.61%,+21.61%,+69.12%,+64.27%,+59.22%,+184.32%,5.78,56.44,3.55,"73,026.50","1,69,699.69",-56.97%,"60,968.97","1,32,583.04",-54.01%,"28,913.71","41,037.98",-29.54%,5.78,2.05,+181.82%,91.95,90.41,+1.71%,"26,15,088.29","26,17,012.03",-0.07%,"7,76,038.50","8,08,840.20",-4.06%,"20,00,000.00","20,00,000.00",0.00%,"-1,60,950.21","-1,91,828.17",-16.10%
AKPL,Arun Kabeli Power Ltd.,Hydro Power,266.80,10.39 Ar,-1.55%,+1.06%,+8.54%,+3.81%,+8.54%,+62.74%,5.96,44.80,2.64,"1,94,287.27","6,32,291.37",-69.27%,"1,82,040.45","5,51,485.16",-66.99%,"58,006.07","1,70,156.45",-65.91%,5.96,4.37,+36.36%,101.21,99.75,+1.46%,"64,37,912.54","64,16,612.73",+0.33%,"24,94,681.65","25,30,315.82",-1.41%,"38,95,942.10","38,95,942.10",0.00%,"47,288.80","-9,645.19",-590.28%
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,127.00",8.26 Ar,-2.42%,-6.86%,-6.08%,+25.30%,+26.62%,+28.71%,12.18,92.53,6.41,"3,45,551.08","14,73,430.16",-76.55%,"1,73,802.54","7,38,844.67",-76.48%,"22,322.11","2,09,277.98",-89.33%,12.18,28.55,-57.33%,175.91,172.90,+1.74%,"1,11,68,127.09","1,11,60,015.33",+0.07%,"98,78,640.58","98,92,574.57",-0.14%,"7,33,046.28","7,33,046.28",0.00%,"5,56,440.23","5,34,394.47",+4.13%
ALICL,Asian Life Insurance,Life Insurance,473.00,23.66 Ar,-0.84%,-3.76%,+1.61%,-5.21%,-11.94%,-4.95%,12.64,37.43,3.96,"32,37,067.54","1,30,24,260.52",-75.15%,"5,24,011.03","17,17,194.13",-69.48%,"1,52,513.04","4,09,337.79",-62.74%,12.64,12.04,+4.95%,130.12,135.05,-3.65%,"5,74,60,842.10","5,62,29,793.27",+2.19%,"5,11,78,897.36","5,16,38,176.02",-0.89%,"48,27,767.56","33,99,836.31",+42.00%,"9,41,421.71","8,05,685.10",+16.85%
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"6,002.00",4.70 Ar,-0.81%,-0.79%,-1.28%,-4.58%,+14.54%,+1631.41%,77.90,77.05,14.00,"1,09,231.14","54,844.45",+99.17%,"71,846.97","35,706.53",+101.22%,"30,514.63","11,464.43",+166.17%,77.90,58.53,+33.08%,428.75,405.31,+5.78%,"19,02,697.33","18,30,448.24",+3.95%,"15,66,800.96","15,12,914.23",+3.56%,"78,343.28","78,343.28",0.00%,"2,57,553.08","2,39,190.72",+7.68%
API,Api Power,Hydro Power,297.00,18.05 Ar,-0.90%,-3.57%,+6.17%,+6.89%,+10.29%,+120.28%,17.30,17.17,2.59,"5,38,459.21","16,51,212.61",-67.39%,"4,79,201.77","13,68,504.01",-64.98%,"2,62,755.15","4,27,659.23",-38.56%,17.30,7.04,+145.76%,114.74,111.07,+3.31%,"1,45,01,043.26","1,40,15,035.57",+3.47%,"75,29,330.42","72,66,368.50",+3.62%,"60,75,927.81","60,75,927.81",0.00%,"8,95,785.04","6,72,739.26",+33.15%
