Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,970.00,3.56 Ar,-1.62%,+1.04%,+0.52%,-2.51%,-18.34%,-20.81%,32.57,29.78,5.71,"4,02,624.11","2,03,534.78",+97.82%,"2,19,201.45","1,11,339.65",+96.88%,"59,784.03","8,206.54",+628.49%,32.57,8.94,+264.24%,169.98,157.43,+7.97%,"65,11,837.26","63,28,553.46",+2.90%,"58,87,759.35","57,50,551.33",+2.39%,"3,67,143.41","3,67,143.41",0.00%,"2,56,934.51","2,10,858.72",+21.85%
ADBL,Agriculture Development Bank,Commercial Banks,297.00,41.15 Ar,+0.68%,+0.34%,-0.83%,+0.88%,+8.32%,-5.60%,7.61,39.02,1.32,"1,04,60,525.85","54,95,815.26",+90.34%,"45,18,161.97","24,24,395.43",+86.36%,"7,07,426.59","5,738.89","+12,226.90%",7.61,-2.19,-448.04%,224.37,239.52,-6.33%,"39,21,57,175.80","37,73,07,473.60",+3.94%,"35,46,27,268.60","33,86,88,199.20",+4.71%,"1,97,38,231.09","1,92,87,936.30",+2.33%,"1,77,91,676.11","1,93,31,338.12",-7.96%
ADBLD83,10.35% Agricultural Bank Debenture 2083,Bond,"1,050.50",0.00,-0.26%,-1.91%,-6.62%,-5.78%,-4.50%,-0.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHL,Asian Hydropower Limited,Hydro Power,564.50,1.92 Ar,-0.79%,-2.00%,+3.33%,-7.23%,-32.56%,+71.79%,-17.00,-33.20,7.30,"51,964.86","51,964.86",0.00%,"34,893.39","45,331.81",-23.03%,"-28,907.89","14,721.88",-296.36%,-17.00,17.32,-198.18%,77.34,90.26,-14.31%,"12,62,778.81","13,07,582.69",-3.43%,"9,99,829.81","10,00,707.54",-0.09%,"3,40,000.00","3,40,000.00",0.00%,"-77,051.01","-33,124.85",+132.61%
AHPC,Arun Valley Hydropower Development,Hydro Power,293.89,11.31 Ar,-1.38%,+6.10%,+15.71%,+11.31%,+17.45%,+113.89%,4.71,62.38,2.60,"87,502.71","2,74,746.58",-68.15%,"76,673.00","2,23,576.61",-65.71%,"45,323.28","4,48,137.55",-89.89%,4.71,11.65,-59.55%,113.05,112.25,+0.72%,"47,41,439.13","47,53,669.67",-0.26%,"3,91,146.18","4,34,428.19",-9.96%,"38,48,003.00","38,48,003.00",0.00%,"5,02,289.95","4,71,238.48",+6.59%
AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,Hydro Power,375.00,7.50 Ar,-2.60%,+6.29%,+87.50%,+101.61%,+84.18%,+219.97%,4.63,81.04,4.04,"1,34,444.02","73,026.50",+84.10%,"1,13,009.61","60,968.97",+85.36%,"46,271.04","28,913.71",+60.03%,4.63,5.78,-19.98%,92.82,91.95,+0.94%,"25,87,262.89","26,15,088.29",-1.06%,"7,30,855.78","7,76,038.50",-5.82%,"20,00,000.00","20,00,000.00",0.00%,"-1,43,592.89","-1,60,950.21",-10.78%
AKPL,Arun Kabeli Power Ltd.,Hydro Power,277.00,10.79 Ar,-2.19%,+2.21%,+12.51%,+14.84%,+18.63%,+55.37%,7.93,34.93,2.67,"3,83,510.18","1,94,287.27",+97.39%,"3,54,894.34","1,82,040.45",+94.95%,"1,54,487.61","58,006.07",+166.33%,7.93,5.96,+33.17%,103.69,101.21,+2.45%,"73,93,174.62","64,37,912.54",+14.84%,"33,53,462.19","24,94,681.65",+34.42%,"38,95,942.10","38,95,942.10",0.00%,"1,43,770.33","47,288.80",+204.03%
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,119.00",8.20 Ar,-0.25%,-5.01%,-5.50%,+24.32%,+38.32%,+38.29%,31.29,35.76,7.08,"7,17,454.27","3,45,551.08",+107.63%,"3,87,458.89","1,73,802.54",+122.93%,"1,25,574.09","22,322.11",+462.55%,31.29,12.18,+156.87%,158.08,175.91,-10.14%,"1,17,42,710.76","1,11,68,127.09",+5.14%,"1,04,73,861.81","98,78,640.58",+6.03%,"8,02,685.68","7,33,046.28",+9.50%,"4,66,163.28","5,56,440.23",-16.22%
ALICL,Asian Life Insurance,Life Insurance,445.90,22.30 Ar,+1.56%,-1.29%,+0.38%,+1.89%,-11.90%,-13.07%,10.54,42.31,3.77,"65,37,551.00","32,37,067.54",+101.96%,"8,75,913.56","5,24,011.03",+67.16%,"2,63,563.46","1,52,513.04",+72.81%,10.54,12.64,-16.59%,128.73,130.12,-1.07%,"5,91,27,423.13","5,74,60,842.10",+2.90%,"5,26,89,268.12","5,11,78,897.36",+2.95%,"50,01,159.21","48,27,767.56",+3.59%,"9,19,096.03","9,41,421.71",-2.37%
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"6,200.00",4.86 Ar,+1.24%,+2.82%,+1.31%,+0.23%,+27.84%,+1688.53%,77.90,79.59,14.46,"1,09,231.14","54,844.45",+99.17%,"71,846.97","35,706.53",+101.22%,"30,514.63","11,464.43",+166.17%,77.90,58.53,+33.08%,428.75,405.31,+5.78%,"19,02,697.33","18,30,448.24",+3.95%,"15,66,800.96","15,12,914.23",+3.56%,"78,343.28","78,343.28",0.00%,"2,57,553.08","2,39,190.72",+7.68%
API,Api Power,Hydro Power,303.00,18.41 Ar,0.00%,0.00%,+4.92%,+14.13%,+15.37%,+122.74%,14.03,21.60,2.58,"9,59,243.24","5,38,459.21",+78.15%,"8,40,391.87","4,79,201.77",+75.37%,"4,26,221.66","2,62,755.15",+62.21%,14.03,17.30,-18.89%,117.58,114.74,+2.48%,"1,44,85,098.82","1,45,01,043.26",-0.11%,"73,40,803.63","75,29,330.42",-2.50%,"60,75,927.81","60,75,927.81",0.00%,"10,68,367.39","8,95,785.04",+19.27%
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microcredit,975.00,2.44 Ar,+2.62%,+1.77%,+2.69%,-1.52%,-15.69%,+180.49%,61.89,15.75,6.53,"2,66,507.46","1,08,755.91",+145.05%,"1,56,871.86","50,952.59",+207.88%,"77,360.06","8,111.46",+853.71%,61.89,12.98,+376.86%,149.39,126.15,+18.42%,"36,32,445.01","37,25,565.79",-2.50%,"32,58,967.45","34,10,179.44",-4.43%,"2,50,000.00","2,50,000.00",0.00%,"1,23,477.56","65,386.35",+88.84%
BANDIPUR,Bandipur Cablecar and Tourism Limited,Hotels,935.00,26.46 Ar,-3.41%,-15.54%,+8.22%,+171.17%,+198.25%,+198.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARUN,Barun Hydropower,Hydro Power,365.20,3.91 Ar,-0.76%,-3.77%,+15.21%,+12.59%,+27.86%,+174.42%,4.05,90.19,3.22,"62,624.05","39,473.75",+58.65%,"54,218.74","33,306.25",+62.79%,"21,696.03","18,990.58",+14.25%,4.05,7.25,-44.15%,113.42,109.04,+4.02%,"15,03,640.60","14,40,609.40",+4.38%,"2,88,163.95","2,98,072.51",-3.32%,"10,71,630.00","10,47,786.70",+2.28%,"1,43,846.65","94,750.19",+51.82%
BBC,Bishal Bazar,Trading,"4,817.00",193.16 Ar,-0.19%,-0.99%,+0.35%,-0.88%,-13.62%,+52.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDC,Bhugol Energy Development Company Limited,Hydro Power,519.50,2.83 Ar,-1.63%,-3.44%,-3.26%,-23.83%,-42.91%,+132.96%,7.64,67.97,10.38,"30,713.00","53,774.31",-42.89%,"28,222.11","42,931.39",-34.26%,"10,394.84","-29,987.20",-134.66%,7.64,-5.51,-238.66%,50.07,48.16,+3.97%,"8,63,446.33","8,57,983.59",+0.64%,"5,91,057.86","5,95,989.95",-0.83%,"5,44,053.40","5,44,053.40",0.00%,"-2,71,664.93","-2,82,059.76",-3.69%
BFC,Best Finance,Finance,470.00,4.18 Ar,+0.45%,-2.55%,+0.23%,-4.68%,-28.01%,+195.60%,3.93,119.67,4.38,"2,53,264.33","1,27,848.98",+98.10%,"71,208.90","32,206.09",+121.10%,"17,485.62","-54,717.77",-131.96%,3.93,-24.58,-115.98%,107.30,118.55,-9.49%,"73,03,826.25","73,94,627.70",-1.23%,"63,48,434.20","63,39,040.54",+0.15%,"8,90,424.24","8,90,424.24",0.00%,"64,967.81","1,65,162.92",-60.66%
BGWT,Bhagawati Hydropower Development Company Limited,Hydro Power,764.00,4.55 Ar,-0.78%,-1.42%,+0.13%,+1.11%,-26.34%,+136.82%,9.22,82.88,7.02,"81,556.36","39,258.69",+107.74%,"69,327.13","33,715.24",+105.63%,"31,259.34","16,066.88",+94.56%,9.22,10.80,-14.67%,108.91,127.60,-14.65%,"9,63,658.98","9,79,698.24",-1.64%,"2,25,011.50","2,20,546.37",+2.02%,"6,78,239.90","5,94,947.30",+14.00%,"60,407.58","1,64,204.56",-63.21%
BHCL,Bikash Hydropower Company Limited,Hydro Power,588.00,5.35 Ar,-1.33%,-3.45%,+6.91%,+32.13%,+83.01%,+83.01%,11.05,53.23,5.48,"96,288.99","41,572.31",+131.62%,"89,638.03","38,188.74",+134.72%,"50,215.78","17,754.48",+182.83%,11.05,7.81,+41.42%,107.34,103.77,+3.44%,"12,75,261.65","12,41,080.55",+2.75%,"2,99,431.27","2,97,711.47",+0.58%,"9,09,101.30","9,09,101.30",0.00%,"66,729.08","34,267.78",+94.73%
BHDC,Bindhyabasini Hydropower Development Company Limited,Hydro Power,493.00,5.57 Ar,+1.84%,-0.80%,+6.25%,+6.79%,-26.74%,+61.95%,19.83,24.86,4.01,"2,77,648.56","1,66,446.01",+66.81%,"2,71,316.30","1,62,724.31",+66.73%,"1,12,045.57","87,182.43",+28.52%,19.83,30.87,-35.74%,123.00,116.88,+5.24%,"29,51,876.43","29,29,609.05",+0.76%,"15,62,172.83","16,09,687.05",-2.95%,"11,29,800.00","11,29,800.00",0.00%,"2,59,902.52","1,90,756.32",+36.25%
BHL,Balephi Hydropower Limited,Hydro Power,207.40,7.58 Ar,+0.19%,+1.67%,+15.29%,+17.18%,-44.40%,+96.68%,13.62,15.23,2.66,"3,47,858.38","8,29,066.21",-58.04%,"3,23,991.09","6,00,420.96",-46.04%,"1,24,475.36","-3,93,999.49",-131.59%,13.62,-10.78,-226.37%,78.02,74.61,+4.56%,"86,57,035.48","86,55,661.86",+0.02%,"58,04,842.69","59,27,944.43",-2.08%,"36,55,940.00","36,55,940.00",0.00%,"-8,03,747.21","-9,28,222.57",-13.41%
BHPL,Barahi Hydropower Public Limited,Hydro Power,558.00,1.40 Ar,-1.05%,-3.46%,+1.82%,-16.72%,-50.31%,+161.11%,1.86,299.37,10.91,"20,646.36","14,637.93",+41.05%,"20,170.33","13,347.37",+51.12%,"2,329.91","5,927.83",-60.70%,1.86,9.48,-80.35%,51.12,52.70,-2.99%,"3,68,206.23","3,77,493.29",-2.46%,"2,40,394.61","2,45,740.82",-2.18%,"2,50,000.00","2,50,000.00",0.00%,"-1,22,188.38","-1,18,247.53",+3.33%
BNHC,Buddha Bhumi Nepal Hydropower Company Limited,Hydro Power,526.20,2.10 Ar,-1.83%,-5.70%,+17.72%,+25.32%,-8.01%,+101.07%,9.91,53.09,6.50,"1,05,054.18","50,819.91",+106.72%,"1,00,419.33","49,395.44",+103.30%,"20,481.43","7,518.32",+172.42%,9.91,7.28,+36.21%,80.89,77.35,+4.57%,"13,56,978.80","13,50,587.42",+0.47%,"10,22,646.49","10,30,876.55",-0.80%,"4,13,304.40","4,13,304.40",0.00%,"-78,972.09","-93,593.53",-15.62%
BNL,Bottlers Nepal (Balaju),Manufacturing And Processing,"15,300.00",29.82 Ar,+0.66%,-0.29%,-2.42%,-6.25%,-14.29%,+710.85%,32.09,476.80,4.78,"48,10,998.00","36,98,179.00",+30.09%,"12,84,714.00","11,63,811.00",+10.39%,"31,269.00","3,21,676.00",-90.28%,32.09,660.22,-95.14%,"3,201.17","3,349.59",-4.43%,"1,24,73,712.00","1,42,39,690.00",-12.40%,"62,34,987.00","77,11,703.00",-19.15%,"1,94,889.00","1,94,889.00",0.00%,"60,43,836.00","63,33,098.00",-4.57%
