Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,998.50,3.67 Ar,+0.86%,+1.35%,+0.45%,+9.60%,-9.23%,-20.82%,32.57,30.66,5.87,402624.11,203534.78,+97.82%,219201.45,111339.65,+96.88%,59784.03,8206.54,+628.49%,32.57,8.94,+264.24%,169.98,157.43,+7.97%,6511837.26,6328553.46,+2.90%,5887759.35,5750551.33,+2.39%,367143.41,367143.41,0.00%,256934.51,210858.72,+21.85%,0.1916,9.4343
ADBL,Agriculture Development Bank,Commercial Banks,326.50,45.24 Ar,+3.22%,+3.32%,+11.43%,+12.66%,+21.32%,+6.39%,7.61,42.89,1.46,10460525.85,5495815.26,+90.34%,4518161.97,2424395.43,+86.36%,707426.59,5738.89,"+12,226.90%",7.61,-2.19,-448.04%,224.37,239.52,-6.33%,392157175.8,377307473.6,+3.94%,354627268.6,338688199.2,+4.71%,19738231.09,19287936.3,+2.33%,17791676.11,19331338.12,-7.96%,0.0339,9.4492
AHL,Asian Hydropower Limited,Hydro Power,535.00,1.82 Ar,+1.13%,-1.47%,+4.90%,-3.95%,-24.75%,+62.81%,-17.0,-31.46,6.92,51964.86,51964.86,0.00%,34893.39,45331.81,-23.03%,-28907.89,14721.88,-296.36%,-17.0,17.32,-198.18%,77.34,90.26,-14.31%,1262778.81,1307582.69,-3.43%,999829.81,1000707.54,-0.09%,340000.0,340000.0,0.00%,-77051.01,-33124.85,+132.61%,-0.2198,3.8024
AHPC,Arun Valley Hydropower Development,Hydro Power,312.70,12.03 Ar,+0.87%,+2.19%,+15.01%,+19.12%,+27.43%,+123.37%,5.2,60.13,2.7,173056.57,87502.71,+97.77%,152084.27,76673.0,+98.35%,100063.38,45323.28,+120.78%,5.2,4.71,+10.39%,115.64,113.05,+2.29%,4835832.5,4741439.13,+1.99%,385839.18,391146.18,-1.36%,3848003.0,3848003.0,0.00%,601990.33,502289.95,+19.85%,0.045,0.0867
AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,Hydro Power,414.10,8.28 Ar,+0.58%,+12.50%,+21.05%,+121.56%,+101.02%,+250.93%,4.63,89.49,4.46,134444.02,73026.5,+84.10%,113009.61,60968.97,+85.36%,46271.04,28913.71,+60.03%,4.63,5.78,-19.98%,92.82,91.95,+0.94%,2587262.89,2615088.29,-1.06%,730855.78,776038.5,-5.82%,2000000.0,2000000.0,0.00%,-143592.89,-160950.21,-10.78%,0.0499,0.3937
AKPL,Arun Kabeli Power Ltd.,Hydro Power,310.00,12.08 Ar,+3.51%,+5.08%,+20.72%,+28.63%,+34.61%,+79.74%,7.93,39.09,2.99,383510.18,194287.27,+97.39%,354894.34,182040.45,+94.95%,154487.61,58006.07,+166.33%,7.93,5.96,+33.17%,103.69,101.21,+2.45%,7393174.62,6437912.54,+14.84%,3353462.19,2494681.65,+34.42%,3895942.1,3895942.1,0.00%,143770.33,47288.8,+204.03%,0.0765,0.8301
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,160.00",8.50 Ar,+1.75%,-0.17%,+9.42%,+4.41%,+49.50%,+43.95%,31.29,37.07,7.34,717454.27,345551.08,+107.63%,387458.89,173802.54,+122.93%,125574.09,22322.11,+462.55%,31.29,12.18,+156.87%,158.08,175.91,-10.14%,11742710.76,11168127.09,+5.14%,10473861.81,9878640.58,+6.03%,802685.68,733046.28,+9.50%,466163.28,556440.23,-16.22%,0.1979,8.2546
ALICL,Asian Life Insurance,Life Insurance,483.70,24.19 Ar,+2.91%,+0.52%,+10.69%,+11.35%,-1.72%,-2.71%,10.54,45.89,4.09,6537551.0,3237067.54,+101.96%,875913.56,524011.03,+67.16%,263563.46,152513.04,+72.81%,10.54,12.64,-16.59%,128.73,130.12,-1.07%,59127423.13,57460842.1,+2.90%,52689268.12,51178897.36,+2.95%,5001159.21,4827767.56,+3.59%,919096.03,941421.71,-2.37%,0.0819,8.1839
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"6,500.00",5.09 Ar,0.00%,+1.40%,+4.00%,+6.56%,+26.56%,+1775.07%,77.9,83.44,15.16,109231.14,54844.45,+99.17%,71846.97,35706.53,+101.22%,30514.63,11464.43,+166.17%,77.9,58.53,+33.08%,428.75,405.31,+5.78%,1902697.33,1830448.24,+3.95%,1566800.96,1512914.23,+3.56%,78343.28,78343.28,0.00%,257553.08,239190.72,+7.68%,0.1817,4.6645
API,Api Power,Hydro Power,344.40,20.93 Ar,+1.00%,+2.41%,+18.35%,+25.67%,+31.66%,+143.99%,14.03,24.55,2.93,959243.24,538459.21,+78.15%,840391.87,479201.77,+75.37%,426221.66,262755.15,+62.21%,14.03,17.3,-18.89%,117.58,114.74,+2.48%,14485098.82,14501043.26,-0.11%,7340803.63,7529330.42,-2.50%,6075927.81,6075927.81,0.00%,1068367.39,895785.04,+19.27%,0.1193,1.0275
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microcredit,"1,098.00",2.75 Ar,+0.93%,+6.09%,+16.07%,+16.19%,+2.62%,+215.88%,61.89,17.74,7.35,266507.46,108755.91,+145.05%,156871.86,50952.59,+207.88%,77360.06,8111.46,+853.71%,61.89,12.98,+376.86%,149.39,126.15,+18.42%,3632445.01,3725565.79,-2.50%,3258967.45,3410179.44,-4.43%,250000.0,250000.0,0.00%,123477.56,65386.35,+88.84%,0.4143,8.726
BANDIPUR,Bandipur Cablecar and Tourism Limited,Hotels,943.00,26.69 Ar,+0.43%,-2.28%,+6.31%,+26.32%,+200.80%,+200.80%,-1.8,-524.69,10.2,44216.88,18154.34,+143.56%,14056.79,2070.95,+578.76%,-25431.28,-17939.29,+41.76%,-1.8,-2.54,-29.12%,92.47,92.74,-0.29%,3921311.34,4113331.1,-4.67%,1304361.87,1488889.64,-12.39%,2829993.0,2829993.0,0.00%,-213043.53,-205551.54,+3.64%,-0.0195,0.4984
BARUN,Barun Hydropower,Hydro Power,393.00,4.21 Ar,+4.52%,+4.80%,+16.96%,+25.52%,+35.53%,+210.91%,4.05,97.06,3.46,62624.05,39473.75,+58.65%,54218.74,33306.25,+62.79%,21696.03,18990.58,+14.25%,4.05,7.25,-44.15%,113.42,109.04,+4.02%,1503640.6,1440609.4,+4.38%,288163.95,298072.51,-3.32%,1071630.0,1047786.7,+2.28%,143846.65,94750.19,+51.82%,0.0357,0.2371
