"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MEL","2025-01-27","356.6","371.3","356.6","364.8","0.27 %","123,334.00"
"MEL","2025-01-26","351","379","351","363.8","1.62 %","118,247.00"
"MEL","2025-01-23","364","364","351","358","0.25 %","113,491.00"
"MEL","2025-01-22","350.1","366.9","350.1","357.1","0.31 %","94,345.00"
"MEL","2025-01-21","373","373","355","356","-3.26 %","110,420.00"
"MEL","2025-01-20","368.7","374.5","356","368","1.71 %","174,603.00"
"MEL","2025-01-19","355","367","349.4","361.8","3.94 %","160,047.00"
"MEL","2025-01-16","350","355.9","342.1","348.1","0.03 %","100,251.00"
"MEL","2025-01-15","346.7","350","338.1","348","2.35 %","71,807.00"
"MEL","2025-01-13","343.4","349","335.2","340","-1.45 %","84,060.00"
"MEL","2025-01-12","357","359","340","345","-3.87 %","126,316.00"
"MEL","2025-01-09","360.5","367.5","353","358.9","1.53 %","183,993.00"
"MEL","2025-01-08","351","362","346","353.5","0.71 %","88,933.00"
"MEL","2025-01-07","333","353","332.1","351","5.41 %","284,148.00"
"MEL","2025-01-06","324.3","335.9","318","333","4.72 %","143,787.00"
"MEL","2025-01-05","307","318.6","307","318","1.79 %","44,050.00"
"MEL","2025-01-02","319.2","319.2","307","312.4","-0.19 %","23,262.00"
"MEL","2025-01-01","302.9","313","302.9","313","1.29 %","35,816.00"
"MEL","2024-12-31","316.8","317.2","298","309","-2.15 %","92,267.00"
"MEL","2024-12-29","310.7","316","307.2","315.8","-0.38 %","44,608.00"
"MEL","2024-12-26","311.3","321","310.5","317","-0.19 %","35,389.00"
"MEL","2024-12-24","310.6","322.9","310.6","317.6","0.22 %","38,599.00"
"MEL","2024-12-23","304.8","320","304.8","316.9","1.90 %","20,393.00"
"MEL","2024-12-22","314.1","315","303.1","311","0.97 %","30,624.00"
"MEL","2024-12-19","317.2","322","307.9","308","-2.53 %","68,697.00"
"MEL","2024-12-18","311","328","311","316","-0.28 %","34,397.00"
"MEL","2024-12-17","315","333.9","309","316.9","0.60 %","47,629.00"
"MEL","2024-12-16","314","324","310.7","315","-1.41 %","49,465.00"
"MEL","2024-12-12","320","329.4","317.7","319.5","-1.99 %","57,411.00"
"MEL","2024-12-11","319","326","314.1","326","4.05 %","58,143.00"
"MEL","2024-12-10","310","326","310","313.3","-0.85 %","70,253.00"
"MEL","2024-12-09","318","324","308.5","316","0.70 %","55,453.00"
"MEL","2024-12-08","330","330","307","313.8","-3.15 %","81,409.00"
"MEL","2024-12-05","335","342","323","324","-1.82 %","75,137.00"
"MEL","2024-12-04","330","341","328.5","330","-1.49 %","92,086.00"
"MEL","2024-12-03","326","345.9","322","335","4.79 %","251,204.00"
"MEL","2024-12-02","311","329.3","311","319.7","0.98 %","53,835.00"
"MEL","2024-12-01","310","318","306","316.6","0.54 %","37,724.00"
"MEL","2024-11-28","319","324","312.5","314.9","-0.66 %","54,842.00"
"MEL","2024-11-27","313","324.2","313","317","1.15 %","65,855.00"
"MEL","2024-11-26","315.1","327","311","313.4","1.42 %","56,538.00"
"MEL","2024-11-25","302.9","321","296","309","4.04 %","51,420.00"
"MEL","2024-11-24","303","315.1","297","297","-2.27 %","35,642.00"
"MEL","2024-11-21","308.1","314.9","303.9","303.9","-1.97 %","31,195.00"
"MEL","2024-11-20","310","316","305","310","0.00 %","38,585.00"
"MEL","2024-11-19","320.1","320.1","307.5","310","-3.73 %","60,123.00"
"MEL","2024-11-17","319","330","319","322","0.94 %","65,272.00"
"MEL","2024-11-14","320","324.8","315","319","0.98 %","108,734.00"
"MEL","2024-11-13","319.2","319.2","310","315.9","0.93 %","32,564.00"
"MEL","2024-11-12","324","329","311","313","-1.48 %","55,063.00"
"MEL","2024-11-11","327.3","327.3","311.4","317.7","-1.00 %","92,380.00"
"MEL","2024-11-10","299","325","296.8","320.9","7.32 %","131,549.00"
"MEL","2024-11-06","301.9","301.9","293","299","1.01 %","37,812.00"
"MEL","2024-11-05","288.6","296","288.6","296","2.07 %","11,174.00"
"MEL","2024-10-30","295.2","300","289","290","-2.36 %","30,592.00"
"MEL","2024-10-29","288.2","300","288.2","297","1.02 %","33,521.00"
"MEL","2024-10-28","284","296.8","284","294","2.08 %","22,769.00"
