Symbol,Score,Signal,Close,RSI,Trend,52W_Position_%,Volume_Ratio,Momentum_5D_%,Factors
NABBC,70,STRONG_BUY,1520.0,39.7,UP,64.0,0.16,-10.0,"Low_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal, Strong_20D_Momentum"
KKHC,55,BUY,290.0,66.0,UP,31.0,2.58,4.8,"Strong_Uptrend, Above_200SMA, High_Volume, Strong_20D_Momentum"
MHNL,55,BUY,277.0,39.6,UP,59.9,1.01,0.0,"Low_RSI, Strong_Uptrend, Above_200SMA, Strong_20D_Momentum"
MFIL,55,BUY,777.0,24.5,UP,72.2,0.54,-2.9,"Oversold_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
MDB,55,BUY,628.0,27.8,UP,45.9,0.38,-0.9,"Oversold_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
HURJA,55,BUY,271.2,64.6,UP,83.7,1.64,4.5,"Strong_Uptrend, Above_200SMA, High_Volume, Strong_20D_Momentum"
SHEL,55,BUY,306.1,57.9,UP,69.7,1.74,3.4,"Strong_Uptrend, Above_200SMA, High_Volume, Strong_20D_Momentum"
SADBL,55,BUY,417.0,39.8,UP,27.3,0.72,0.5,"Low_RSI, Strong_Uptrend, Above_200SMA, Lower_Half_Range"
EBL,55,BUY,668.5,37.6,UP,49.1,1.39,-0.2,"Low_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle, Above_Avg_Volume"
TPC,50,BUY,409.0,64.5,UP,34.9,1.11,5.7,"Strong_Uptrend, Above_200SMA, Positive_5D_Momentum, Strong_20D_Momentum"
PLI,50,BUY,587.0,51.8,UP,79.1,0.62,-1.7,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Strong_20D_Momentum"
SIFC,50,BUY,586.0,42.4,UP,63.8,0.2,-4.2,"Strong_Uptrend, Above_200SMA, Below_BB_Middle, Strong_20D_Momentum"
UMHL,50,BUY,612.0,32.2,UP,78.8,0.23,-3.8,"Low_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
NHPC,50,BUY,230.1,61.7,UP,85.8,2.18,6.0,"Strong_Uptrend, Above_200SMA, Near_52W_High, High_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
MBL,50,BUY,228.0,36.5,UP,35.9,0.46,-0.9,"Low_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
GLH,50,BUY,275.0,56.0,UP,62.7,1.24,1.8,"Strong_Uptrend, Above_200SMA, Above_Avg_Volume, Strong_20D_Momentum"
GUFL,50,BUY,556.1,33.5,UP,40.7,0.47,-3.6,"Low_RSI, Strong_Uptrend, Above_200SMA, Below_BB_Middle"
HDHPC,45,WATCH,203.9,52.8,UP,70.7,0.62,-1.9,"Strong_Uptrend, Above_200SMA, Strong_20D_Momentum"
LEC,45,WATCH,223.0,50.5,UP,54.3,0.7,1.1,"Strong_Uptrend, Above_200SMA, Strong_20D_Momentum"
GHL,45,WATCH,247.0,58.8,UP,41.5,0.98,-2.9,"Strong_Uptrend, Above_200SMA, Strong_20D_Momentum"
JBBL,45,WATCH,334.0,24.4,DOWN,29.1,0.39,-1.0,"Oversold_RSI, Above_200SMA, Lower_Half_Range, Below_BB_Middle"
RHPL,45,WATCH,305.0,59.8,UP,21.5,2.66,8.5,"Strong_Uptrend, Below_200SMA, Lower_Half_Range, High_Volume, Positive_5D_Momentum, Strong_20D_Momentum"
NGPL,45,WATCH,437.0,61.8,UP,94.3,1.58,2.2,"Strong_Uptrend, Above_200SMA, Near_52W_High, High_Volume, Strong_20D_Momentum"
PMHPL,45,WATCH,352.0,57.4,UP,43.5,0.42,1.5,"Strong_Uptrend, Above_200SMA, Strong_20D_Momentum"
CFCL,40,WATCH,554.0,43.6,UP,43.5,1.11,-2.1,"Strong_Uptrend, Above_200SMA, Below_BB_Middle"
SPDL,40,WATCH,401.9,35.5,UP,61.8,0.46,-1.5,"Low_RSI, Weak_Uptrend, Above_200SMA, Below_BB_Middle"
MPFL,40,WATCH,618.0,32.1,DOWN,48.2,0.29,-5.9,"Low_RSI, Above_200SMA, Below_BB_Middle, Negative_5D_Momentum_Reversal"
SCB,40,WATCH,640.0,56.9,UP,47.5,1.4,0.3,"Strong_Uptrend, Above_200SMA, Above_Avg_Volume"
PFL,40,WATCH,379.0,34.4,UP,10.5,0.47,-1.2,"Low_RSI, Strong_Uptrend, Below_200SMA, Near_52W_Low, Below_BB_Middle"
API,40,WATCH,299.5,40.8,UP,59.9,0.81,-0.8,"Strong_Uptrend, Above_200SMA, Below_BB_Middle"
RLFL,35,WATCH,458.6,35.9,UP,19.9,0.34,-1.2,"Low_RSI, Strong_Uptrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
ICFC,35,WATCH,654.9,24.1,DOWN,59.7,0.28,-1.5,"Oversold_RSI, Above_200SMA, Below_BB_Middle"
JOSHI,35,WATCH,301.0,47.3,UP,20.3,0.69,-5.6,"Strong_Uptrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle, Negative_5D_Momentum_Reversal"
GBBL,35,WATCH,398.9,36.4,UP,25.9,0.74,0.5,"Low_RSI, Strong_Uptrend, Below_200SMA, Lower_Half_Range, Below_BB_Middle"
