Symbol,Open_Quantity,Invested_Open,Current_Value,Realized_P/L,Unrealized_P/L,Unrealized_PnL_%,Total_P/L,Total_PnL_%,Total_Invested_Open,Total_Current_Value,Total_Realized_P/L,Total_Unrealized_P/L,Portfolio_PnL_%
AKJCL,100.0,22000.0,18270.0,0.0,-3730.0,-16.95,-3730.0,-16.95,,,,,
DORDI,120.0,37440.0,29772.0,0.0,-7668.0,-20.48,-7668.0,-20.48,,,,,
GBLBS,20.0,60140.0,16320.0,0.0,-43820.0,-72.86,-43820.0,-72.86,,,,,
HLBSL,95.0,102505.0,87153.0,0.0,-15352.0,-14.98,-15352.0,-14.98,,,,,
HURJA,47.0,5546.0,10325.9,0.0,4779.9,86.19,4779.9,86.19,,,,,
MEL,164.0,52972.0,43460.0,0.0,-9512.0,-17.96,-9512.0,-17.96,,,,,
PPCL,510.0,198900.0,172380.0,0.0,-26520.0,-13.33,-26520.0,-13.33,,,,,
UNHPL,140.0,44100.0,67410.0,0.0,23310.0,52.86,23310.0,52.86,,,,,
,,,,,,,,,,,,,
,,,,,,,,,523603.0,445090.9,0.0,-78512.1,-14.994585592519519
