Symbol,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
AKJCL,35,388.0,366.0,23395.0,-770.0,22625.0,166.61
SSHL,0,0.0,205.0,15000.0,0.0,15000.0,0.0
HURJA,47,118.0,236.1,0.0,5550.7,5550.7,100.08
UNHPL,65,415.38,382.1,0.0,-2163.5,-2163.5,-8.01
DORDI,130,307.54,253.5,0.0,-7025.0,-7025.0,-17.57
PPCL,10,390.0,345.9,-8000.0,-441.0,-8441.0,-216.44
SINDU,115,866.3,723.9,0.0,-16376.5,-16376.5,-16.44
MEL,164,323.0,218.9,0.0,-17072.4,-17072.4,-32.23
HLBSL,95,1079.0,881.9,0.0,-18724.5,-18724.5,-18.27
SAGAR,90,2220.0,1710.0,0.0,-45900.0,-45900.0,-22.97
GBLBS,60,1519.0,748.0,0.0,-46260.0,-46260.0,-50.76
