Symbol,Date,Signal,Entry_Close,Latest_Close,PnL_%
SSHL,2026-01-04,Buy,152.1,175.4,15.32
NRN,2026-01-04,Buy,1365.0,1550.0,13.55
KKHC,2025-12-24,Buy,214.7,230.2,7.22
SAHAS,2025-12-18,Buy,544.0,565.8,4.01
TRH,2025-11-25,Buy,718.0,758.0,5.57
MNBBL,2025-11-25,Buy,356.8,388.0,8.74
GBBL,2025-11-20,Buy,373.4,403.0,7.93
MBL,2025-10-30,Buy,213.0,230.0,7.98
SANIMA,2025-10-29,Buy,318.0,341.1,7.26
TPC,2025-10-29,Buy,291.2,366.8,25.96
MPFL,2025-10-28,Buy,513.0,673.7,31.33
SFCL,2025-10-28,Buy,390.0,399.0,2.31
OHL,2025-10-26,Buy,670.0,731.8,9.22
KSBBL,2025-10-26,Buy,414.0,472.9,14.23
RLFL,2025-10-26,Buy,405.0,452.2,11.65
NABBC,2025-10-16,Buy,720.0,1528.0,112.22
CHL,2025-09-24,Buy,258.7,279.5,8.04
HBL,2025-09-23,Buy,200.1,193.8,-3.15
HDHPC,2025-09-23,Buy,190.8,194.8,2.1
JOSHI,2025-09-23,Buy,315.8,300.0,-5.0
GHL,2025-09-23,Buy,224.0,234.0,4.46
UPPER,2025-09-23,Buy,192.4,185.1,-3.79
GFCL,2025-09-21,Buy,605.0,722.0,19.34
RHPL,2025-09-21,Buy,287.02,281.1,-2.06
BARUN,2025-09-21,Buy,320.56,342.0,6.69
NBL,2025-09-21,Buy,249.03,246.9,-0.86
HURJA,2025-09-21,Buy,226.87,237.5,4.69
SINDU,2025-09-21,Buy,679.8,741.0,9.0
BFC,2025-09-18,Buy,419.8,497.2,18.44
JFL,2025-09-18,Buy,402.7,458.0,13.73
LICN,2025-09-18,Buy,773.2,874.9,13.15
GUFL,2025-09-18,Buy,465.5,606.0,30.18
CFCL,2025-09-18,Buy,467.0,570.0,22.06
AKJCL,2025-09-18,Buy,173.0,244.0,41.04
ALICL,2025-07-07,Buy,499.75,488.0,-2.35
NLIC,2025-06-30,Buy,728.63,790.0,8.42
NYADI,2025-06-08,Buy,430.96,402.0,-6.72
SAPDBL,2025-05-19,Buy,787.0,823.0,4.57
SCB,2025-05-08,Buy,607.56,631.0,3.86
PROFL,2025-05-06,Buy,474.76,495.0,4.26
NFS,2025-05-06,Buy,590.98,675.8,14.35
PRVU,2025-05-06,Buy,196.09,188.0,-4.13
LBBL,2025-05-04,Buy,383.93,498.0,29.71
SPC,2025-03-27,Buy,524.02,540.0,3.05
PFL,2025-02-05,Buy,403.0,386.0,-4.22
NABIL,2025-02-03,Buy,495.9,493.1,-0.56
ADBL,2025-02-02,Buy,294.9,304.0,3.09
NICA,2025-01-28,Buy,357.0,341.9,-4.23
SBL,2025-01-28,Buy,286.0,392.0,37.06
CHCL,2025-01-22,Buy,514.9,473.1,-8.12
NGPL,2025-01-08,Buy,265.0,408.0,53.96
LEC,2025-01-05,Buy,200.1,219.9,9.9
ICFC,2025-01-01,Buy,648.0,695.0,7.25
API,2024-12-24,Buy,263.3,298.0,13.18
BPCL,2024-12-23,Buy,387.0,795.0,105.43
GBIME,2024-12-11,Buy,232.5,228.0,-1.94
RURU,2024-05-14,Buy,557.5,675.0,21.08
CHDC,2024-05-14,Buy,770.0,2435.0,216.23
SHEL,2024-05-14,Buy,156.9,291.0,85.47
AHPC,2024-05-13,Buy,158.0,267.0,68.99
