Symbol,Date,Signal,Entry_Close,Latest_Close,PnL_%
KKHC,2025-12-24,Buy,214.7,214.7,0.0
SSHL,2025-12-24,Buy,151.5,151.5,0.0
NRN,2025-12-24,Buy,1345.2,1345.2,0.0
SAHAS,2025-12-18,Buy,544.0,543.0,-0.18
TRH,2025-11-25,Buy,718.0,708.0,-1.39
MNBBL,2025-11-25,Buy,356.8,342.6,-3.98
GBBL,2025-11-20,Buy,373.4,374.0,0.16
MBL,2025-10-30,Buy,213.0,220.0,3.29
SANIMA,2025-10-29,Buy,318.0,319.0,0.31
TPC,2025-10-29,Buy,291.2,367.0,26.03
MPFL,2025-10-28,Buy,513.0,573.0,11.7
SFCL,2025-10-28,Buy,390.0,375.0,-3.85
OHL,2025-10-26,Buy,670.0,691.1,3.15
KSBBL,2025-10-26,Buy,414.0,429.5,3.74
RLFL,2025-10-26,Buy,405.0,407.3,0.57
NABBC,2025-10-16,Buy,720.0,1145.0,59.03
CHL,2025-09-24,Buy,258.7,254.0,-1.82
HBL,2025-09-23,Buy,200.1,187.9,-6.1
HDHPC,2025-09-23,Buy,190.8,173.6,-9.01
JOSHI,2025-09-23,Buy,315.8,271.1,-14.15
GHL,2025-09-23,Buy,224.0,207.0,-7.59
UPPER,2025-09-23,Buy,192.4,172.8,-10.19
GFCL,2025-09-21,Buy,605.0,556.1,-8.08
RHPL,2025-09-21,Buy,287.02,268.8,-6.35
BARUN,2025-09-21,Buy,320.56,318.0,-0.8
NBL,2025-09-21,Buy,249.03,237.0,-4.83
HURJA,2025-09-21,Buy,226.87,219.7,-3.16
SINDU,2025-09-21,Buy,679.8,702.0,3.27
BFC,2025-09-18,Buy,419.8,448.0,6.72
JFL,2025-09-18,Buy,402.7,405.0,0.57
LICN,2025-09-18,Buy,773.2,876.0,13.3
GUFL,2025-09-18,Buy,465.5,486.0,4.4
CFCL,2025-09-18,Buy,467.0,462.1,-1.05
AKJCL,2025-09-18,Buy,173.0,182.7,5.61
ALICL,2025-07-07,Buy,499.75,457.0,-8.55
NLIC,2025-06-30,Buy,728.63,750.5,3.0
NYADI,2025-06-08,Buy,430.96,370.0,-14.15
SAPDBL,2025-05-19,Buy,787.0,793.1,0.78
SCB,2025-05-08,Buy,607.56,624.8,2.84
PROFL,2025-05-06,Buy,474.76,440.0,-7.32
NFS,2025-05-06,Buy,590.98,612.3,3.61
PRVU,2025-05-06,Buy,196.09,182.0,-7.19
LBBL,2025-05-04,Buy,383.93,461.9,20.31
SPC,2025-03-27,Buy,524.02,530.4,1.22
PFL,2025-02-05,Buy,403.0,358.0,-11.17
NABIL,2025-02-03,Buy,495.9,498.6,0.54
ADBL,2025-02-02,Buy,294.9,288.0,-2.34
NICA,2025-01-28,Buy,357.0,321.0,-10.08
SBL,2025-01-28,Buy,286.0,374.9,31.08
CHCL,2025-01-22,Buy,514.9,498.0,-3.28
NGPL,2025-01-08,Buy,265.0,387.5,46.23
LEC,2025-01-05,Buy,200.1,194.5,-2.8
ICFC,2025-01-01,Buy,648.0,620.0,-4.32
API,2024-12-24,Buy,263.3,289.0,9.76
