Symbol,Date,Signal,Close,RSI_EMA_14
KKHC,2025-12-24,Buy,214.7,29.88
SSHL,2025-12-23,Buy,152.9,28.49
SAHAS,2025-12-11,Buy,539.2,29.48
NRN,2025-12-07,Buy,1393.0,29.15
GBBL,2025-11-17,Buy,370.9,29.22
MNBBL,2025-11-05,Buy,364.0,29.32
KSBBL,2025-10-26,Buy,414.0,29.98
MPFL,2025-10-26,Buy,498.0,29.04
RLFL,2025-10-26,Buy,405.0,29.97
SFCL,2025-10-16,Buy,376.0,29.15
TPC,2025-10-16,Buy,280.9,29.61
SANIMA,2025-10-14,Buy,311.0,29.44
MBL,2025-10-12,Buy,211.5,29.16
OHL,2025-09-28,Buy,725.0,29.74
TRH,2025-09-25,Buy,839.0,28.56
JFL,2025-09-18,Buy,402.7,28.32
LICN,2025-09-18,Buy,773.2,28.82
AKJCL,2025-09-18,Buy,173.0,29.77
BFC,2025-09-18,Buy,419.8,29.63
CFCL,2025-09-18,Buy,467.0,29.0
BARUN,2025-09-18,Buy,298.0,28.03
GUFL,2025-09-18,Buy,465.5,29.6
MPFL,2025-09-08,Buy,565.57,29.17
SINDU,2025-09-08,Buy,686.67,29.04
HURJA,2025-09-08,Buy,221.99,29.87
RHPL,2025-09-07,Buy,287.04,29.89
GFCL,2025-09-07,Buy,608.4,29.74
SFCL,2025-09-04,Buy,419.19,28.91
GHL,2025-09-04,Buy,223.02,29.87
UPPER,2025-09-04,Buy,187.78,28.6
HDHPC,2025-09-04,Buy,187.33,29.4
NBL,2025-09-03,Buy,249.66,29.88
HBL,2025-09-03,Buy,202.56,29.37
TPC,2025-09-03,Buy,333.6,29.16
CHL,2025-09-02,Buy,260.27,29.58
KKHC,2025-09-02,Buy,242.53,29.19
JOSHI,2025-09-02,Buy,296.42,29.53
NABBC,2025-08-27,Buy,830.04,28.44
SSHL,2025-08-18,Buy,194.78,29.55
RHPL,2025-08-14,Buy,306.61,28.64
KKHC,2025-08-06,Buy,263.16,28.94
NLIC,2025-06-25,Buy,724.64,28.75
BARUN,2025-06-08,Buy,316.47,29.32
ALICL,2025-06-04,Buy,508.75,29.18
TPC,2025-05-28,Buy,345.21,29.55
CHL,2025-05-27,Buy,285.02,29.1
NABBC,2025-05-25,Buy,1527.78,29.95
SINDU,2025-05-18,Buy,724.29,29.01
SAPDBL,2025-05-15,Buy,753.37,29.54
NYADI,2025-05-13,Buy,479.99,29.59
PROFL,2025-05-06,Buy,474.76,29.21
PRVU,2025-05-06,Buy,196.09,29.84
NFS,2025-05-06,Buy,590.98,29.85
TRH,2025-05-04,Buy,927.97,29.68
JFL,2025-05-04,Buy,446.57,29.14
SCB,2025-04-30,Buy,601.42,29.18
BFC,2025-04-30,Buy,486.05,28.77
LBBL,2025-04-30,Buy,379.9,29.89
LICN,2025-04-23,Buy,954.3,29.59
SPC,2025-03-25,Buy,508.09,28.73
JOSHI,2025-03-20,Buy,372.52,29.82
