Symbol,Date,Open,High,Low,Close
Symbol,Date,Open,High,Low,Close
ACLBSL,2024-06-11,1011.8,1020,976,1015
ADBL,2024-06-11,259,261,254,259
ADBLD83,2024-06-11,1075,1075,1075,1075
AHL,2024-06-11,530.4,547,516,520
AHPC,2024-06-11,158.1,163,156.4,159.3
AKJCL,2024-06-11,205,218,203,211
AKPL,2024-06-11,169,172,164.3,169.8
ALBSL,2024-06-11,998.1,1025,981.3,1025
ALICL,2024-06-11,563,575,563,572.9
ANLB,2024-06-11,2327.1,2399,2327.1,2340
API,2024-06-11,177.2,178,173,176
AVYAN,2024-06-11,944,989,916,969
BARUN,2024-06-11,252,273.9,251,273.9
BBC,2024-06-11,3844,4080,3839,3999
BEDC,2024-06-11,431,437,417,424.6
BFC,2024-06-11,430.7,442,418.5,439.9
BGWT,2024-06-11,1122.1,1259.5,1030.5,1259.5
BHDC,2024-06-11,617.1,617.1,596.3,603
BHL,2024-06-11,350,369.2,345.1,357.1
BHPL,2024-06-11,620.4,642,620.1,642
BNHC,2024-06-11,625,630,620.1,628
BNT,2024-06-11,12719,12970,12718,12761
BPCL,2024-06-11,296.8,298,291,297
CBBL,2024-06-11,868,868,850,859
CCBD88,2024-06-11,1055,1060,1055,1060
CFCL,2024-06-11,427.9,432,415,426
CGH,2024-06-11,888,888,866.3,878.9
CHCL,2024-06-11,443.1,443.1,430,441
CHDC,2024-06-11,1010,1010,986.7,990
CHL,2024-06-11,326.8,334,326,333
CIT,2024-06-11,2145,2160,2140,2155
CITY,2024-06-11,690.3,710,690.3,698
CIZBD90,2024-06-11,1025,1025,1025,1025
CKHL,2024-06-11,596,603,585,587
CLI,2024-06-11,469,487,469,486
CMF1,2024-06-11,9,9.03,9,9.03
CMF2,2024-06-11,8.47,8.47,8.26,8.27
CORBL,2024-06-11,485,497,476,493
CYCL,2024-06-11,1574,1574,1530,1550
CZBIL,2024-06-11,169.3,180,163.2,171
DDBL,2024-06-11,810,818,808.3,817
DHPL,2024-06-11,195,203.6,194,201.6
DLBS,2024-06-11,1222.2,1267,1220,1255
DOLTI,2024-06-11,452.8,452.8,439,439
DORDI,2024-06-11,439,451,435,439
EBL,2024-06-11,539.8,539.8,525.1,531
EDBL,2024-06-11,382,386,371,382
EHPL,2024-06-11,570,612,568,606
ENL,2024-06-11,1019,1023,970.2,1007
FMDBL,2024-06-11,670.1,687,670,681
FOWAD,2024-06-11,1270.1,1304,1270.1,1287
GBBD85,2024-06-11,990.9,1000.2,990.9,1000.2
GBBL,2024-06-11,366,367,362,366
GBILD86/87,2024-06-11,980.1,980.1,975.1,975.1
GBIME,2024-06-11,183.6,183.6,178.5,181.1
GBLBS,2024-06-11,800.3,800.3,780,790
GCIL,2024-06-11,474,494,474,490
GFCL,2024-06-11,473,473,465,469.6
GHL,2024-06-11,146,150,145.1,148.8
GIBF1,2024-06-11,8.05,8.46,8.05,8.46
GILB,2024-06-11,1671.3,1772,1605.2,1683
GLBSL,2024-06-11,1870,1898,1840,1885
GLH,2024-06-11,205,211.2,203.1,211.2
GMFBS,2024-06-11,1257,1305,1257,1277
GMFIL,2024-06-11,387,403,387,398
GRDBL,2024-06-11,435.5,443,421.2,440
GUFL,2024-06-11,703,739.5,695,731
GVL,2024-06-11,522.4,586.3,515,586.3
GWFD83,2024-06-11,1235,1235,1235,1235
H8020,2024-06-11,8.9,9.12,8.9,8.99
HATHY,2024-06-11,930,949.6,929.2,930.5
HBL,2024-06-11,185.9,187.6,180.1,183
HBLD83,2024-06-11,1041,1050,1041,1050
HDHPC,2024-06-11,132,133.5,130,132
HDL,2024-06-11,1321.9,1321.9,1297,1305
HEI,2024-06-11,592,620,592,619
HEIP,2024-06-11,350,364.6,350,364.6
HHL,2024-06-11,376,405.5,376,390
HIDCL,2024-06-11,166.2,166.2,162.2,165
HIDCLP,2024-06-11,98.4,99,98.4,98.7
HLBSL,2024-06-11,1313.2,1350,1313.2,1335
HLI,2024-06-11,390.6,393.7,384,390.1
HPPL,2024-06-11,263.8,268,258,265
HRL,2024-06-11,575,577,566.1,570
HURJA,2024-06-11,275,288.6,275,284
ICFC,2024-06-11,511,520,511,517.9
ICFCD83,2024-06-11,1235,1255,1235,1255
IGI,2024-06-11,534,549,527.1,543
IHL,2024-06-11,432.3,432.3,415.7,420
ILBS,2024-06-11,1315,1370,1275,1340
ILI,2024-06-11,421,439.7,421,437.9
JALPA,2024-06-11,1476.9,1536,1420,1470
