Symbol,Date,Open,High,Low,Close,G,H
ACLBSL,2024-08-01,1275.0,1300.0,1219.0,1224.0,,
ACLBSL,2024-07-31,1270,1280,1245,1250,,
ACLBSL,2024-07-30,1222.1,1309.6,1210.3,1284,,
ACLBSL,2024-07-29,1333.4,1333.5,1239.7,1247,,
ACLBSL,2024-07-28,1362.2,1468,1310,1360.6,,
ACLBSL,2024-07-25,1413.2,1413.2,1304.4,1390,,
ACLBSL,2024-07-24,1305,1442,1295,1442,,
ACLBSL,2024-07-23,1392,1440,1301.4,1320.9,,
ACLBSL,2024-07-22,1370,1370.2,1330,1365,,
ACLBSL,2024-07-21,1372,1479,1321,1396,,
ACLBSL,2024-07-18,1386.7,1491,1308,1400,,
ACLBSL,2024-07-17,1263.3,1417.9,1240,1415,,
ACLBSL,2024-07-16,1215,1320,1210,1289,,
ACLBSL,2024-07-15,1269.9,1269.9,1201,1230,,
ACLBSL,2024-07-14,1216,1260,1196.5,1245,,
ACLBSL,2024-07-11,1235,1235,1190,1192.5,,
ACLBSL,2024-07-10,1281.1,1281.1,1208,1216,,
ACLBSL,2024-07-09,1199.6,1271,1199.6,1256,,
ACLBSL,2024-07-08,1181.9,1256,1181.9,1224,,
ACLBSL,2024-07-07,1177,1295,1177,1206,,
ACLBSL,2024-07-04,1100,1229,1096.7,1201,,
ACLBSL,2024-07-03,1100,1120,1081,1119,,
ACLBSL,2024-07-02,1081.2,1166,1056,1099.9,,
ACLBSL,2024-07-01,1070,1070,1040.1,1060,,
ACLBSL,2024-06-30,1045,1055,1026,1050,,
ACLBSL,2024-06-27,1085,1085,1050,1057.9,,
ACLBSL,2024-06-26,1069.4,1094.3,1060,1080,,
ACLBSL,2024-06-25,1020,1050,1020,1048.5,,
ACLBSL,2024-06-24,955,1020,955,1016,,
ACLBSL,2024-06-23,989,989,951,955,,
ACLBSL,2024-06-20,971,980,964,970,,
ACLBSL,2024-06-19,967,1005.6,967,975,,
ACLBSL,2024-06-18,983.1,998,970,986,,
ACLBSL,2024-06-16,1004,1015,995,1000,,
ACLBSL,2024-06-13,1043,1043,1011,1022,,
ACLBSL,2024-06-12,1027.9,1035,999.1,1030,,
ACLBSL,2024-06-11,1011.8,1020,976,1015,,
ACLBSL,2024-06-10,961,993.4,938,992,,
ACLBSL,2024-06-09,1011,1028,965,974,,
ACLBSL,2024-06-06,1009.8,1028,999,1010,,
ACLBSL,2024-06-05,975,1022,961,990,,
ACLBSL,2024-06-04,955,1007.7,938,960,,
ACLBSL,2024-06-03,906.1,950,906,943,,
ACLBSL,2024-06-02,911,947.5,894.1,917,,
ACLBSL,2024-05-30,911.2,948.5,911,911,,
ACLBSL,2024-05-29,949.9,960,920,926,,
ACLBSL,2024-05-27,897.2,951,880,936,,
ACLBSL,2024-05-26,914,939,914,915.5,,
ACLBSL,2024-05-22,959.9,960,930,930,,
ACLBSL,2024-05-21,886.9,960,886.9,946,,
ACLBSL,2024-05-20,954,954,901.2,905,,
ACLBSL,2024-05-19,963.9,963.9,926.2,935.6,,
ACLBSL,2024-05-16,882.1,955,866,945,,
ACLBSL,2024-05-15,879,900,860.1,900,,
ACLBSL,2024-05-14,849.1,895,826,874.1,,
ACLBSL,2024-05-13,878.1,944.4,845,866,,
ACLBSL,2024-05-12,898.3,933,862.8,896,,
ACLBSL,2024-05-09,890,919.9,873.9,916.6,,
ACLBSL,2024-05-08,883,902.7,851,902.7,,
ACLBSL,2024-05-07,829.7,867,815,867,,
ACLBSL,2024-05-06,803.8,825,803.8,813.5,,
ACLBSL,2024-05-05,821,874,804.6,820,,
ACLBSL,2024-05-02,800,848,787,837,,
ACLBSL,2024-04-30,770,802,766,800,,
ACLBSL,2024-04-29,770,780,767.1,767.2,,
ACLBSL,2024-04-28,742.1,774,742.1,774,,
ACLBSL,2024-04-25,746,760,746,755,,
ACLBSL,2024-04-24,757,760,747,756,,
ACLBSL,2024-04-22,768,770,756,756.7,,
ACLBSL,2024-04-21,745,768.9,730.4,768.9,,
ACLBSL,2024-04-18,746,760,745.1,745.1,,
ACLBSL,2024-04-16,757,774.9,757,762,,
ACLBSL,2024-04-15,800,800.7,770,770,,
ACLBSL,2024-04-14,776.9,800,747.8,785,,
ACLBSL,2024-04-10,776,776,757.1,763,,
ACLBSL,2024-04-09,790.1,818.9,769.1,787,,
ACLBSL,2024-04-07,781,831.1,770,781,,
ACLBSL,2024-04-04,759,802,748,784,,
ACLBSL,2024-04-03,739,775.2,739,759,,
ACLBSL,2024-04-02,701,751,701,739,,
ACLBSL,2024-04-01,699,715,692,715,,
ACLBSL,2024-03-31,730,744,690.9,690.9,,
ACLBSL,2024-03-28,708.1,722,703,721.9,,
ACLBSL,2024-03-27,740,740,712,720,,
ACLBSL,2024-03-26,708,764.9,708,739.5,,
ACLBSL,2024-03-25,745,747,707,716.5,,
ACLBSL,2024-03-21,765,778,715.5,747,,
ACLBSL,2024-03-20,724,783.2,724,765,,
