Symbol,Date,Open,High,Low,Close,Volume
ACLBSL,2025-01-23,1024.0,1044.0,1024.0,1043.9,7092167.6
ADBL,2025-01-23,287.5,290.0,285.0,289.0,11768404.1
AHL,2025-01-23,833.0,833.0,816.0,823.0,13334515.4
AHPC,2025-01-23,262.9,267.2,258.0,262.0,70170438.6
AKJCL,2025-01-23,203.4,203.4,196.0,196.0,20566886.7
AKPL,2025-01-23,236.0,242.7,235.0,235.1,20920827.3
ALBSL,2025-01-23,831.0,870.0,823.2,844.9,5334633.8
ALICL,2025-01-23,728.0,761.0,728.0,748.9,42643387.6
ANLB,2025-01-23,5000.0,5000.0,4830.0,4994.0,1835827.9
API,2025-01-23,270.5,280.0,270.5,274.6,51341963.3
AVYAN,2025-01-23,1019.2,1060.2,1019.2,1042.0,2641701.0
BARUN,2025-01-23,454.9,454.9,442.2,445.0,38038809.5
BBC,2025-01-23,5915.0,5915.0,5772.0,5821.0,5338423.8
BEDC,2025-01-23,768.5,780.0,760.1,768.0,53647343.3
BFC,2025-01-23,632.4,632.4,598.0,600.0,51520739.0
BGWT,2025-01-23,1046.6,1115.0,1046.6,1095.0,35614375.5
BHDC,2025-01-23,720.0,730.0,710.0,722.0,25070271.1
BHL,2025-01-23,371.1,384.0,371.0,374.8,5227557.2
BHPL,2025-01-23,1040.0,1040.0,985.1,1011.0,29415718.4
BNHC,2025-01-23,520.0,538.9,520.0,535.0,32121285.4
BNL,2025-01-23,18000.0,19800.0,18000.0,19005.6,1914607.0
BNT,2025-01-23,13750.0,13800.0,13500.0,13500.0,4262036.0
BOKD86,2025-01-23,1030.0,1030.0,1030.0,1030.0,25750.0
BPCL,2025-01-23,399.0,415.0,395.1,395.1,5151646.2
C30MF,2025-01-23,8.9,8.9,8.9,8.9,1780.0
CBBL,2025-01-23,870.9,870.9,851.0,859.0,8364370.9
CBLD88,2025-01-23,1137.0,1182.0,1116.0,1182.0,138104.7
CCBD88,2025-01-23,1190.0,1190.0,1103.0,1170.0,2147767.1
CFCL,2025-01-23,527.3,548.0,513.0,519.0,31460643.8
CGH,2025-01-23,924.1,924.1,890.0,899.9,17012474.5
CHCL,2025-01-23,520.0,520.0,505.1,519.0,19717041.0
CHDC,2025-01-23,1851.0,1880.0,1813.0,1826.0,149909188.6
CHL,2025-01-23,448.9,466.0,448.9,459.0,25989321.9
CIT,2025-01-23,2010.0,2012.0,1993.0,2000.0,10395682.7
CITY,2025-01-23,935.0,944.0,911.3,918.0,8418993.0
CKHL,2025-01-23,820.0,845.5,804.0,835.1,31651473.0
CLI,2025-01-23,710.0,744.9,703.3,736.0,158880235.7
CORBL,2025-01-23,1792.9,1933.5,1775.0,1933.5,118756874.5
CYCL,2025-01-23,1515.0,1569.8,1505.0,1505.0,11406919.4
CYCLP,2025-01-23,0.0,0.0,0.0,864.0,6912000.0
CZBIL,2025-01-23,209.0,211.0,206.1,207.0,11378865.6
DDBL,2025-01-23,785.0,790.0,772.0,783.0,3104670.6
DHPL,2025-01-23,316.0,319.9,307.8,310.0,15487427.6
DLBS,2025-01-23,1862.0,2090.0,1862.0,2087.0,28855918.3
DOLTI,2025-01-23,906.6,1017.0,840.0,995.0,167611673.5
DORDI,2025-01-23,605.0,612.0,593.1,594.1,21743562.6
EBL,2025-01-23,602.0,605.0,597.0,598.5,14484863.2
EBLD86,2025-01-23,1032.0,1032.0,1025.0,1025.0,51425.0
EDBL,2025-01-23,600.0,602.0,576.3,588.0,88460947.8
EHPL,2025-01-23,800.0,822.0,800.0,808.5,13681707.6
ENL,2025-01-23,1197.1,1227.0,1197.1,1210.0,6338385.4
FMDBL,2025-01-23,732.0,735.8,721.0,725.0,5503608.0
FOWAD,2025-01-23,1225.0,1232.8,1220.0,1220.0,3654998.9
GBBD85,2025-01-23,1025.0,1026.5,1025.0,1026.5,56415.5
GBBL,2025-01-23,389.0,392.0,380.2,385.0,25071658.1
GBILD84/85,2025-01-23,1135.0,1136.1,1135.0,1136.1,56777.5
GBIME,2025-01-23,222.0,225.4,219.0,219.5,17941087.4
GBLBS,2025-01-23,799.9,799.9,777.4,779.5,5340102.8
GCIL,2025-01-23,509.1,513.9,500.0,508.9,21009134.3
GFCL,2025-01-23,727.0,740.0,712.0,717.0,23015515.8
GHL,2025-01-23,212.0,214.0,207.0,207.4,9846665.0
GIBF1,2025-01-23,9.9,10.05,9.6,9.7,3662426.0
GILB,2025-01-23,1211.0,1230.0,1188.1,1219.0,4312574.0
GLBSL,2025-01-23,2360.0,2407.0,2340.0,2350.0,12145980.6
GLH,2025-01-23,257.8,257.8,253.0,253.0,17170123.2
GMFBS,2025-01-23,1760.0,1790.0,1760.0,1781.0,10026039.1
GMFIL,2025-01-23,485.1,494.0,478.0,480.0,11965897.7
GRDBL,2025-01-23,1397.9,1498.7,1371.0,1480.0,110311248.0
GUFL,2025-01-23,608.4,608.4,590.1,590.1,21676113.7
GVL,2025-01-23,551.0,558.0,543.0,543.1,6343997.6
GWFD83,2025-01-23,1196.0,1200.0,1190.0,1190.0,1107010.5
H8020,2025-01-23,9.88,10.05,9.88,10.05,163236.5
HATHY,2025-01-23,1400.1,1427.8,1375.2,1384.9,44329291.4
HBL,2025-01-23,232.0,233.0,221.0,229.0,14912993.9
HDHPC,2025-01-23,200.9,202.5,197.1,197.3,20574075.3
HDL,2025-01-23,1204.6,1204.6,1165.0,1168.5,23620270.4
HEI,2025-01-23,674.0,674.0,642.0,650.0,15287583.8
HEIP,2025-01-23,451.0,451.0,440.0,448.8,2713158.0
HHL,2025-01-23,571.0,582.0,567.2,576.0,18198754.0
HIDCL,2025-01-23,257.0,264.9,252.0,252.8,55547956.1
HIDCLP,2025-01-23,172.0,180.0,167.3,169.0,86734611.8
HLBSL,2025-01-23,974.9,974.9,948.3,960.0,5085956.1
HLI,2025-01-23,482.0,484.0,474.0,480.0,34386637.3
HPPL,2025-01-23,494.9,523.0,494.9,517.0,117375143.8
HRL,2025-01-23,880.0,881.0,855.0,859.0,168684203.4
HURJA,2025-01-23,238.0,239.0,234.0,235.0,36235757.8
ICFC,2025-01-23,642.0,654.5,630.0,634.5,20288384.3
ICFCD83,2025-01-23,1210.0,1215.0,1210.0,1215.0,278500.0
IGI,2025-01-23,604.0,607.0,592.0,593.0,11668725.1
IHL,2025-01-23,755.0,769.0,751.0,766.0,30911553.6
ILBS,2025-01-23,951.0,966.0,943.0,955.0,2646862.2
ILI,2025-01-23,492.0,499.0,483.2,485.9,17154881.4
JBBD87,2025-01-23,1050.0,1050.0,1050.0,1050.0,315000.0
JBBL,2025-01-23,363.1,363.1,350.5,352.0,18712535.5
JBLB,2025-01-23,1355.0,1375.0,1335.0,1335.0,6751781.0
JFL,2025-01-23,504.0,505.0,470.1,471.0,85155474.9
JOSHI,2025-01-23,430.0,430.0,415.0,416.0,24365517.5
JSLBB,2025-01-23,1632.0,1632.0,1576.0,1630.0,2896281.9
KBL,2025-01-23,198.0,205.0,198.0,198.2,34961326.2
KBLD89,2025-01-23,1140.3,1140.3,1140.3,1139.8,5676.7
KBSH,2025-01-23,2475.0,2483.6,2430.0,2479.9,3443855.9
KDBY,2025-01-23,9.54,9.54,9.3,9.48,32960.0
