Symbol,Date,Open,High,Low,Close,Percent Change,Volume,G,H
ACLBSL,2025-01-28,1139.0,1162.0,1117.0,1135.0,-0.35,6650994.3,,
ACLBSL,2025-01-27,1145.0,1162.1,1117.0,1117.0,-2.45,24026173.9,,
ACLBSL,2025-01-23,1024.0,1044.0,1024.0,1043.9,,7092167.6,,
ADBL,2025-01-28,285.0,287.0,281.1,286.0,0.35,7954617.2,,
ADBL,2025-01-27,287.0,287.0,283.0,283.5,-1.22,6572040.2,,
ADBL,2025-01-23,287.5,290.0,285.0,289.0,,11768404.1,,
ADBLD83,2025-01-28,1079.9,1080.0,1079.9,1080.0,0.01,82097.4,,
ADBLD83,2025-01-27,1100.0,1100.0,1100.0,1101.9,0.17,5509.5,,
AHL,2025-01-28,820.0,844.9,807.5,835.0,1.83,14363815.0,,
AHL,2025-01-27,850.0,850.0,804.0,829.0,-2.47,19206978.1,,
AHL,2025-01-23,833.0,833.0,816.0,823.0,,13334515.4,,
AHPC,2025-01-28,266.0,268.8,263.5,267.5,0.56,39315721.9,,
AHPC,2025-01-27,267.9,268.4,262.0,265.0,-1.08,55087390.2,,
AHPC,2025-01-23,262.9,267.2,258.0,262.0,,70170438.6,,
AKJCL,2025-01-28,196.0,198.0,195.0,197.0,0.51,24233008.1,,
AKJCL,2025-01-27,198.1,199.0,194.2,195.0,-1.56,29387818.5,,
AKJCL,2025-01-23,203.4,203.4,196.0,196.0,,20566886.7,,
AKPL,2025-01-28,235.0,239.0,234.1,237.9,1.23,28879525.1,,
AKPL,2025-01-27,236.0,240.7,232.3,233.9,-0.89,23166416.0,,
AKPL,2025-01-23,236.0,242.7,235.0,235.1,,20920827.3,,
ALBSL,2025-01-28,928.0,951.8,927.0,936.0,0.86,18919964.6,,
ALBSL,2025-01-27,862.0,940.0,862.0,940.0,9.05,38663409.2,,
ALBSL,2025-01-23,831.0,870.0,823.2,844.9,,5334633.8,,
ALICL,2025-01-28,740.0,744.9,735.1,744.6,0.62,18537673.6,,
ALICL,2025-01-27,736.9,766.0,735.0,737.0,0.01,33256301.5,,
ALICL,2025-01-23,728.0,761.0,728.0,748.9,,42643387.6,,
ANLB,2025-01-28,4949.0,5109.0,4949.0,5098.0,3.01,4565016.2,,
ANLB,2025-01-27,4765.0,5109.3,4765.0,5050.0,5.98,7045232.2,,
ANLB,2025-01-23,5000.0,5000.0,4830.0,4994.0,,1835827.9,,
API,2025-01-28,278.0,278.6,273.0,276.1,-0.68,45253851.6,,
API,2025-01-27,271.0,280.0,269.0,274.0,1.11,40304069.6,,
API,2025-01-23,270.5,280.0,270.5,274.6,,51341963.3,,
AVYAN,2025-01-28,1055.0,1110.0,1055.0,1080.0,2.37,8064829.0,,
AVYAN,2025-01-27,1042.0,1080.0,1042.0,1070.0,2.69,6804121.0,,
AVYAN,2025-01-23,1019.2,1060.2,1019.2,1042.0,,2641701.0,,
BARUN,2025-01-28,466.0,467.0,450.0,461.3,-1.01,145696283.9,,
BARUN,2025-01-27,471.8,478.9,455.7,457.0,-3.14,112623384.0,,
BARUN,2025-01-23,454.9,454.9,442.2,445.0,,38038809.5,,
BBC,2025-01-28,5750.0,6002.0,5670.0,5675.0,-1.3,4568225.0,,
BBC,2025-01-27,5800.0,5800.0,5660.0,5660.0,-2.41,9408959.0,,
BBC,2025-01-23,5915.0,5915.0,5772.0,5821.0,,5338423.8,,
BEDC,2025-01-28,850.0,850.0,793.8,812.0,-4.47,80930947.8,,
BEDC,2025-01-27,771.3,836.0,771.3,836.0,8.39,94215841.7,,
BEDC,2025-01-23,768.5,780.0,760.1,768.0,,53647343.3,,
BFC,2025-01-28,590.0,629.0,586.0,614.8,4.2,38624509.4,,
BFC,2025-01-27,570.0,610.0,560.0,587.0,2.98,58365872.9,,
BFC,2025-01-23,632.4,632.4,598.0,600.0,,51520739.0,,
BGWT,2025-01-28,1110.0,1155.0,1110.0,1155.0,4.05,59585680.1,,
BGWT,2025-01-27,1177.0,1177.0,1120.0,1120.0,-4.84,18992099.4,,
BGWT,2025-01-23,1046.6,1115.0,1046.6,1095.0,,35614375.5,,
BHDC,2025-01-28,744.0,744.0,717.4,734.6,-1.26,17174965.2,,
BHDC,2025-01-27,732.0,745.5,724.0,732.0,0.0,23085042.2,,
BHDC,2025-01-23,720.0,730.0,710.0,722.0,,25070271.1,,
BHL,2025-01-28,380.3,388.0,380.1,388.0,2.02,4805470.0,,
BHL,2025-01-27,385.0,392.7,380.0,385.8,0.21,8404247.4,,
BHL,2025-01-23,371.1,384.0,371.0,374.8,,5227557.2,,
BHPL,2025-01-28,993.0,1035.9,993.0,1032.0,3.93,10100912.6,,
BHPL,2025-01-27,995.0,1025.0,995.0,1011.3,1.64,10151922.5,,
BHPL,2025-01-23,1040.0,1040.0,985.1,1011.0,,29415718.4,,
BNHC,2025-01-28,532.0,550.0,525.0,539.9,1.48,43377495.8,,
BNHC,2025-01-27,537.9,537.9,522.0,522.0,-2.96,17261569.3,,
BNHC,2025-01-23,520.0,538.9,520.0,535.0,,32121285.4,,
BNL,2025-01-28,18885.0,20366.2,18885.0,19559.8,3.57,1377213.0,,
