Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Signal
ACLBSL,2025-12-21,930.0,930.0,910.0,0.0,-100.0,3201.0,
ACLBSL,2025-08-11,,,,1119.27,,,Sell
ACLBSL,2025-08-07,,,,1159.23,,,Buy
ACLBSL,2025-08-03,,,,1118.47,,,Sell
ACLBSL,2025-06-30,,,,1035.0,,,Buy
ACLBSL,2025-06-19,,,,1025.93,,,Sell
ACLBSL,2025-06-17,,,,1057.85,,,Buy
ACLBSL,2025-06-03,,,,1049.88,,,Sell
ACLBSL,2025-05-19,,,,1036.2,,,Buy
ACLBSL,2025-05-14,,,,1025.71,,,Sell
ACLBSL,2025-05-08,,,,1046.02,,,Buy
ACLBSL,2025-04-23,,,,1060.0,,,Sell
ACLBSL,2025-04-17,,,,1079.0,,,Buy
ACLBSL,2025-04-03,,,,1080.24,,,Sell
ACLBSL,2025-03-30,,,,1105.0,,,Buy
ACLBSL,2025-03-04,,,,1166.0,,,Sell
ACLBSL,2025-01-21,,,,1024.9,,,Buy
ACLBSL,2025-01-13,,,,1021.2,,,Sell
ACLBSL,2025-01-02,,,,1025.0,,,Buy
ACLBSL,2024-12-04,,,,1124.0,,,Sell
ADBL,2025-12-21,290.0,291.0,287.2,0.0,-100.0,27646.0,
ADBL,2025-08-21,,,,329.26,,,Sell
ADBL,2025-08-11,,,,334.44,,,Buy
ADBL,2025-08-03,,,,326.37,,,Sell
ADBL,2025-06-29,,,,286.67,,,Buy
ADBL,2025-06-04,,,,290.21,,,Sell
ADBL,2025-05-21,,,,289.29,,,Buy
ADBL,2025-05-14,,,,281.08,,,Sell
ADBL,2025-05-07,,,,286.33,,,Buy
ADBL,2025-04-21,,,,287.56,,,Sell
ADBL,2025-04-17,,,,291.96,,,Buy
ADBL,2025-04-10,,,,287.85,,,Sell
ADBL,2025-04-01,,,,288.99,,,Buy
ADBL,2025-03-09,,,,297.0,,,Sell
ADBL,2025-02-27,,,,303.0,,,Buy
ADBL,2025-02-24,,,,293.9,,,Sell
ADBL,2025-02-17,,,,295.0,,,Buy
ADBL,2025-02-11,,,,291.8,,,Sell
ADBL,2025-02-02,,,,294.9,,,Buy
ADBL,2024-12-31,,,,314.0,,,Sell
ADBL,2024-12-26,,,,333.8,,,Buy
AHL,2025-12-21,565.0,570.0,556.0,0.0,-100.0,9937.0,
AHL,2025-08-28,,,,655.52,,,Buy
AHL,2025-08-24,,,,633.61,,,Sell
AHL,2025-08-19,,,,650.68,,,Buy
AHL,2025-08-04,,,,643.33,,,Sell
AHL,2025-07-17,,,,640.65,,,Buy
AHL,2025-07-14,,,,595.4,,,Sell
AHL,2025-07-09,,,,628.37,,,Buy
AHL,2025-07-07,,,,604.66,,,Sell
AHL,2025-06-30,,,,609.83,,,Buy
AHL,2025-04-27,,,,709.2,,,Sell
AHL,2025-04-20,,,,734.25,,,Buy
AHL,2025-04-07,,,,720.54,,,Sell
AHL,2025-03-30,,,,738.1,,,Buy
AHL,2025-03-25,,,,719.98,,,Sell
AHL,2025-03-24,,,,745.47,,,Buy
AHL,2025-02-23,,,,818.0,,,Sell
AHL,2025-02-12,,,,837.0,,,Buy
AHL,2025-02-10,,,,810.0,,,Sell
AHL,2025-01-05,,,,730.9,,,Buy
AHL,2024-12-31,,,,694.0,,,Sell
AHL,2024-12-23,,,,734.0,,,Buy
AHL,2024-12-16,,,,705.0,,,Sell
AHL,2024-12-11,,,,737.0,,,Buy
AHL,2024-12-10,,,,716.0,,,Sell
AHL,2024-11-26,,,,710.0,,,Buy
AHL,2024-11-21,,,,691.0,,,Sell
AHPC,2025-12-21,278.0,278.9,275.8,0.0,-100.0,55253.0,
AHPC,2025-08-28,,,,291.63,,,Sell
AHPC,2025-08-27,,,,298.47,,,Buy
AHPC,2025-08-20,,,,296.1,,,Sell
AHPC,2025-08-19,,,,300.16,,,Buy
AHPC,2025-08-03,,,,300.56,,,Sell
AHPC,2025-07-15,,,,290.35,,,Buy
AHPC,2025-06-18,,,,296.76,,,Sell
AHPC,2025-05-28,,,,290.73,,,Buy
AHPC,2025-05-14,,,,284.73,,,Sell
AHPC,2025-04-15,,,,259.29,,,Buy
AHPC,2025-04-01,,,,252.49,,,Sell
AHPC,2025-03-30,,,,258.05,,,Buy
AHPC,2025-03-09,,,,267.0,,,Sell
AHPC,2025-02-27,,,,268.1,,,Buy
AHPC,2025-02-18,,,,263.0,,,Sell
AHPC,2025-02-17,,,,265.0,,,Buy
AHPC,2025-02-10,,,,262.5,,,Sell
AHPC,2025-01-21,,,,252.0,,,Buy
AHPC,2025-01-13,,,,248.8,,,Sell
AHPC,2025-01-06,,,,258.0,,,Buy
AHPC,2024-12-01,,,,278.0,,,Sell
AHPC,2024-11-27,,,,290.0,,,Buy
AHPC,2024-11-20,,,,280.0,,,Sell
AKJCL,2025-12-21,182.0,187.9,180.4,0.0,-100.0,118955.0,
AKJCL,2025-07-31,,,,215.36,,,Sell
AKJCL,2025-07-17,,,,216.61,,,Buy
AKJCL,2025-07-02,,,,210.63,,,Sell
AKJCL,2025-07-01,,,,211.53,,,Buy
AKJCL,2025-06-26,,,,210.93,,,Sell
AKJCL,2025-06-10,,,,209.24,,,Buy
AKJCL,2025-05-14,,,,206.59,,,Sell
AKJCL,2025-04-28,,,,206.88,,,Buy
AKJCL,2025-04-24,,,,204.27,,,Sell
AKJCL,2025-04-16,,,,207.68,,,Buy
AKJCL,2025-04-02,,,,204.72,,,Sell
AKJCL,2025-03-30,,,,207.03,,,Buy
AKJCL,2025-03-11,,,,207.9,,,Sell
AKJCL,2025-02-27,,,,217.9,,,Buy
AKJCL,2025-02-20,,,,202.9,,,Sell
AKJCL,2025-02-02,,,,205.0,,,Buy
AKJCL,2025-01-23,,,,196.0,,,Sell
AKJCL,2025-01-22,,,,199.5,,,Buy
AKJCL,2025-01-13,,,,196.5,,,Sell
AKJCL,2025-01-06,,,,204.0,,,Buy
AKJCL,2024-12-09,,,,212.0,,,Sell
AKJCL,2024-12-03,,,,213.0,,,Buy
AKJCL,2024-11-28,,,,211.0,,,Sell
AKJCL,2024-11-27,,,,213.0,,,Buy
AKJCL,2024-11-13,,,,210.0,,,Sell
AKPL,2025-12-21,241.2,243.5,240.5,0.0,-100.0,77722.0,
AKPL,2025-08-27,,,,268.64,,,Buy
AKPL,2025-07-31,,,,274.78,,,Sell
AKPL,2025-07-15,,,,261.98,,,Buy
AKPL,2025-07-03,,,,261.41,,,Sell
AKPL,2025-07-01,,,,267.08,,,Buy
AKPL,2025-06-19,,,,271.57,,,Sell
AKPL,2025-05-28,,,,254.98,,,Buy
AKPL,2025-05-14,,,,242.4,,,Sell
AKPL,2025-04-27,,,,235.85,,,Buy
AKPL,2025-04-23,,,,227.93,,,Sell
AKPL,2025-04-15,,,,231.08,,,Buy
AKPL,2025-04-03,,,,227.28,,,Sell
AKPL,2025-03-30,,,,232.98,,,Buy
AKPL,2025-03-09,,,,239.8,,,Sell
AKPL,2025-02-27,,,,241.0,,,Buy
AKPL,2025-02-10,,,,237.0,,,Sell
AKPL,2025-01-28,,,,237.9,,,Buy
AKPL,2025-01-27,,,,233.9,,,Sell
AKPL,2025-01-22,,,,239.0,,,Buy
AKPL,2025-01-21,,,,233.9,,,Sell
AKPL,2025-01-20,,,,236.6,,,Buy
AKPL,2025-01-13,,,,234.0,,,Sell
AKPL,2025-01-06,,,,241.7,,,Buy
AKPL,2024-11-21,,,,259.0,,,Sell
ALBSL,2025-12-21,1086.9,1125.0,1086.9,0.0,-100.0,20743.0,
ALBSL,2025-08-26,,,,988.79,,,Buy
ALBSL,2025-08-20,,,,984.55,,,Sell
ALBSL,2025-06-29,,,,804.55,,,Buy
ALBSL,2025-06-19,,,,793.56,,,Sell
ALBSL,2025-06-18,,,,806.68,,,Buy
ALBSL,2025-06-02,,,,814.3,,,Sell
ALBSL,2025-05-21,,,,812.0,,,Buy
ALBSL,2025-05-11,,,,806.25,,,Sell
ALBSL,2025-05-07,,,,827.83,,,Buy
ALBSL,2025-05-06,,,,804.3,,,Sell
ALBSL,2025-05-05,,,,820.7,,,Buy
ALBSL,2025-04-21,,,,821.41,,,Sell
ALBSL,2025-04-15,,,,839.44,,,Buy
ALBSL,2025-04-01,,,,833.43,,,Sell
ALBSL,2025-03-30,,,,853.62,,,Buy
ALBSL,2025-03-03,,,,909.9,,,Sell
ALBSL,2025-02-16,,,,915.0,,,Buy
ALBSL,2025-02-11,,,,885.0,,,Sell
ALBSL,2025-01-20,,,,818.2,,,Buy
ALBSL,2025-01-16,,,,793.0,,,Sell
ALBSL,2025-01-12,,,,808.0,,,Buy
ALBSL,2024-11-10,,,,945.0,,,Sell
ALICL,2025-12-21,464.0,467.0,459.1,0.0,-100.0,48010.0,
ALICL,2025-08-26,,,,491.03,,,Buy
ALICL,2025-07-31,,,,516.58,,,Sell
ALICL,2025-07-17,,,,513.4,,,Buy
ALICL,2025-07-07,,,,499.75,,,Sell
ALICL,2025-07-02,,,,517.63,,,Buy
ALICL,2025-05-25,,,,716.37,,,Sell
ALICL,2025-05-21,,,,734.34,,,Buy
ALICL,2025-05-11,,,,723.65,,,Sell
ALICL,2025-05-07,,,,736.57,,,Buy
ALICL,2025-04-08,,,,745.59,,,Sell
ALICL,2025-03-27,,,,757.9,,,Buy
ALICL,2025-03-06,,,,781.0,,,Sell
ALICL,2025-01-20,,,,724.0,,,Buy
ALICL,2025-01-13,,,,707.5,,,Sell
ALICL,2025-01-06,,,,722.0,,,Buy
ALICL,2024-12-08,,,,733.0,,,Sell
ALICL,2024-12-02,,,,749.0,,,Buy
ALICL,2024-12-01,,,,741.0,,,Sell
ALICL,2024-11-27,,,,755.3,,,Buy
ALICL,2024-11-20,,,,749.8,,,Sell
ANLB,2025-12-21,6044.9,6100.0,6044.9,0.0,-100.0,55.0,
ANLB,2025-08-28,,,,5864.55,,,Buy
ANLB,2025-08-27,,,,5777.51,,,Sell
ANLB,2025-07-21,,,,5600.29,,,Buy
ANLB,2025-07-16,,,,5530.06,,,Sell
ANLB,2025-06-26,,,,5565.42,,,Buy
ANLB,2025-06-16,,,,5500.45,,,Sell
ANLB,2025-05-22,,,,5415.05,,,Buy
ANLB,2025-05-13,,,,5266.96,,,Sell
ANLB,2025-05-08,,,,5400.0,,,Buy
ANLB,2025-04-29,,,,5220.28,,,Sell
ANLB,2025-04-07,,,,5160.9,,,Buy
ANLB,2025-04-03,,,,5025.68,,,Sell
ANLB,2025-03-27,,,,5143.74,,,Buy
ANLB,2025-03-20,,,,5055.0,,,Sell
ANLB,2025-03-04,,,,5091.0,,,Buy
ANLB,2025-02-06,,,,5006.0,,,Sell
ANLB,2025-02-03,,,,5446.0,,,Buy
ANLB,2025-01-13,,,,5624.9,,,Sell
ANLB,2024-12-24,,,,5397.7,,,Buy
