Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
ACLBSL,2026-03-19,990.0,1004.0,990.0,998.5,0.86,5849.0,1240.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLBSL,2026-03-17,975.0,991.0,975.0,990.0,1.54,817.0,1240.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLBSL,2026-03-16,1000.0,1000.0,981.2,985.0,-1.5,1117.0,1240.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLBSL,2026-03-15,985.2,1000.0,985.2,1000.0,1.5,3830.0,1240.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLBSL,2026-03-12,1000.0,1000.0,978.3,985.2,-1.48,5413.0,1240.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLBSL,2026-03-11,1016.0,1016.0,980.0,981.1,-3.44,3897.0,1240.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLBSL,2026-03-03,960.0,1045.0,956.0,969.0,0.94,4000.0,1240.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLBSL,2026-03-01,970.0,970.0,955.2,960.0,-1.03,863.0,1245.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBL,2026-03-19,310.0,327.9,310.0,326.5,5.32,251474.0,344.9,272.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBL,2026-03-17,310.0,316.3,310.0,316.3,2.03,57612.0,344.9,272.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBL,2026-03-16,310.7,319.0,310.7,313.1,0.77,46720.0,344.9,272.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBL,2026-03-15,319.0,319.0,313.0,317.0,-0.63,58743.0,344.9,272.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBL,2026-03-12,308.7,318.9,308.7,316.0,2.36,65807.0,344.9,272.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBL,2026-03-11,320.0,320.0,310.0,311.2,-2.75,43238.0,344.9,272.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBL,2026-03-09,311.0,327.7,311.0,327.7,5.37,776.0,344.9,272.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
