Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
ACLBSL,2026-03-25,1089.5,1090.0,1048.0,1053.0,-3.35,1858.0,1240.0,900.0,,,,,,,
ADBL,2026-03-25,328.5,340.0,328.5,330.0,0.46,106584.0,344.9,272.3,,,,,,,
ADBLD83,2026-03-25,1065.0,1065.0,1065.0,1065.0,0.0,100.0,1160.0,1042.2,,,,,,,
AHL,2026-03-25,516.0,525.0,515.1,522.0,1.16,9530.0,753.0,462.6,,,,,,,
AHPC,2026-03-25,316.5,318.8,309.1,310.0,-2.05,378520.0,334.0,245.0,,,,,,,
AKJCL,2026-03-25,404.0,414.9,401.8,402.1,-0.47,709740.0,431.8,172.9,,,,,,,
AKJCL,,,,,,,,,,35.0,388.0,402.1,23395.0,493.5,23888.5,175.91
AKPL,2026-03-25,309.9,309.9,299.0,302.0,-2.55,468970.0,317.0,216.1,,,,,,,
ALBSL,2026-03-25,1264.2,1321.3,1240.0,1286.0,1.72,32287.0,1334.0,771.0,,,,,,,
ALICL,2026-03-25,495.0,496.0,484.0,489.0,-1.21,95142.0,779.0,430.0,,,,,,,
ANLB,2026-03-25,6561.0,6561.0,6461.3,6461.3,-1.52,110.0,6800.0,4920.0,,,,,,,
API,2026-03-25,360.0,368.9,358.7,359.0,-0.28,1429057.0,368.9,258.8,,,,,,,
AVYAN,2026-03-25,1366.0,1366.0,1229.2,1260.0,-7.76,54272.0,1366.0,906.0,,,,,,,
BANDIPUR,2026-03-25,967.0,985.0,940.0,973.0,0.62,112278.0,1233.0,285.0,,,,,,,
BARUN,2026-03-25,396.7,396.7,380.0,380.0,-4.21,142096.0,589.0,292.1,,,,,,,
BBC,2026-03-25,5200.0,5600.0,5100.0,5499.0,5.75,6884.0,6661.6,4480.0,,,,,,,
BEDC,2026-03-25,523.2,535.0,523.2,535.0,2.26,13610.0,872.0,500.0,,,,,,,
BFC,2026-03-25,519.0,520.0,505.0,505.1,-2.68,31140.0,594.9,411.5,,,,,,,
BGWT,2026-03-25,786.0,790.0,771.0,787.0,0.13,6972.0,1110.0,730.7,,,,,,,
BHCL,2026-03-25,602.0,614.9,597.8,609.9,1.31,80689.0,699.0,292.1,,,,,,,
BHDC,2026-03-25,503.0,509.0,495.3,498.0,-0.99,54970.0,706.0,426.0,,,,,,,
BHL,2026-03-25,256.0,256.0,247.0,248.0,-3.12,672166.0,340.0,164.0,,,,,,,
BHPL,2026-03-25,608.0,608.0,582.0,585.0,-3.78,45773.0,1308.4,503.1,,,,,,,
BJHL,2026-03-25,366.5,395.3,366.5,395.3,7.86,100.0,395.3,270.1,,,,,,,
BNHC,2026-03-25,367.7,382.0,367.7,373.0,1.44,18927.0,613.8,313.1,,,,,,,
BNL,2026-03-25,15600.0,15601.0,15600.0,15600.0,0.0,40.0,19931.69,14635.8,,,,,,,
BNT,2026-03-25,12100.0,12100.0,11930.0,12099.0,-0.01,314.0,13550.0,10660.0,,,,,,,
BPCL,2026-03-25,753.0,760.0,746.1,750.0,-0.4,70784.0,1065.0,380.7,,,,,,,
BUNGAL,2026-03-25,663.0,678.0,647.1,665.5,0.38,33893.0,822.0,302.4,,,,,,,
C30MF,2026-03-25,10.08,10.27,10.08,10.12,0.4,1800.0,10.71,8.7,,,,,,,
