Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
ACLBSL,3/26/2026,1040.0,1043.0,1025.0,1040.0,0.0,2970.0,1240.0,900.0
ADBL,3/26/2026,330.0,334.0,321.5,333.1,0.94,85296.0,344.9,272.3
AHL,3/26/2026,522.0,525.9,512.0,521.0,-0.19,12223.0,753.0,462.6
AHPC,3/26/2026,316.2,316.2,307.0,314.0,-0.7,389922.0,334.0,246.0
AKJCL,3/26/2026,395.0,415.0,395.0,415.0,5.06,808865.0,431.8,172.9
AKPL,3/26/2026,296.0,305.0,296.0,304.9,3.01,400064.0,317.0,220.8
ALBSL,3/26/2026,1261.0,1300.0,1240.0,1293.9,2.61,22614.0,1334.0,771.0
ALICL,3/26/2026,484.0,490.0,479.0,488.0,0.83,48491.0,779.0,430.0
ANLB,3/26/2026,6400.0,6649.0,6400.0,6647.0,3.86,4414.0,6800.0,4920.0
API,3/26/2026,359.0,365.9,354.0,364.2,1.45,886488.0,368.9,258.8
AVYAN,3/26/2026,1235.0,1310.0,1201.0,1279.0,3.56,42163.0,1366.0,906.0
BANDIPUR,3/26/2026,970.0,999.9,969.0,985.0,1.55,95093.0,1233.0,285.0
BARUN,3/26/2026,380.0,382.9,375.6,381.2,0.32,118257.0,589.0,292.1
BBC,3/26/2026,5391.0,5495.0,5202.0,5332.0,-1.09,1209.0,6661.6,4480.0
BEDC,3/26/2026,529.0,534.0,525.2,531.0,0.38,6859.0,872.0,500.0
BFC,3/26/2026,505.1,509.0,501.0,506.5,0.28,28443.0,594.9,411.5
BGWT,3/26/2026,775.0,785.0,771.6,785.0,1.29,4610.0,1110.0,730.7
BHCL,3/26/2026,609.0,629.0,605.0,618.0,1.48,105838.0,699.0,292.1
BHDC,3/26/2026,501.0,502.0,492.2,499.0,-0.4,29516.0,706.0,426.0
BHL,3/26/2026,245.0,251.1,244.5,249.0,1.63,519966.0,340.0,164.0
BHPL,3/26/2026,596.0,596.0,577.0,588.9,-1.19,20710.0,1308.4,503.1
BJHL,3/26/2026,391.4,434.8,391.4,434.8,11.09,198.0,434.8,270.1
BNHC,3/26/2026,380.4,380.4,372.0,379.0,-0.37,29079.0,613.8,313.1
BNL,3/26/2026,15301.0,15606.0,15300.0,15606.0,1.99,30.0,19931.69,14635.8
BNT,3/26/2026,12000.0,12189.0,11860.0,12000.0,0.0,81.0,13550.0,10660.0
BPCL,3/26/2026,742.0,750.0,740.0,750.0,1.08,59681.0,1065.0,388.1
BUNGAL,3/26/2026,673.0,686.0,666.1,678.0,0.74,32916.0,822.0,302.4
C30MF,3/26/2026,10.1,10.32,10.1,10.25,1.49,20000.0,10.71,8.7
CBBL,3/26/2026,955.0,965.0,950.0,963.0,0.84,25508.0,1144.8,822.0
CBLD88,3/26/2026,1240.0,1244.4,1240.0,1244.4,0.35,217.0,1265.0,1108.0
CFCL,3/26/2026,568.0,570.0,558.0,567.0,-0.18,17159.0,651.0,445.1
CGH,3/26/2026,875.0,880.0,872.1,877.5,0.29,11651.0,1150.0,800.2
CHCL,3/26/2026,510.0,510.7,504.1,510.5,0.1,56682.0,599.6,456.0
CHDC,3/26/2026,2570.0,2590.0,2540.0,2590.0,0.78,67386.0,2997.9,1990.0
CHL,3/26/2026,326.0,326.0,316.1,319.8,-1.9,97462.0,551.0,223.4
CIT,3/26/2026,1850.0,1880.0,1850.0,1880.0,1.62,10619.0,2168.0,1730.8
CITY,3/26/2026,500.2,512.0,496.0,510.0,1.96,18872.0,998.4,461.0
CKHL,3/26/2026,689.5,721.0,689.5,718.0,4.13,6657.0,804.0,550.0
CLI,3/26/2026,486.0,494.8,486.0,491.0,1.03,19843.0,540.0,411.0
CMF2,3/26/2026,10.3,10.36,10.3,10.36,0.58,37280.0,10.86,8.64
CORBL,3/26/2026,2028.7,2060.0,1988.2,2003.0,-1.27,12862.0,2800.0,1431.0
CREST,3/26/2026,1391.0,1420.0,1390.0,1395.2,0.3,28715.0,2458.2,302.5
CSY,3/26/2026,9.61,9.74,9.38,9.57,-0.42,32100.0,10.0,8.87
CYCL,3/26/2026,1612.1,1634.0,1612.1,1634.0,1.36,1512.0,2040.0,1462.0
CZBIL,3/26/2026,227.0,229.8,222.5,229.0,0.88,165271.0,240.1,183.0
DDBL,3/26/2026,880.0,888.0,870.1,887.9,0.9,20201.0,1010.0,760.2
DHEL,3/26/2026,715.0,734.0,715.0,732.9,2.5,63123.0,918.9,402.2
DHPL,3/26/2026,342.0,342.0,332.0,340.0,-0.58,13062.0,415.0,265.0
DLBS,3/26/2026,1391.6,1417.0,1370.0,1413.0,1.54,1566.0,1684.0,1240.0
DOLTI,3/26/2026,512.1,519.0,512.1,517.0,0.96,5107.0,719.0,470.6
DORDI,3/26/2026,308.0,311.8,302.2,310.9,0.94,256448.0,450.0,213.1
EBL,3/26/2026,714.0,714.0,706.0,712.0,-0.28,47685.0,780.6,600.0
